,source_sentence,gold,pred,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,source_sent_list,new_pred_sentences,new_src_sentence
4263,"A cryptographic hash function is a deterministic procedure that takes an arbitrary block of data and returns a fixed-size bit string , the -LRB- cryptographic -RRB- hash value , such that an accidental or intentional change to the data will change the hash value . The data to be encoded is often called the '' message , '' and the hash value is sometimes called the message digest or simply digest .","A cryptographic hash function is a transformation that takes an input -LRB- or ` message ' -RRB- and returns a fixed-size string , which is called the hash value -LRB- sometimes called a message digest , a digital fingerprint , a digest or a checksum -RRB- .","The data to be encoded is often called the '' message , '' and the hash value is sometimes called the message digest or simply digest .",4263,0.280726862,0.999688506,-0.511621594,0.52529441,0.0,-3.076647043,"['A', 'cryptographic', 'hash', 'function', 'is', 'a', 'deterministic', 'procedure', 'that', 'takes', 'an', 'arbitrary', 'block', 'of', 'data', 'and', 'returns', 'a', 'fixed-size', 'bit', 'string', ',', 'the', '-LRB-', 'cryptographic', '-RRB-', 'hash', 'value', ',', 'such', 'that', 'an', 'accidental', 'or', 'intentional', 'change', 'to', 'the', 'data', 'will', 'change', 'the', 'hash', 'value', '.', 'The', 'data', 'to', 'be', 'encoded', 'is', 'often', 'called', 'the', ""''"", 'message', ',', ""''"", 'and', 'the', 'hash', 'value', 'is', 'sometimes', 'called', 'the', 'message', 'digest', 'or', 'simply', 'digest', '.']",The data to be encoded is often called the message and the hash value is sometimes called the message digest or simply digest,A cryptographic hash function is a deterministic procedure that takes an arbitrary block of data and returns a fixed size bit string the LRB cryptographic RRB hash value such that an accidental or intentional change to the data will change the hash value The data to be encoded is often called the message and the hash value is sometimes called the message digest or simply digest
4264,PERSON@1 -LRB- -RRB- is a large county in LOCATION@1 .,PERSON@1 is a county of LOCATION@2 .,PERSON@1 -LRB- -RRB- is a county in LOCATION@1 .,4264,0.849407673,0.973481596,-0.662661433,0.569285215,0.495809734,-3.969625711,"['PERSON@1', '-LRB-', '-RRB-', 'is', 'a', 'large', 'county', 'in', 'LOCATION@1', '.']",PERSON@1 LRB RRB is a county in LOCATION@1,PERSON@1 LRB RRB is a large county in LOCATION@1
4271,"The Camino Real traversed the mountain ranges of the Andes , with peak altitudes of more than 5000 m. El Camino de la Costa , the coastal trail , with a length of 4000 k , ran parallel to the sea and was linked with the Camino Real by many smaller routes .","The Camino Real went across the mountain ranges of the Andes , with peak altitudes of more than 5,000 m. El Camino de la Costa , the coastal trail , with a length of 4,000 km -LRB- 2,420 mi -RRB- , ran parallel to the sea and was linked with the Camino Real by many smaller routes .","El Camino de la Costa , the coastal trail , with a length of 4000 k , ran parallel to the sea and was linked with the Camino Real by many smaller routes .",4271,0.498925577,0.999943078,-0.527179539,0.786468808,0.0,-1.720339656,"['The', 'Camino', 'Real', 'traversed', 'the', 'mountain', 'ranges', 'of', 'the', 'Andes', ',', 'with', 'peak', 'altitudes', 'of', 'more', 'than', '5000', 'm.', 'El', 'Camino', 'de', 'la', 'Costa', ',', 'the', 'coastal', 'trail', ',', 'with', 'a', 'length', 'of', '4000', 'k', ',', 'ran', 'parallel', 'to', 'the', 'sea', 'and', 'was', 'linked', 'with', 'the', 'Camino', 'Real', 'by', 'many', 'smaller', 'routes', '.']",El Camino de la Costa the coastal trail with a length of 4000 k ran parallel to the sea and was linked with the Camino Real by many smaller routes,The Camino Real traversed the mountain ranges of the Andes with peak altitudes of more than 5000 m El Camino de la Costa the coastal trail with a length of 4000 k ran parallel to the sea and was linked with the Camino Real by many smaller routes
4276,Gerhard Schröder led the coalition of SPD and Greens to an eleven seat victory over the Christian democrat challengers headed by Edmund Stoiber -LRB- CSU -RRB- .,Gerhard Schröder led the coalition of SPD and Greens to an 11 seat victory over the CDU/CSU headed by Edmund Stoiber -LRB- CSU -RRB- .,Gerhard Schrder led the coalition of SPD and Greens to an eleven seat victory over the Christian democrat challengers headed by Edmund Stoiber -LRB- CSU -RRB- .,4276,0.924138371,0.94947499,-0.509363592,0.950401022,0.997689545,-1.074126363,"['Gerhard', 'Schröder', 'led', 'the', 'coalition', 'of', 'SPD', 'and', 'Greens', 'to', 'an', 'eleven', 'seat', 'victory', 'over', 'the', 'Christian', 'democrat', 'challengers', 'headed', 'by', 'Edmund', 'Stoiber', '-LRB-', 'CSU', '-RRB-', '.']",Gerhard Schrder led the coalition of SPD and Greens to an eleven seat victory over the Christian democrat challengers headed by Edmund Stoiber LRB CSU RRB,Gerhard Schr der led the coalition of SPD and Greens to an eleven seat victory over the Christian democrat challengers headed by Edmund Stoiber LRB CSU RRB
4286,Rolling Stone -LRB- Positive -RRB- link,Kiss is the self-titled debut album from the American hard rock\/heavy metal band Kiss .,Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone -LRB- Positive -RRB- link Rolling Stone,4286,1.000000119,0.0,-0.634793282,0.782963276,0.015302365,-4.753336906,"['Rolling', 'Stone', '-LRB-', 'Positive', '-RRB-', 'link']",Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone LRB Positive RRB link Rolling Stone,Rolling Stone LRB Positive RRB link
4290,"The authors com from the Sil Valley , specially from El Bierzu -LRB- Llión -RRB- , and it is the collective book in the Leonese language where there are more authors .","The authors com from the Sil Valley , specially from El Bierzu and it is the collective book in the Leonese language where there are more authors .","The authors com from the Sil Valley , specially from El Bierzu -LRB- Llin -RRB- , and it is the collective book in the Leonese language where there are more authors .",4290,0.963976457,0.929846942,-0.680052757,0.947936142,0.998481214,-1.231724739,"['The', 'authors', 'com', 'from', 'the', 'Sil', 'Valley', ',', 'specially', 'from', 'El', 'Bierzu', '-LRB-', 'Llión', '-RRB-', ',', 'and', 'it', 'is', 'the', 'collective', 'book', 'in', 'the', 'Leonese', 'language', 'where', 'there', 'are', 'more', 'authors', '.']",The authors com from the Sil Valley specially from El Bierzu LRB Llin RRB and it is the collective book in the Leonese language where there are more authors,The authors com from the Sil Valley specially from El Bierzu LRB Lli n RRB and it is the collective book in the Leonese language where there are more authors
4298,"Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas , Texas on September 22 , 1960 . The second of seven children , Richard grew up in a section of West Dallas known during the Great Depression as ` The Devil 's Back Porch ' .","Richard Dominguez was born in Dallas , Texas on September 22 , 1960 as the second of seven children .","The second of seven children , Richard grew up in a section of West Dallas known during the Great Depression as  The Devil 's Back Porch ' .",4298,0.416565678,0.998496413,-0.639650345,0.392046543,0.995271862,-1.327480197,"['Richard', 'Dominguez', 'was', 'born', 'Eufrancio', 'Ricardo', 'Dominguez', 'to', 'Ricardo', 'and', 'Juanita', 'Dominguez', 'in', 'Dallas', ',', 'Texas', 'on', 'September', '22', ',', '1960', '.', 'The', 'second', 'of', 'seven', 'children', ',', 'Richard', 'grew', 'up', 'in', 'a', 'section', 'of', 'West', 'Dallas', 'known', 'during', 'the', 'Great', 'Depression', 'as', '`', 'The', 'Devil', ""'s"", 'Back', 'Porch', ""'"", '.']",The second of seven children Richard grew up in a section of West Dallas known during the Great Depression as The Devil s Back Porch,Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas Texas on September 22 1960 The second of seven children Richard grew up in a section of West Dallas known during the Great Depression as The Devil s Back Porch
4305,"The Roman Catholic Church is the largest denomination with over 1.1 billion members , comprising over half of all Christians worldwide making it the largest denomination for any religion worldwide -LRB- although the Church itself does not view itself as a denomination , but as pre-denominational -RRB- . Protestant denominations comprise roughly 38-39 % of Christians worldwide , and together the Catholics , Protestants , Anglicans , and other closely related denominations comprise Western Christianity .",Many Christian denomination see themselves as part of the worldwide Church which includes other denominations as well .,"Protestant denominations comprise roughly 38-39 % of Christians worldwide , and together the Catholics , Protestants , Anglicans , and other closely related denominations comprise Western Christianity .",4305,0.32178122,0.999838352,-0.736174047,0.236235689,0.901419818,-3.775948286,"['The', 'Roman', 'Catholic', 'Church', 'is', 'the', 'largest', 'denomination', 'with', 'over', '1.1', 'billion', 'members', ',', 'comprising', 'over', 'half', 'of', 'all', 'Christians', 'worldwide', 'making', 'it', 'the', 'largest', 'denomination', 'for', 'any', 'religion', 'worldwide', '-LRB-', 'although', 'the', 'Church', 'itself', 'does', 'not', 'view', 'itself', 'as', 'a', 'denomination', ',', 'but', 'as', 'pre-denominational', '-RRB-', '.', 'Protestant', 'denominations', 'comprise', 'roughly', '38-39', '%', 'of', 'Christians', 'worldwide', ',', 'and', 'together', 'the', 'Catholics', ',', 'Protestants', ',', 'Anglicans', ',', 'and', 'other', 'closely', 'related', 'denominations', 'comprise', 'Western', 'Christianity', '.']",Protestant denominations comprise roughly 38 39 of Christians worldwide and together the Catholics Protestants Anglicans and other closely related denominations comprise Western Christianity,The Roman Catholic Church is the largest denomination with over 1 1 billion members comprising over half of all Christians worldwide making it the largest denomination for any religion worldwide LRB although the Church itself does not view itself as a denomination but as pre denominational RRB Protestant denominations comprise roughly 38 39 of Christians worldwide and together the Catholics Protestants Anglicans and other closely related denominations comprise Western Christianity
4306,"The Nahe River is a river in Rhineland-Palatinate and Saarland , Germany , a left tributary to the Rhine .","The Nahe is a river in Rhineland-Palatinate , Germany , a left tributary to the Rhine .","The Nahe River is a river in Rhineland-Palatinate and Saarland , Germany .",4306,0.642678939,0.995741367,-0.677513182,0.655789537,0.946575165,-0.993025422,"['The', 'Nahe', 'River', 'is', 'a', 'river', 'in', 'Rhineland-Palatinate', 'and', 'Saarland', ',', 'Germany', ',', 'a', 'left', 'tributary', 'to', 'the', 'Rhine', '.']",The Nahe River is a river in Rhineland Palatinate and Saarland Germany,The Nahe River is a river in Rhineland Palatinate and Saarland Germany a left tributary to the Rhine
4313,"Photosynthesis -LRB- foÊ toÊ Ë sÉ nÎ É sÉ s ; from the Greek -LRB- photo - -RRB- , '' light , '' and -LRB- synthesis -RRB- , '' putting together '' , '' composition '' -RRB- is a process that converts carbon dioxide into organic compounds , especially sugars , using the energy from sunlight . Photosynthesis occurs in plants , algae , and many species of bacteria , but not in archaea .","Photosynthesis is a process that turns carbon dioxide into organic compounds , especially sugars using sunlight .","Photosynthesis occurs in plants , algae , and many species of bacteria , but not in archaea .",4313,0.192587362,0.0,-0.735494435,0.329194476,0.999626398,-1.408283114,"['Photosynthesis', '-LRB-', 'foÊ', 'toÊ', 'Ë', 'sÉ', 'nÎ', 'É', 'sÉ', 's', ';', 'from', 'the', 'Greek', '-LRB-', 'photo', '-', '-RRB-', ',', ""''"", 'light', ',', ""''"", 'and', '-LRB-', 'synthesis', '-RRB-', ',', ""''"", 'putting', 'together', ""''"", ',', ""''"", 'composition', ""''"", '-RRB-', 'is', 'a', 'process', 'that', 'converts', 'carbon', 'dioxide', 'into', 'organic', 'compounds', ',', 'especially', 'sugars', ',', 'using', 'the', 'energy', 'from', 'sunlight', '.', 'Photosynthesis', 'occurs', 'in', 'plants', ',', 'algae', ',', 'and', 'many', 'species', 'of', 'bacteria', ',', 'but', 'not', 'in', 'archaea', '.']",Photosynthesis occurs in plants algae and many species of bacteria but not in archaea,Photosynthesis LRB fo to s n s s from the Greek LRB photo RRB light and LRB synthesis RRB putting together composition RRB is a process that converts carbon dioxide into organic compounds especially sugars using the energy from sunlight Photosynthesis occurs in plants algae and many species of bacteria but not in archaea
4326,La Colonia -LRB- D.M. -RRB-,La Colonia -LRB- M.D. -RRB-,La Colonia -LRB- D.M.,4326,0.777777778,0.78597039,-0.705590367,0.981921077,0.937396586,-1.970896721,"['La', 'Colonia', '-LRB-', 'D.M.', '-RRB-']",La Colonia LRB D M,La Colonia LRB D M RRB
4330,"PloieÅ ti -LRB- ; older spelling : PloeÈ ti -RRB- is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 , LOCATION@3 .",PloieÅ ti is the county seat . of LOCATION@1 .,"Ploie ti -LRB- is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 , LOCATION@3 .",4330,0.599915595,0.972554147,-0.687261522,0.292708472,0.753288627,-3.226077318,"['PloieÅ', 'ti', '-LRB-', ';', 'older', 'spelling', ':', 'PloeÈ', 'ti', '-RRB-', 'is', 'the', 'county', 'seat', 'of', 'LOCATION@1', 'and', 'lies', 'in', 'the', 'historical', 'region', 'of', 'LOCATION@2', ',', 'LOCATION@3', '.']",Ploie ti LRB is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 LOCATION@3,Ploie ti LRB older spelling Ploe ti RRB is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 LOCATION@3
4332,"They have later appeared in various merchandise , spinoff titles and animated and printed adaptations of the franchise .",Charizard first appears as a non-playable character in Super Smash Bros. and Super Smash Bros. .,"They have later appeared in various merchandise , titles spinoff and animated and printed adaptations of the franchise .",4332,0.96828866,0.948587954,-1.910686374,0.803148099,0.006024451,-3.033579111,"['They', 'have', 'later', 'appeared', 'in', 'various', 'merchandise', ',', 'spinoff', 'titles', 'and', 'animated', 'and', 'printed', 'adaptations', 'of', 'the', 'franchise', '.']",They have later appeared in various merchandise titles spinoff and animated and printed adaptations of the franchise,They have later appeared in various merchandise spinoff titles and animated and printed adaptations of the franchise
4333,"The mRNA is then exported from the nucleus to the cytoplasm , where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA . In prokaryotic cells , which do not have nucleus and cytoplasm compartments , mRNA can bind to ribosomes while it is being transcribed from DNA .",Then the mRNA moves from the nucleus to the ribosomes in the cytoplasm to form proteins .,"The mRNA is then exported from the nucleus to the cytoplasm , where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA .",4333,0.477234841,0.999628782,-0.49897486,0.369909718,0.999919653,-2.572491407,"['The', 'mRNA', 'is', 'then', 'exported', 'from', 'the', 'nucleus', 'to', 'the', 'cytoplasm', ',', 'where', 'it', 'is', 'bound', 'to', 'ribosomes', 'and', 'translated', 'into', 'its', 'corresponding', 'protein', 'form', 'with', 'the', 'help', 'of', 'tRNA', '.', 'In', 'prokaryotic', 'cells', ',', 'which', 'do', 'not', 'have', 'nucleus', 'and', 'cytoplasm', 'compartments', ',', 'mRNA', 'can', 'bind', 'to', 'ribosomes', 'while', 'it', 'is', 'being', 'transcribed', 'from', 'DNA', '.']",The mRNA is then exported from the nucleus to the cytoplasm where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA,The mRNA is then exported from the nucleus to the cytoplasm where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA In prokaryotic cells which do not have nucleus and cytoplasm compartments mRNA can bind to ribosomes while it is being transcribed from DNA
4339,"Enthusiasts nicknamed them '' Grids '' , due to the grid-like horn cover on the locomotive 's cab ends fitted to nos. 56 056 on .","Enthusiasts nicknamed them '' Grids '' , likely due to the grid-like horn cover on the locomotive 's cab ends .","Enthusiasts nicknamed them '' Grids '' , due to the grid-like horn cover on the locomotive 's cab ends fitted to nos.",4339,0.88489344,0.961695254,-0.500680268,0.906519014,0.90858537,-1.436442971,"['Enthusiasts', 'nicknamed', 'them', ""''"", 'Grids', ""''"", ',', 'due', 'to', 'the', 'grid-like', 'horn', 'cover', 'on', 'the', 'locomotive', ""'s"", 'cab', 'ends', 'fitted', 'to', 'nos.', '56', '056', 'on', '.']",Enthusiasts nicknamed them Grids due to the grid like horn cover on the locomotive s cab ends fitted to nos,Enthusiasts nicknamed them Grids due to the grid like horn cover on the locomotive s cab ends fitted to nos 56 056 on
4345,"Overview Fall season is performed in NUMBER@1 teams , and higher eight teams go into PERSON@1 playoff .","Overview It was performed in NUMBER@1 teams , and LOCATION@1 PERSON@2 won the championship .","Fall season is performed in NUMBER@1 teams , and higher eight teams go into PERSON@1 playoff .",4345,0.88461044,0.999038517,-0.48125872,0.818640005,0.991739511,-3.811209202,"['Overview', 'Fall', 'season', 'is', 'performed', 'in', 'NUMBER@1', 'teams', ',', 'and', 'higher', 'eight', 'teams', 'go', 'into', 'PERSON@1', 'playoff', '.']",Fall season is performed in NUMBER@1 teams and higher eight teams go into PERSON@1 playoff,Overview Fall season is performed in NUMBER@1 teams and higher eight teams go into PERSON@1 playoff
4347,"The bulk , composition and mass of Adrastea are not known , but assuming that its mean density is like that of Amalthea , -LRB- around 0.86 g/cm ³ -RRB- its mass can be estimated at about 2 kg .","What Adrastea is made of and the mass of Adrastea are not known , but assuming that its mean density is like that of Amalthea -LRB- ~ 0.86 g/cm ³ -RRB- its mass can be estimated at ~ 2 × 1015 kg .","The bulk , composition and mass of Adrastea are not known , but assuming that its mean density is like that of Amalthea , -LRB- around 0.86 g/cm 3 -RRB- its mass can be estimated at about 2 kg .",4347,0.908845425,0.997143388,-0.408680171,0.790157548,0.999646962,-1.368353128,"['The', 'bulk', ',', 'composition', 'and', 'mass', 'of', 'Adrastea', 'are', 'not', 'known', ',', 'but', 'assuming', 'that', 'its', 'mean', 'density', 'is', 'like', 'that', 'of', 'Amalthea', ',', '-LRB-', 'around', '0.86', 'g/cm', '³', '-RRB-', 'its', 'mass', 'can', 'be', 'estimated', 'at', 'about', '2', 'kg', '.']",The bulk composition and mass of Adrastea are not known but assuming that its mean density is like that of Amalthea LRB around 0 86 g cm 3 RRB its mass can be estimated at about 2 kg,The bulk composition and mass of Adrastea are not known but assuming that its mean density is like that of Amalthea LRB around 0 86 g cm RRB its mass can be estimated at about 2 kg
4355,"Genar Andrinúa Cortabarría -LRB- born May 9 , 1964 in Bilbao , Biscay -RRB- is a former Spanish footballer , who played as a central defender .","Genar Andrinúa -LRB- born 9 May , 1964 -RRB- is a former Spanish football player .","Genar Andrina Cortabarra -LRB- born May 9 , 1964 in Bilbao , Biscay -RRB- is a former Spanish footballer , who played as a central defender .",4355,0.846306942,0.99931103,-0.98159045,0.497918068,0.998557448,-3.034662485,"['Genar', 'Andrinúa', 'Cortabarría', '-LRB-', 'born', 'May', '9', ',', '1964', 'in', 'Bilbao', ',', 'Biscay', '-RRB-', 'is', 'a', 'former', 'Spanish', 'footballer', ',', 'who', 'played', 'as', 'a', 'central', 'defender', '.']",Genar Andrina Cortabarra LRB born May 9 1964 in Bilbao Biscay RRB is a former Spanish footballer who played as a central defender,Genar Andrin a Cortabarr a LRB born May 9 1964 in Bilbao Biscay RRB is a former Spanish footballer who played as a central defender
4360,"The greenhouse effect heats the earth because greenhouse gases absorb outgoing radiative energy and re-emit some of it back towards earth . A greenhouse is built of any material that passes sunlight , usually glass , or plastic .","The greenhouse effect is caused by greenhouse gases ; the most important greenhouse gasses in Earth 's atmosphere are : water vapor , carbon dioxide , and methane .","A greenhouse is built of any material that passes sunlight , usually glass , or plastic .",4360,0.347389851,0.999789238,-0.738480031,0.306795427,0.985202909,-3.143874645,"['The', 'greenhouse', 'effect', 'heats', 'the', 'earth', 'because', 'greenhouse', 'gases', 'absorb', 'outgoing', 'radiative', 'energy', 'and', 're-emit', 'some', 'of', 'it', 'back', 'towards', 'earth', '.', 'A', 'greenhouse', 'is', 'built', 'of', 'any', 'material', 'that', 'passes', 'sunlight', ',', 'usually', 'glass', ',', 'or', 'plastic', '.']",A greenhouse is built of any material that passes sunlight usually glass or plastic,The greenhouse effect heats the earth because greenhouse gases absorb outgoing radiative energy and re emit some of it back towards earth A greenhouse is built of any material that passes sunlight usually glass or plastic
4375,"Tokushima Vortis is a Japanese professional football -LRB- soccer -RRB- club , currently playing in the J. League Division 2 . The team is located in Tokushima , Tokushima Prefecture .",Tokushima Vortis is a football club which plays in Japan .,"The team is located in Tokushima , Tokushima Prefecture .",4375,0.262707116,0.997998238,-0.928426504,0.393965243,0.999789119,-2.355086088,"['Tokushima', 'Vortis', 'is', 'a', 'Japanese', 'professional', 'football', '-LRB-', 'soccer', '-RRB-', 'club', ',', 'currently', 'playing', 'in', 'the', 'J.', 'League', 'Division', '2', '.', 'The', 'team', 'is', 'located', 'in', 'Tokushima', ',', 'Tokushima', 'Prefecture', '.']",The team is located in Tokushima Tokushima Prefecture,Tokushima Vortis is a Japanese professional football LRB soccer RRB club currently playing in the J League Division 2 The team is located in Tokushima Tokushima Prefecture
4379,Party may also refer to :,"Party -LRB- law -RRB- , a person or group of persons composing a single entity for the purposes of the law",Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may also refer to : Party may,4379,0.99999994,0.0,-1.065641284,0.773094237,0.002185383,-5.278637886,"['Party', 'may', 'also', 'refer', 'to', ':']",Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may also refer to Party may,Party may also refer to
4380,"It is a suburb of LOCATION@1 , located on the other side of Red Mountain due south of the city center . It has one of the highest population densities in LOCATION@2 .","It is a suburb of LOCATION@1 , located on the other side of Red Mountain due south of the city center , but also has one of the highest population densities in LOCATION@2 .","It is a suburb of LOCATION@1 , located on the other side of Red Mountain due south of the city center .",4380,0.55205771,0.998602808,-0.696654916,0.925168365,0.878931701,-1.024523854,"['It', 'is', 'a', 'suburb', 'of', 'LOCATION@1', ',', 'located', 'on', 'the', 'other', 'side', 'of', 'Red', 'Mountain', 'due', 'south', 'of', 'the', 'city', 'center', '.', 'It', 'has', 'one', 'of', 'the', 'highest', 'population', 'densities', 'in', 'LOCATION@2', '.']",It is a suburb of LOCATION@1 located on the other side of Red Mountain due south of the city center,It is a suburb of LOCATION@1 located on the other side of Red Mountain due south of the city center It has one of the highest population densities in LOCATION@2
4394,"Auchtubh is a village in the Stirling council area of Scotland , less than a mile to the east of the village of Balquhidder .","Auchtubh is a village in Stirling , Scotland .",Auchtubh is a village in the Stirling council area of Scotland . Less than a mile to the east of the village of Balquhidder .,4394,0.870112836,0.968627095,-0.653871298,0.843978726,0.908051193,-3.109132051,"['Auchtubh', 'is', 'a', 'village', 'in', 'the', 'Stirling', 'council', 'area', 'of', 'Scotland', ',', 'less', 'than', 'a', 'mile', 'to', 'the', 'east', 'of', 'the', 'village', 'of', 'Balquhidder', '.']",Auchtubh is a village in the Stirling council area of Scotland Less than a mile to the east of the village of Balquhidder,Auchtubh is a village in the Stirling council area of Scotland less than a mile to the east of the village of Balquhidder
4397,"1806 & ndash ; The original Lower Trenton Bridge -LRB- also called the Trenton Makes the World Takes Bridge -RRB- , which spans the Delaware River between Morrisville , Pennsylvania and Trenton , New Jersey , is opened .",1790 -- The first boat specialized as a lifeboat is tested on the River Tyne .,"The original Lower Trenton Bridge -LRB- also called the Trenton Makes the World Takes Bridge -RRB- , which spans the Delaware River between Morrisville , Pennsylvania and Trenton , New Jersey , is opened .",4397,0.869878092,0.99991262,-0.424365968,0.413991398,0.994948804,-5.12155056,"['1806', '&', 'ndash', ';', 'The', 'original', 'Lower', 'Trenton', 'Bridge', '-LRB-', 'also', 'called', 'the', 'Trenton', 'Makes', 'the', 'World', 'Takes', 'Bridge', '-RRB-', ',', 'which', 'spans', 'the', 'Delaware', 'River', 'between', 'Morrisville', ',', 'Pennsylvania', 'and', 'Trenton', ',', 'New', 'Jersey', ',', 'is', 'opened', '.']",The original Lower Trenton Bridge LRB also called the Trenton Makes the World Takes Bridge RRB which spans the Delaware River between Morrisville Pennsylvania and Trenton New Jersey is opened,1806 ndash The original Lower Trenton Bridge LRB also called the Trenton Makes the World Takes Bridge RRB which spans the Delaware River between Morrisville Pennsylvania and Trenton New Jersey is opened
4398,"Literature written by citizens of other nations such as Belgium , Switzerland , Canada , Senegal , Algeria , Morocco , etc. is referred to as Francophone literature .","These countries include Belgium , Switzerland , Canada , Senegal , Algeria , and Morocco . Works that are written in French but not from France are called Francophone literature .","Literature written by citizens of other nations such as Belgium , Switzerland , Canada , Senegal , Algeria , Morocco , etc.",4398,0.699361415,0.931247413,-0.717291892,0.884897208,0.999908566,-2.508361816,"['Literature', 'written', 'by', 'citizens', 'of', 'other', 'nations', 'such', 'as', 'Belgium', ',', 'Switzerland', ',', 'Canada', ',', 'Senegal', ',', 'Algeria', ',', 'Morocco', ',', 'etc.', 'is', 'referred', 'to', 'as', 'Francophone', 'literature', '.']",Literature written by citizens of other nations such as Belgium Switzerland Canada Senegal Algeria Morocco etc,Literature written by citizens of other nations such as Belgium Switzerland Canada Senegal Algeria Morocco etc is referred to as Francophone literature
