,source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,new_pred_sentences,new_src_sentence
4284,In NUMBER@1 he was appointed ORGANIZATION@1 and eventually succeeded PERSON@1 as the ORGANIZATION@2 leader in NUMBER@2 .,In NUMBER@1 he was appointed ORGANIZATION@1 and succeeded PERSON@1 as the ORGANIZATION@2 leader in NUMBER@2.,"She is currently full-time mother of their two children , PERSON@2 and PERSON@3 .",4284,0.864482456,0.993170023,-0.547756433,0.737442148,0.000645456,-4.152467728,In NUMBER@1 he was appointed ORGANIZATION@1 and succeeded PERSON@1 as the ORGANIZATION@2 leader in NUMBER@2,In NUMBER@1 he was appointed ORGANIZATION@1 and eventually succeeded PERSON@1 as the ORGANIZATION@2 leader in NUMBER@2
4287,Boursin is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Boursin is a commune. It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France.,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,4287,0.960039616,0.997028589,-1.574762225,0.902165711,0.999487579,-1.399866462,Boursin is a commune It is found in the region Nord Pas de Calais in the Pas de Calais department in the north of France,Boursin is a commune in the Pas de Calais department in the Nord Pas de Calais region of France
4288,Camembert is a commune in the Orne department in northwestern LOCATION@1 .,Camembert is a French word used in the Orne département in the northwest of LOCATION@1.,Camembert is a village in LOCATION@1 .,4288,0.90389514,0.999837279,-2.688762188,0.867653251,0.178831995,-2.821044445,Camembert is a French word used in the Orne d partement in the northwest of LOCATION@1,Camembert is a commune in the Orne department in northwestern LOCATION@1
4289,The games opened on February 4 and closed on February 15 .,"The games started on February 4, and ended on February 15.","The games opened on February 4 , 1932 .",4289,0.948242605,0.999061227,-1.560603261,0.929886222,0.858299494,-3.479451895,The games started on February 4 and ended on February 15,The games opened on February 4 and closed on February 15
4290,"The authors com from the Sil Valley , specially from El Bierzu -LRB- Llión -RRB- , and it is the collective book in the Leonese language where there are more authors .","The authors come from the Sil Valley, especially from El Bierzu -LRB- Llión -RRB-, and it is the collective book in the Leonese language where there are more authors.","The authors com from the Sil Valley , specially from El Bierzu and it is the collective book in the Leonese language where there are more authors .",4290,0.958482297,0.991355538,-0.819553316,0.947936142,0.998481214,-1.231724739,The authors come from the Sil Valley especially from El Bierzu LRB Lli n RRB and it is the collective book in the Leonese language where there are more authors,The authors com from the Sil Valley specially from El Bierzu LRB Lli n RRB and it is the collective book in the Leonese language where there are more authors
4291,"There are several different forms of parallel computing : bit-level , instruction level , data , and task parallelism .","There are several kinds of parallel computing : bit-level, instruction level, data, and task parallelism.","Data parallelism ,",4291,0.845639916,0.832920134,-0.805553377,0.723398976,0.116922356,-4.733748913,There are several kinds of parallel computing bit level instruction level data and task parallelism,There are several different forms of parallel computing bit level instruction level data and task parallelism
4292,"The government of Somaliland regards the territory as the successor state to the British Somaliland protectorate , which was independent for a few days in 1960 as the State of Somaliland , before uniting with the Trust Territory of Somalia -LRB- the former Italian Somaliland -RRB- later the same week to form the Somali Republic .","The government of Somaliland regards the territory as the successor state to the British Somaliland protectorate, which was independent for a few days in 1960 as the State of Somaliland, before joining with the Trust Territory of Somalia -LRB- the former Italian Somaliland -RRB- later the same week to form the Somali Republic.","Somaliland was a British colony until 26 June 1960 , when it became the Somaliland Protectorate , an independent country . On 1 July , 1960 , the Somaliland Protectorate joined a new country called Somalia , and they formed the Somali Republic .",4292,0.969753869,0.0,-0.563417494,0.861907433,0.998874784,-2.752354383,The government of Somaliland regards the territory as the successor state to the British Somaliland protectorate which was independent for a few days in 1960 as the State of Somaliland before joining with the Trust Territory of Somalia LRB the former Italian Somaliland RRB later the same week to form the Somali Republic,The government of Somaliland regards the territory as the successor state to the British Somaliland protectorate which was independent for a few days in 1960 as the State of Somaliland before uniting with the Trust Territory of Somalia LRB the former Italian Somaliland RRB later the same week to form the Somali Republic
4293,"Polish Aviation Museum -LRB- -RRB- is a large museum of old aircraft and aircraft engines in LOCATION@1 , LOCATION@2 .","Polish Aviation Museum is a large museum of old aircraft and aircraft engines in LOCATION@1, LOCATION@2.","Polish Aviation Museum -LRB- Polish : PERSON@1 w PERSON@2 -RRB- is a big museum of old plane and plane engine in LOCATION@1 , LOCATION@2 .",4293,0.833976083,0.999134421,-1.021075726,0.854796713,0.907418072,-3.091895103,Polish Aviation Museum is a large museum of old aircraft and aircraft engines in LOCATION@1 LOCATION@2,Polish Aviation Museum LRB RRB is a large museum of old aircraft and aircraft engines in LOCATION@1 LOCATION@2
4294,"A groove is thus differentiated from a dado , which runs across the grain .","A groove is thus different from a dado, which runs across the grain.",electric router using a straight or rebate bit,4294,0.858355039,0.686984479,-0.97031486,0.734957225,0.001756652,-8.165318489,A groove is thus different from a dado which runs across the grain,A groove is thus differentiated from a dado which runs across the grain
4295,Its capital and largest city is Novi Sad .,Its capital is Novi Sad.,Its capital and the largest city is Novi Sad and the second largest city is Subotica .,4295,0.52796323,0.998034,-1.671233177,0.562943288,0.657263577,-2.118571281,Its capital is Novi Sad,Its capital and largest city is Novi Sad
4296,"PERSON@1 -LRB- born NUMBER@1 April NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is an English model , columnist and television personality , who rose to fame in the LOCATION@3 when she was chosen to be a housemate on Big Brother NUMBER@3 in NUMBER@4 .","PERSON@1 -LRB- born NUMBER@1 April NUMBER@2 in LOCATION@1, LOCATION@2 -RRB- is an English model, columnist and television personality.","PERSON@1 -LRB- born NUMBER@1 April NUMBER@2 -RRB- from LOCATION@1 , LOCATION@2 rose to fame in the LOCATION@3 when she was chosen to be a housemate on Big Brother NUMBER@3 in NUMBER@4 .",4296,0.474435636,0.999829948,-1.076858163,0.505106317,0.999265373,-1.212802052,PERSON@1 LRB born NUMBER@1 April NUMBER@2 in LOCATION@1 LOCATION@2 RRB is an English model columnist and television personality,PERSON@1 LRB born NUMBER@1 April NUMBER@2 in LOCATION@1 LOCATION@2 RRB is an English model columnist and television personality who rose to fame in the LOCATION@3 when she was chosen to be a housemate on Big Brother NUMBER@3 in NUMBER@4
4298,"Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas , Texas on September 22 , 1960 . The second of seven children , Richard grew up in a section of West Dallas known during the Great Depression as ` The Devil 's Back Porch ' .","Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas, Texas on September 22, 1960.","Richard Dominguez was born in Dallas , Texas on September 22 , 1960 as the second of seven children .",4298,0.410218157,0.999842048,-0.429034591,0.392046543,0.995271862,-1.327480197,Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas Texas on September 22 1960,Richard Dominguez was born Eufrancio Ricardo Dominguez to Ricardo and Juanita Dominguez in Dallas Texas on September 22 1960 The second of seven children Richard grew up in a section of West Dallas known during the Great Depression as The Devil s Back Porch
4301,"Plans are now afoot for the development of a retail complex consisting of a cinema , DIY store and a nationally recognised clothing stores .","Plans are now afoot for the development of a retail complex consisting of a cinema, DIY store and a nationally recognised clothing store.","Plans exist for a cinema , a DIY and a clothing store .",4301,0.953553581,0.971572995,-0.584398031,0.849494929,0.998047352,-2.672452927,Plans are now afoot for the development of a retail complex consisting of a cinema DIY store and a nationally recognised clothing store,Plans are now afoot for the development of a retail complex consisting of a cinema DIY store and a nationally recognised clothing stores
4302,"Someone 's desire for a slice of pizza , for example , will tend to cause that person to move his or her body in a specific manner and in a specific direction to obtain what he or she wants .","Someone's desire for a slice of pizza, for example, tends to cause that person to move his or her body in a specific manner and in a specific direction to get what he or she wants.","Someone 's desire for a hat , for example , will tend to cause that person to move his or her body in a specific manner and in a specific direction to obtain what he or she wants .",4302,0.899802147,0.999509156,-0.711247563,0.923409406,0.976643741,-1.164016485,Someone s desire for a slice of pizza for example tends to cause that person to move his or her body in a specific manner and in a specific direction to get what he or she wants,Someone s desire for a slice of pizza for example will tend to cause that person to move his or her body in a specific manner and in a specific direction to obtain what he or she wants
4305,"The Roman Catholic Church is the largest denomination with over 1.1 billion members , comprising over half of all Christians worldwide making it the largest denomination for any religion worldwide -LRB- although the Church itself does not view itself as a denomination , but as pre-denominational -RRB- . Protestant denominations comprise roughly 38-39 % of Christians worldwide , and together the Catholics , Protestants , Anglicans , and other closely related denominations comprise Western Christianity .","The Roman Catholic Church is the largest denomination with over 1.1 billion members, making it the largest denomination for any religion worldwide.",Many Christian denomination see themselves as part of the worldwide Church which includes other denominations as well .,4305,0.24345313,0.999692559,-0.675990045,0.236235689,0.901419818,-3.775948286,The Roman Catholic Church is the largest denomination with over 1 1 billion members making it the largest denomination for any religion worldwide,The Roman Catholic Church is the largest denomination with over 1 1 billion members comprising over half of all Christians worldwide making it the largest denomination for any religion worldwide LRB although the Church itself does not view itself as a denomination but as pre denominational RRB Protestant denominations comprise roughly 38 39 of Christians worldwide and together the Catholics Protestants Anglicans and other closely related denominations comprise Western Christianity
4306,"The Nahe River is a river in Rhineland-Palatinate and Saarland , Germany , a left tributary to the Rhine .","The Nahe River is a river in Rhineland-Palatinate and Saarland, Germany.","The Nahe is a river in Rhineland-Palatinate , Germany , a left tributary to the Rhine .",4306,0.625397133,0.995741367,-0.503094018,0.655789537,0.946575165,-0.993025422,The Nahe River is a river in Rhineland Palatinate and Saarland Germany,The Nahe River is a river in Rhineland Palatinate and Saarland Germany a left tributary to the Rhine
4307,PERSON@1 is the largest of LOCATION@1 's LOCATION@2 and is the only one to rise significantly above sea level .,PERSON@1 is the largest of LOCATION@1's LOCATION@2 and is the only one to rise above sea level.,PERSON@1 is the largest of LOCATION@1 's LOCATION@2 . It is the only one to rise notably above sea level .,4307,0.811242501,0.986361206,-1.541433573,0.831480373,0.9373703,-1.64392662,PERSON@1 is the largest of LOCATION@1 s LOCATION@2 and is the only one to rise above sea level,PERSON@1 is the largest of LOCATION@1 s LOCATION@2 and is the only one to rise significantly above sea level
4309,"Note , however , that contrary to some sites directed towards youth , Wikipedia does not have staff to patrol discussion pages or remove inappropriate comments ; it only has volunteer administrators , who may exclude people breaching civility rules , but who will not censor conversations , even if they deal with adult topics .","However, unlike some sites directed towards youth, Wikipedia does not have staff to patrol discussion pages or remove inappropriate comments ; it only has volunteer administrators, who may exclude people breaching civility rules, but who will not censor conversations, even if they deal with adult topics.","Note , however , that unlike some sites directed towards youth , Wikipedia does not have staff to patrol discussion pages or remove inappropriate comments . All administrators are volunteers , who may block people breaking rules , but who will not censor conversations , even if they deal with adult topics .",4309,0.893599582,0.99911958,-0.759835005,0.904863005,0.999952316,-1.523352385,However unlike some sites directed towards youth Wikipedia does not have staff to patrol discussion pages or remove inappropriate comments it only has volunteer administrators who may exclude people breaching civility rules but who will not censor conversations even if they deal with adult topics,Note however that contrary to some sites directed towards youth Wikipedia does not have staff to patrol discussion pages or remove inappropriate comments it only has volunteer administrators who may exclude people breaching civility rules but who will not censor conversations even if they deal with adult topics
4311,"is an award-winning NUMBER@1 Japanese anime series directed by PERSON@1 , written by PERSON@2 , and produced by Sunrise .",is an award-winning NUMBER@1 Japanese anime written by PERSON@2 and produced by Sunrise.,PERSON@3,4311,0.674951163,0.74620837,-1.302717924,0.564995029,0.000302455,-4.25214386,is an award winning NUMBER@1 Japanese anime written by PERSON@2 and produced by Sunrise,is an award winning NUMBER@1 Japanese anime series directed by PERSON@1 written by PERSON@2 and produced by Sunrise
4313,"Photosynthesis -LRB- foÊ toÊ Ë sÉ nÎ É sÉ s ; from the Greek -LRB- photo - -RRB- , '' light , '' and -LRB- synthesis -RRB- , '' putting together '' , '' composition '' -RRB- is a process that converts carbon dioxide into organic compounds , especially sugars , using the energy from sunlight . Photosynthesis occurs in plants , algae , and many species of bacteria , but not in archaea .","Photosynthesis -LRB- fo to  sÉ sÉ s -RRB- is the process that converts carbon dioxide into organic compounds, especially sugars, using the energy from sunlight.","Photosynthesis is a process that turns carbon dioxide into organic compounds , especially sugars using sunlight .",4313,0.345437299,0.0,-1.781742334,0.329194476,0.999626398,-1.408283114,Photosynthesis LRB fo to s s s RRB is the process that converts carbon dioxide into organic compounds especially sugars using the energy from sunlight,Photosynthesis LRB fo to s n s s from the Greek LRB photo RRB light and LRB synthesis RRB putting together composition RRB is a process that converts carbon dioxide into organic compounds especially sugars using the energy from sunlight Photosynthesis occurs in plants algae and many species of bacteria but not in archaea
4314,"ORGANIZATION@1 , which puts its focus on providing consultancy services for complex branding and design processes to service industries , followed in NUMBER@1 .","ORGANIZATION@1, which is focused on providing consultancy services for complex branding and design processes to service industries, followed in NUMBER@1.","In NUMBER@2 , he was co-curator of '' Attitudes for the Next Millennium '' together with colleague Dr. PERSON@1 at the ORGANIZATION@2 .",4314,0.90514734,0.95989126,-1.356647015,0.783621539,0.001425282,-5.083600044,ORGANIZATION@1 which is focused on providing consultancy services for complex branding and design processes to service industries followed in NUMBER@1,ORGANIZATION@1 which puts its focus on providing consultancy services for complex branding and design processes to service industries followed in NUMBER@1
4315,"The ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- is a federal law enforcement agency under the ORGANIZATION@3 , tasked with combating drug smuggling and use within the LOCATION@1 .",The ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- is a federal law enforcement agency under the ORGANIZATION@3.,The ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- is a law enforcement agency that works for the ORGANIZATION@3 that enforces the LOCATION@1 drug laws .,4315,0.542716899,0.999280035,-0.483382165,0.56573217,0.999943793,-1.444921494,The ORGANIZATION@1 LRB ORGANIZATION@2 RRB is a federal law enforcement agency under the ORGANIZATION@3,The ORGANIZATION@1 LRB ORGANIZATION@2 RRB is a federal law enforcement agency under the ORGANIZATION@3 tasked with combating drug smuggling and use within the LOCATION@1
4316,The headwaters are located on LOCATION@1 and the river continues down through ORGANIZATION@1 .,The headwaters are on LOCATION@1 and the river continues down through ORGANIZATION@1.,The river starts on LOCATION@1 and the river runs down through ORGANIZATION@1 .,4316,0.869682564,0.928659737,-0.81963855,0.828914363,0.214827254,-1.435522199,The headwaters are on LOCATION@1 and the river continues down through ORGANIZATION@1,The headwaters are located on LOCATION@1 and the river continues down through ORGANIZATION@1
4317,"PERSON@1 , PERSON@2 , takes control of the LOCATION@1 and the LOCATION@2 .",PERSON@1 takes control of the LOCATION@1 and the LOCATION@2.,ORGANIZATION@1 is founded in present-day LOCATION@3 .,4317,0.726429578,0.995519757,-0.932895482,0.711926802,0.297978312,-3.894118071,PERSON@1 takes control of the LOCATION@1 and the LOCATION@2,PERSON@1 PERSON@2 takes control of the LOCATION@1 and the LOCATION@2
4318,"He was initially appointed Secretary of State for LOCATION@1 for the coalition government , then was appointed Chief Secretary to the ORGANIZATION@1 after the resignation of PERSON@1 on NUMBER@1 May NUMBER@2 .","He was first appointed Secretary of State for LOCATION@1 for the coalition government, then Chief Secretary to the ORGANIZATION@1 after the resignation of PERSON@1 on NUMBER@1 May NUMBER@2.","When the Conservative-Liberal Democrat coalition government was formed on May NUMBER@3 , NUMBER@2 , PERSON@2 was appointed as the Secretary of State for LOCATION@1 , however was made the Chief Secretary to the ORGANIZATION@1 on May NUMBER@1 , NUMBER@2 .",4318,0.870376389,0.99934274,-0.54161042,0.822711004,0.999202907,-2.27198267,He was first appointed Secretary of State for LOCATION@1 for the coalition government then Chief Secretary to the ORGANIZATION@1 after the resignation of PERSON@1 on NUMBER@1 May NUMBER@2,He was initially appointed Secretary of State for LOCATION@1 for the coalition government then was appointed Chief Secretary to the ORGANIZATION@1 after the resignation of PERSON@1 on NUMBER@1 May NUMBER@2
4319,"For their service after 1994 , see London Underground 1992 Stock The British Rail Class 482 electrical multiple units were built by Adtranz in 1992 , for use on the Waterloo & City Line .","For their service after 1994, see London Underground 1992 Stock The British Rail Class 482 multiple units were built by Adtranz in 1992, for use on the Waterloo & City Line.","For their service after 1994 , see London Underground 1992 Stock The British Rail Class 482 electrical multiple units were built by Adtranz in 1992 , for use on the Waterloo & City line .",4319,0.894211341,0.997994721,-1.041395903,0.924357066,0.999949932,-1.075698376,For their service after 1994 see London Underground 1992 Stock The British Rail Class 482 multiple units were built by Adtranz in 1992 for use on the Waterloo City Line,For their service after 1994 see London Underground 1992 Stock The British Rail Class 482 electrical multiple units were built by Adtranz in 1992 for use on the Waterloo City Line
4320,Rum is a distilled beverage made from sugarcane by-products such as molasses and sugarcane juice by a process of fermentation and distillation .,Rum is made from sugarcane by-products such as molasses and sugarcane juice by a process of fermentation and distillation.,It is made from molasses and other sugarcane by-products through fermentation and distillation .,4320,0.809237998,0.999830484,-0.611647844,0.790843609,0.999879181,-1.571752667,Rum is made from sugarcane by products such as molasses and sugarcane juice by a process of fermentation and distillation,Rum is a distilled beverage made from sugarcane by products such as molasses and sugarcane juice by a process of fermentation and distillation
4321,locations = 276,Locations = 276,"They have a mascot named '' Zeddy '' , which is a teddy bear .",4321,0.997055888,0.988918364,-4.730010033,0.832697392,0.004510355,-4.994805813,Locations 276,locations 276
4323,"She also competed in chess tournaments with some of the world 's leading male chess masters , defeating many of them , including future World Champion Max Euwe .",She also competed in chess tournaments with some of the world's leading male chess masters.,"In 1944 , in World War II , with 38-year-old Vera still womens world champion , the two sisters and their mother were killed by a V-1 rocket , which destroyed their home .",4323,0.502525122,0.998428643,-0.810416281,0.46682882,0.007390002,-4.90958643,She also competed in chess tournaments with some of the world s leading male chess masters,She also competed in chess tournaments with some of the world s leading male chess masters defeating many of them including future World Champion Max Euwe
4324,"BÃ arnaise sauce is frequently erroneously referred to as Bernaise sauce , as if it were from Bern , the capital city of Switzerland , which is in no way connected with this sauce or its origins .","B arnaise sauce is often referred to as Bernaise sauce, as if it were from Bern, the capital city of Switzerland, which is in no way connected with this sauce or its origins.","BÃ arnaise sauce is often wrongly called Bernaise sauce , as if it were from Bern , the capital city of Switzerland , which is in no way connected with this sauce or its origins .",4324,0.82917365,0.969906509,-1.083559752,0.87450345,0.99943763,-1.629822493,B arnaise sauce is often referred to as Bernaise sauce as if it were from Bern the capital city of Switzerland which is in no way connected with this sauce or its origins,B arnaise sauce is frequently erroneously referred to as Bernaise sauce as if it were from Bern the capital city of Switzerland which is in no way connected with this sauce or its origins
4325,"The castle has for centuries been one of the most important Renaissance castles in LOCATION@1 and was added to ORGANIZATION@1 's ORGANIZATION@2 list on November NUMBER@1 , NUMBER@2 .","The castle has been one of the most important Renaissance castles in LOCATION@1 and was added to ORGANIZATION@1's ORGANIZATION@2 list on November NUMBER@1, NUMBER@2.","The castle has for centuries been one of the most important Renaissance castles in LOCATION@1 . It was added to ORGANIZATION@1 's ORGANIZATION@2 list on November NUMBER@1 , NUMBER@2 .",4325,0.865396597,0.99871558,-0.643594205,0.90249955,0.957786202,-0.512492657,The castle has been one of the most important Renaissance castles in LOCATION@1 and was added to ORGANIZATION@1 s ORGANIZATION@2 list on November NUMBER@1 NUMBER@2,The castle has for centuries been one of the most important Renaissance castles in LOCATION@1 and was added to ORGANIZATION@1 s ORGANIZATION@2 list on November NUMBER@1 NUMBER@2
4330,"PloieÅ ti -LRB- ; older spelling : PloeÈ ti -RRB- is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 , LOCATION@3 .",Ploie ti is a town in LOCATION@2 in the LOCATION@3.,PloieÅ ti is the county seat . of LOCATION@1 .,4330,0.276937065,0.969142616,-3.261775494,0.292708472,0.753288627,-3.226077318,Ploie ti is a town in LOCATION@2 in the LOCATION@3,Ploie ti LRB older spelling Ploe ti RRB is the county seat of LOCATION@1 and lies in the historical region of LOCATION@2 LOCATION@3
4333,"The mRNA is then exported from the nucleus to the cytoplasm , where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA . In prokaryotic cells , which do not have nucleus and cytoplasm compartments , mRNA can bind to ribosomes while it is being transcribed from DNA .","In prokaryotic cells which do not have nucleus and cytoplasm compartments, mRNA can bind to ribosomes while being transcribed from DNA.",Then the mRNA moves from the nucleus to the ribosomes in the cytoplasm to form proteins .,4333,0.388087434,0.999839008,-0.536501944,0.369909718,0.999919653,-2.572491407,In prokaryotic cells which do not have nucleus and cytoplasm compartments mRNA can bind to ribosomes while being transcribed from DNA,The mRNA is then exported from the nucleus to the cytoplasm where it is bound to ribosomes and translated into its corresponding protein form with the help of tRNA In prokaryotic cells which do not have nucleus and cytoplasm compartments mRNA can bind to ribosomes while it is being transcribed from DNA
4335,"Yusuke Murayama is a Japanese former football player who played for Shonan Bellmare , Omiya Ardija and Oita Trinita .",Yusuke Murayama is a former Japanese football player. He plays for Omiya Ardija and Oita Trinita.,Yusuke Murayama -LRB- born 10 June 1981 -RRB- is a Japanese football player . He plays for Oita Trinita .,4335,0.775876205,0.997996747,-1.252590537,0.744812039,0.999379456,-3.878168344,Yusuke Murayama is a former Japanese football player He plays for Omiya Ardija and Oita Trinita,Yusuke Murayama is a Japanese former football player who played for Shonan Bellmare Omiya Ardija and Oita Trinita
4337,Denver is the capital and the most populous city of Colorado .,Denver is the capital city of Colorado.,"The states most liked city , and capital , is Denver .",4337,0.596895036,0.977389872,-1.568861842,0.542210202,0.999929905,-5.290262699,Denver is the capital city of Colorado,Denver is the capital and the most populous city of Colorado
4342,The band 's first recordings were three songs that appeared on a 1986 compilation album for C/Z Records called Deep Six .,The band's first recordings were three songs that appeared on an album for C/Z called Deep Six.,The band 's first recordings were three songs that appeared on a compilation for C/Z Records called Deep Six .,4342,0.73453815,0.972122192,-1.306133389,0.769181855,0.965013385,-1.284378529,The band s first recordings were three songs that appeared on an album for C Z called Deep Six,The band s first recordings were three songs that appeared on a 1986 compilation album for C Z Records called Deep Six
4343,Montescourt-Lizerolles is a commune in the Aisne department in Picardy in northern France .,Montescourt-Lizerolles is a commune. It is found in the region Picardie in the Aisne department in the north of France.,Montescourt-Lizerolles is a commune . It is found in the region Picardie in the Aisne department in the north of France .,4343,0.964138448,0.99970901,-3.050509691,0.98136127,0.99970901,-3.492935658,Montescourt Lizerolles is a commune It is found in the region Picardie in the Aisne department in the north of France,Montescourt Lizerolles is a commune in the Aisne department in Picardy in northern France
4344,They were the first of a new design of diesel shunters based on the English Electric NUMBER@1 of diesel engine .,They were the first of a new design of diesel shunters based on the English Electric NUMBER@1 engine.,They were the first of a new design of diesel shunters based on the English Electric NUMBER@1 of NUMBER@2 hp diesel engine .,4344,0.865600369,0.882402778,-0.615813076,0.88638584,0.848693728,-1.582275629,They were the first of a new design of diesel shunters based on the English Electric NUMBER@1 engine,They were the first of a new design of diesel shunters based on the English Electric NUMBER@1 of diesel engine
4345,"Overview Fall season is performed in NUMBER@1 teams , and higher eight teams go into PERSON@1 playoff .","Overview Fall season is played in NUMBER@1 teams, and higher eight teams go into PERSON@1 playoff.","Overview It was performed in NUMBER@1 teams , and LOCATION@1 PERSON@2 won the championship .",4345,0.9122675,0.707551301,-1.311996937,0.818640005,0.991739511,-3.811209202,Overview Fall season is played in NUMBER@1 teams and higher eight teams go into PERSON@1 playoff,Overview Fall season is performed in NUMBER@1 teams and higher eight teams go into PERSON@1 playoff
4346,"PERSON@1 -LRB- -RRB- -LRB- born NUMBER@1 March NUMBER@2 in ORGANIZATION@1 , LOCATION@1 -RRB- is a World Cup winning Spanish footballer who currently plays for ORGANIZATION@2 and the Spanish national team .",PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is a Spanish football player. He currently plays for ORGANIZATION@2 and LOCATION@1 national team.,He plays for ORGANIZATION@2 and LOCATION@2 national team .,4346,0.651295665,0.999923885,-1.623379588,0.598355087,0.965963125,-2.879119158,PERSON@1 LRB born NUMBER@1 March NUMBER@2 RRB is a Spanish football player He currently plays for ORGANIZATION@2 and LOCATION@1 national team,PERSON@1 LRB RRB LRB born NUMBER@1 March NUMBER@2 in ORGANIZATION@1 LOCATION@1 RRB is a World Cup winning Spanish footballer who currently plays for ORGANIZATION@2 and the Spanish national team
4347,"The bulk , composition and mass of Adrastea are not known , but assuming that its mean density is like that of Amalthea , -LRB- around 0.86 g/cm ³ -RRB- its mass can be estimated at about 2 kg .","The bulk, composition and mass of Adrastea are not known, but assuming that its mean density is like that of Amalthea, its mass can be estimated at about 2 kg.","What Adrastea is made of and the mass of Adrastea are not known , but assuming that its mean density is like that of Amalthea -LRB- ~ 0.86 g/cm ³ -RRB- its mass can be estimated at ~ 2 × 1015 kg .",4347,0.744688582,0.999184966,-0.448181957,0.790157548,0.999646962,-1.368353128,The bulk composition and mass of Adrastea are not known but assuming that its mean density is like that of Amalthea its mass can be estimated at about 2 kg,The bulk composition and mass of Adrastea are not known but assuming that its mean density is like that of Amalthea LRB around 0 86 g cm RRB its mass can be estimated at about 2 kg
4350,"Ï Î Ï , etymologically compounding the name Î Î Î 1\/2 Ï Ï -LRB- Minos -RRB- and the noun Ï Î Ï Ï Î Ï '' bull '' , translating as '' -LRB- the -RRB- Bull of Minos '' ."," Î , etymologically compounding the name Î Î 1/2   -LRB- Minos -RRB- and the noun  Î   '' bull ''.",Ï Î Ï -RRB- is a creature in Greek mythology .,4350,0.517172947,0.997616351,-1.590325236,0.477940978,0.999144733,-2.989919662,etymologically compounding the name 1 2 LRB Minos RRB and the noun bull,etymologically compounding the name 1 2 LRB Minos RRB and the noun bull translating as LRB the RRB Bull of Minos
4352,"1897 & ndash ; Alfredo Bracchi , Italian author -LRB- d. 1976 -RRB-","1897 - Alfredo Bracchi, Italian writer -LRB- died 1976 -RRB-","1989 - Ryan Sheckler , American skateboarder",4352,0.819440849,0.997834146,-2.501889229,0.735420718,0.0004142,-5.392421246,1897 Alfredo Bracchi Italian writer LRB died 1976 RRB,1897 ndash Alfredo Bracchi Italian author LRB d 1976 RRB
4354,"In Hong Kong , Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify , letting Dent and Gordon arrest the mob .","In Hong Kong, Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify. Dent and Gordon arrest the mob.","Gordon , who is originally against it , agrees .",4354,0.894159141,0.993989289,-0.651524901,0.743445993,0.000771503,-6.110141277,In Hong Kong Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify Dent and Gordon arrest the mob,In Hong Kong Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify letting Dent and Gordon arrest the mob
4355,"Genar Andrinúa Cortabarría -LRB- born May 9 , 1964 in Bilbao , Biscay -RRB- is a former Spanish footballer , who played as a central defender .",Genar Cortabarra -LRB- born 9 May 1964 -RRB- is a former Spanish football player.,"Genar Andrinúa -LRB- born 9 May , 1964 -RRB- is a former Spanish football player .",4355,0.480502106,0.999688506,-2.260653496,0.497918068,0.998557448,-3.034662485,Genar Cortabarra LRB born 9 May 1964 RRB is a former Spanish football player,Genar Andrin a Cortabarr a LRB born May 9 1964 in Bilbao Biscay RRB is a former Spanish footballer who played as a central defender
