,source_sentence,pred,bart_score_gold
4349,", Sharon , and Caroline each had small parts as musicians , while Andrea had a speaking part as Sharon Rabbitte .","Jim, Sharon, and Caroline each had small parts as musicians, while Andrea had a speaking part as Sharon Rabbitte.",-2.579523087
4350,"Î Ï , etymologically compounding the name Î Î Î 1\/2 Ï Ï -LRB- Minos -RRB- and the noun Ï Î Ï Ï Î Ï '' bull '' , translating as '' -LRB- the -RRB- Bull of Minos '' ."," Î , etymologically compounding the name Î Î 1/2   -LRB- Minos -RRB- and the noun  Î   '' bull ''.",-2.989919662
4351,Tinker Bell soon learns from Queen Clarion -LRB- Anjelica Huston -RRB- that only nature-talent fairies visit the mainland .,But Tinker Bell soon learns from Queen Clarion -LRB- Anjelica Huston -RRB- that only nature-talent fairies visit the mainland.,-3.155219316
4352,"& ndash ; Alfredo Bracchi , Italian author -LRB- d. 1976 -RRB-","1897 - Alfredo Bracchi, Italian writer -LRB- died 1976 -RRB-",-5.392421246
4353,"highest mountain in the LOCATION@1 is PERSON@1 , at NUMBER@1 m , on the Italianâ '' French border .","The highest mountain in the LOCATION@1 is PERSON@1, at NUMBER@1 m, on the Italianâ '' French border.",-0.788614035
4354,"Hong Kong , Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify , letting Dent and Gordon arrest the mob .","In Hong Kong, Batman captures Lau with a skyhook and delivers him to the Gotham City police where Lau agrees to testify. Dent and Gordon arrest the mob.",-6.110141277
4355,"Andrinúa Cortabarría -LRB- born May 9 , 1964 in Bilbao , Biscay -RRB- is a former Spanish footballer , who played as a central defender .",Genar Cortabarra -LRB- born 9 May 1964 -RRB- is a former Spanish football player.,-3.034662485
4356,"ORGANIZATION@1 follows the coast of LOCATION@1 and LOCATION@2 provinces , linking LOCATION@3 and LOCATION@4 .","The ORGANIZATION@1 follows the coast of LOCATION@1 and LOCATION@2 provinces, linking LOCATION@3 and LOCATION@4.",-1.286059141
4357,-LRB-/O1992/O-RRB- p. NUMBER@1 Curse tablets also included hair or pieces of clothing .,PERSON@1 -LRB-/O1992/O-RRB- p. NUMBER@1 Curse tablets also included hair or pieces of clothing.,-2.478354692
4358,district was created in NUMBER@1 when districts were introduced in LOCATION@1 .,The district was created in NUMBER@1 when districts were introduced in LOCATION@1.,-4.433809757
4359,"this time he served as Minister for Education -LRB- NUMBER@1 -- NUMBER@2 -RRB- , ORGANIZATION@1 -LRB- NUMBER@2 -- NUMBER@3 -RRB- , Minister for Labour -LRB- NUMBER@3 -- NUMBER@4 -RRB- and Minister for ORGANIZATION@2 -LRB- NUMBER@4 -- NUMBER@5 -RRB- .","During this time he served as Minister for Education -LRB- NUMBER@1 -- NUMBER@2 -RRB-, ORGANIZATION@1 -LRB- NUMBER@2 -- NUMBER@3 -RRB-, Minister for Labour -LRB- NUMBER@3 -- NUMBER@4 -RRB- and Minister for ORGANIZATION@2 -LRB- NUMBER@5 -- NUMBER@",-0.476224303
4360,"greenhouse effect heats the earth because greenhouse gases absorb outgoing radiative energy and re-emit some of it back towards earth . A greenhouse is built of any material that passes sunlight , usually glass , or plastic .","A greenhouse is made of any material that passes sunlight, usually glass, or plastic.",-3.143874645
4361,"is the reduction of nitrates back into the largely inert nitrogen gas -LRB- NUMBER@1 -RRB- , completing the nitrogen cycle .","Denitrification is the reduction of nitrates back into the inert nitrogen gas -LRB- NUMBER@1 -RRB-, completing the nitrogen cycle.",-2.637751102
4362,"September 23 , 1987 , Illgner made his debut for the West Germany national football team in a 1 -- 0 friendly home win against Denmark , and went on to back Eike Immel during UEFA Euro 1988 .","On September 23, Illgner made his first appearance for the West Germany national football team in a 1 -- 0 friendly home win against Denmark, and went on to back Eike Immel during UEFA Euro 1988.",-3.891323805
4363,"district was created in NUMBER@1 by merging the three previous districts LOCATION@1 , PERSON@1 and LOCATION@2 .","The district was created in NUMBER@1 by merging the three previous districts LOCATION@1, PERSON@1 and LOCATION@2.",-2.158733606
4364,"eight-fold star in the bottom part is taken from the coat of arms of the counts and princes of Waldeck , and was also the old coat of arms of the district Waldeck .","The eight-fold star in the bottom part is taken from the coat of arms of Waldeck, and was also the old coat of arms of the district Waldeck.",-0.493893623
4365,"visited Syria in 2001 , and gave a speech at a memorial ceremony for Syrian President Hafez al-Assad where he was accused of expressed support for Hezbollah .","Bishara visited Syria in 2001, and gave a speech at a memorial ceremony for Syrian President Hafez al-Assad where he was accused of expressed support for Hezbollah.",-1.823795795
4366,in custody she developed a brain tumour from which she died in 1975 .,"When in custody, she developed a brain tumour that died in 1975.",-1.493103027
4367,"NUMBER@1 Peace of LOCATION@1 , which ended the American Revolutionary War , the British ceded both East and LOCATION@2 back to LOCATION@3 -LRB- see Spanish LOCATION@4 -RRB- .","In NUMBER@1 Peace of LOCATION@1, the British surrendered both East and LOCATION@2 to LOCATION@3.",-3.105689526
4368,of these are illegal in most jurisdictions .,All of these are illegal in most jurisdictions.,-2.236733437
4369,-LRB- also called sibs -RRB- are people who share at least one parent .,Siblings -LRB- also called sibs -RRB- are people who share at least one parent.,-7.61487627
4370,"1993 he was made a life peer , as Lord Menuhin of Stoke d'Abernon in the County of Surrey .","In 1993 he was made a life peer, as Lord Menuhin of Stoke d'Abernon in the County of Surrey.",-1.406221509
4371,'s supporters were called Bolsheviks -LRB- '' the majority '' -RRB- .,Lenin's supporters were called Bolsheviks -LRB- '' the majority '' -RRB-.,-2.235766888
4372,"not entirely completed , the Court Opera -LRB- Hofoper -RRB- was inaugurated with a performance of Carl Heinrich Graun 's Cesare e Cleopatra on December 7 , 1742 .",The Court Opera -LRB- Hofoper -RRB- was inaugurated with a performance of Carl Heinrich Grauns Cesare e Cleopatra on 7 December 1742.,-4.427658081
4373,"PERSON@1 came to an end , he played the starring role of Captain PERSON@2 in the science-fiction drama series Andromeda from NUMBER@1 to NUMBER@2 .","After PERSON@1 ended, he played the role of Captain PERSON@2 in the science-fiction drama series Andromeda from NUMBER@1 to NUMBER@2.",-0.573443592
4374,"was then located on the territory of Lower Lorraine , in the area of Geldern and Roermond , with its main stronghold at Montfort -LRB- built 1260 -RRB- .","It was then located on the territory of Lower Lorraine, in the area of Geldern and Roermond, with its main fortress at Montfort -LRB- built 1260 -RRB-.",-0.594152212
4375,"Vortis is a Japanese professional football -LRB- soccer -RRB- club , currently playing in the J. League Division 2 . The team is located in Tokushima , Tokushima Prefecture .",Tokushima Vortis is a Japanese football club that plays in the J. League Division 2.,-2.355086088
4376,"of 2005 , New Hampshire has an estimated population of 1,309,940 , which is an increase of 10,771 , or 0.8 % , from the prior year and an increase of 74,154 , or 6.0 % , since the year 2000 .","As of 2005, New Hampshire has an estimated population of 1,309,940, which is an increase of 10,771, or 0.8 %, from the prior year and an increase of 74,154, or 6.0 %, since the year 2000.",-3.552039385
4377,"cases of localized pancreatic disease , the Surgery to remove the cancer is often the initial treatment .","In cases of pancreatic disease, surgery to remove the cancer is often the first treatment.",-1.109267712
4378,"algorithm was one of the five finalists , and was also submitted to the NESSIE and CRYPTREC projects .",The algorithm was one of the five finalists and was also submitted to the NESSIE and CRYPTREC projects.,-2.629562378
4379,may also refer to :,Party may also refer to :,-5.278637886
4380,"is a suburb of LOCATION@1 , located on the other side of Red Mountain due south of the city center . It has one of the highest population densities in LOCATION@2 .","It is a suburb of LOCATION@1 on the other side of Red Mountain due south of the city center, and has one of the highest population densities in LOCATION@2.",-1.024523854
4381,By place Asia Gyeonhwon formally establishes the kingdom of Hubaekje in southwestern Korea .,Gyeonhwon officially establishes the kingdom of Hubaekje in southwestern Korea.,-0.567833543
4382,- covering human health and animal health .,Health - covering human health and animal health.,-5.689325809
4383,and posters existed from the ancient times .,Placard and posters existed from the ancient times.,-1.746037722
4384,"raw milk is left standing for a while , it turns '' sour '' .","When raw milk is left standing for a while, it turns '' sour ''.",-3.237619877
4385,"commonly called Hershey 's , is the largest chocolate manufacturer in North America.Booksense.com URL last accessed June 30 , 2006 .","and commonly called Hershey's, is the largest chocolate manufacturer in North America.",-2.254152775
4386,"named it Cape PERSON@1 , after PERSON@2 , Prince of LOCATION@1 , the eldest son of King PERSON@3 I of LOCATION@2 .","They named it Cape PERSON@1, after PERSON@2, Prince of LOCATION@1.",-0.934199274
4387,"the description of the provincial atmosphere and the city 's collective life , PERSON@1 used techniques such as the internal monologue or the free indirect style , which makes the story be narrated by the characters themselves and allows the reader to penetrate in their intimacy .","For the description of the provincial atmosphere and the city's collective life, PERSON@1 used techniques such as the internal monologue or the free indirect style, which makes the story be told by the characters themselves and allows the reader to penetrate in their intimacy.",-1.77241385
4388,"has written narrative fiction -LRB- novels , short stories , short prose -RRB- , essays and poems .","PERSON@1 has written fiction -LRB- novels, short stories, short prose -RRB-.",-2.891346931
4389,"also List of municipalities in Sergipe -LRB- SE -RRB- , Brazil .","See also List of municipalities in Sergipe -LRB- SE -RRB-, Brazil.",-4.618263721
4390,popular variation of coconut cake is coconut poke cake .,One popular variation of coconut cake is coconut poke cake.,-3.484924555
4391,League One was introduced for the 2004 -- 05 season .,Football League One is a football league that plays in the FA Cup.,-4.018798351
4392,"& ndash ; Claudio Abbado , Italian conductor","1933 - Claudio Abbado, Italian conductor",-3.692562819
4393,", NUMBER@2 .","NUMBER@1, NUMBER@2.",-6.873473644
4394,"is a village in the Stirling council area of Scotland , less than a mile to the east of the village of Balquhidder .","Auchtubh is a village in the Stirling council area of Scotland, less than a mile to the east of the village of Balquhidder.",-3.109132051
4395,Storm PERSON@1 was the first subtropical storm to receive a name using the standard hurricane name list that did not become a tropical cyclone .,Subtropical Storm PERSON@1 was the first subtropical storm to get a name using the standard hurricane name list that did not become a tropical cyclone.,-3.668798447
4396,"has a central park and many historic buildings , including old houses near the railway station on Sloane Street and two 19th-century cathedrals .","It has a central park and many historic buildings, including old houses near the railway station on Sloane Street and two 19th-century cathedrals.",-1.001228809
4397,"& ndash ; The original Lower Trenton Bridge -LRB- also called the Trenton Makes the World Takes Bridge -RRB- , which spans the Delaware River between Morrisville , Pennsylvania and Trenton , New Jersey , is opened .",1806 - The original Lower Trenton Bridge -LRB- also called the Trenton Makes the World Takes Bridge -RRB- is built.,-5.12155056
4398,"written by citizens of other nations such as Belgium , Switzerland , Canada , Senegal , Algeria , Morocco , etc. is referred to as Francophone literature .","Literature written by citizens of other nations such as Belgium, Switzerland, Canada, Senegal, Algeria, Morocco, etc. is referred to as Francophone literature.",-2.508361816
4399,"river is also potentially valuable for hydroelectric power , and the Inga Dams below Pool Malebo are first to exploit the Congo river .","The river is also valuable for hydroelectric power, and the Inga Dams below Pool Malebo are first to exploit the Congo river.",-1.90641439
4400,"translated as mateine in articles written in English Some yerba mate enthusiasts assert that mateine is a stereoisomer of caffeine , which would make it a different substance altogether .","Generally translated as mateine in articles written in English Some yerba mate enthusiasts assert that mateine is a stereoisomer of caffeine, which would make it a different substance altogether.",-4.009228706
4401,Ú Ø -RRB- is a valley near LOCATION@1 in the LOCATION@2 .,   -RRB- is a valley near LOCATION@1 in the LOCATION@2.,-2.064668894
4402,"a scandal that became known as '' Crashgate '' in the media , during the 2009 season around the time of the Belgium Grand Prix , allegations by former Renault driver Nelson Piquet Jr. about his crash in the 2008 Singapore Grand Prix led to charges of race-fixing against Renault and the departure of team boss Flavio Briatore and engineering director Pat Symonds .","In a scandal that became known as '' Crashgate '' in the media, during the 2009 season around the time of the Belgia Grand Prix, allegations by former Renault driver Nelson Piquet Jr. about his crash in the 2008 Singapore Grand Prix led to charges of race-fixing against Renault and the departure of team boss Flavio Briatore and engineering director Pat Symonds.",-1.058596492
4403,", NUMBER@1 , note NUMBER@2 Dürer 's godfather was PERSON@2 , who left goldsmithing to become a printer and publisher in the year of PERSON@3 's birth .","PERSON@1, NUMBER@1, note NUMBER@2 Dürer's godfather was PERSON@2. He left goldsmithing to become a printer and publisher in the year of PERSON@3's birth.",-0.985581994
4404,"a language no longer in common use -LRB- a dead language , though some would dispute whether it should be called '' dead '' -RRB- , Latin has the advantage that the meaning of its words have less likelihood of changing radically from century to century .","As a language no longer in common use -LRB- a dead language, though some would dispute whether it should be called '' dead '', Latin has the advantage that the meaning of its words have less likelihood of changing radically from century to century.",-0.706838667
4405,August 1941 Robert Menzies resigned as Prime Minister .,In August 1941 Robert Menzies resigned as Prime Minister.,-2.646452904
4406,Kuo is a Taiwanese singer and actor .,Alan Kuo is a Taiwanese singer and actor.,-4.489818096
4407,original '' Kaval sviri '' can be heard where PERSON@1 races into battle in the Hercules episode '' Unchained Heart '' .,The original Kaval sviri can be heard where PERSON@1 races into battle in the Hercules episode '' Unchained Heart ''.,-3.39851284
4408,"the end of the Late Classic Period , no new major monuments were built at Tikal and there is evidence that elite palaces were burned .","Following the end of the Late Classic Period, no new major monuments were built at Tikal and there is evidence that elite palaces were burned.",-2.106364965
4409,"debuted on April 5 , 1987 as the Fox network 's second primetime series after Married ... with Children , and ran until May 26 , 1990 .","It was first shown on April 5 1987 as the Fox network's second primetime series after Married... with Children, and ran until May 26 1990.",-2.296669483
4410,LOCATION@1 is one of the regions of LOCATION@2 and consists of most of the eastern half of the traditional region of the LOCATION@3 .,The LOCATION@1 is one of the regions of LOCATION@2. It consists of most of the eastern half of the traditional region of the LOCATION@3.,-2.617077351
4411,is a municipality in the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3 .,Melide is a municipality of the district of LOCATION@1 in the canton of LOCATION@2 in LOCATION@3.,-1.285610557
4412,"conversion , multiple meanings in telecommunication","Code conversion, multiple meanings in telecommunications",-6.952252388
4413,", p. NUMBER@1 .","Oreopoulou, p.",-4.148053169
4414,is a commune in the Calvados department in the LOCATION@1 region in northwestern LOCATION@2 .,Maltot is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2.,-2.99179697
4415,"factors for stroke include advanced age , hypertension -LRB- high blood pressure -RRB- , previous stroke or transient ischemic attack -LRB- TIA -RRB- , diabetes , high cholesterol , cigarette smoking and atrial fibrillation .","Risk factors for stroke include advanced age, hypertension -LRB- high blood pressure -RRB-, previous stroke or transient ischemic attack -LRB- TIA -RRB-, diabetes, high cholesterol, smoking and atrial fibrillation.",-1.886596203
4416,"NUMBER@1 January NUMBER@2 , ORGANIZATION@1 NUMBER@3 DJ PERSON@1 started a campaign to get '' Honey to the Bee '' back into the Top NUMBER@4 on download sales as a way of testing out new chart rules that favor download sales .","On January NUMBER@1, NUMBER@2, ORGANIZATION@1 NUMBER@3 DJ PERSON@1 started a campaign to get '' Honey to the Bee '' back into the Top NUMBER@4 on download sales.",-0.871628404
4417,", aka PERSON@2 -LRB- born July NUMBER@1 , NUMBER@2 -RRB- , is a Spanish footballer who plays for ORGANIZATION@1 , as a central defender .",PERSON@1 -LRB- born NUMBER@1 July NUMBER@2 -RRB- is a Spanish football player. He plays for ORGANIZATION@1.,-2.220407963
4418,"the conclusion of the NUMBER@1 season , the ORGANIZATION@1 had the best record of any team in the ORGANIZATION@2 since PERSON@1 was hired as head coach .","At the end of the NUMBER@1 season, the ORGANIZATION@1 had the best record of any team in the ORGANIZATION@2.",-3.448720694
4419,"addition to serving as the reproductive organs of flowering plants , flowers have long been admired and used by humans , mainly to beautify their environment but also as a source of food .","In addition to serving as the reproductive organs of flowering plants, flowers have long been admired and used by humans, mainly to beautify their environment but also as a source of food.",-3.749128103
4420,"was their first album released in the United States , preceding the US version of The Clash .",It was their first album released in the United States.,-3.325568676
4421,"The word is mainly used as a profanity towards someone the speaker does not like or whose behavior is hurtful , self-centered , or particularly abrasive .","Semantics The word is mainly used as a profanity towards someone the speaker does not like or whose behavior is hurtful, self-centered, or particularly abrasive.",-3.050713778
4422,"1966 , New Orleans Square , based on 19th century New Orleans In 1972 , '' Bear Country '' , themed to the mountain forests of the South .","In 1966, New Orleans Square, based on 19th century New Orleans In 1972, '' Bear Country '', themed to the mountain forests of the South.",-3.557934523
4423,"is the term used to describe early devices for projecting an image on a screen , using either a lens or pinhole .","It is the term used to describe early devices for projecting an image on a screen, using either a lens or pinhole.",-3.491970778
4424,died of complications of Huntington 's disease in 1967 .,Guthrie died of complications of Huntington's disease in 1967.,-3.688272476
4425,"prolific PERSON@1 also wrote mysteries and fantasy , as well as much non-fiction .",He wrote books about animals and fantasy.,-3.188120127
4426,peaked at as a category NUMBER@1 hurricane near LOCATION@1 on October NUMBER@2 .,It peaked as a category NUMBER@1 hurricane near LOCATION@1 on October NUMBER@2.,-0.932854235
4427,organizations have stated that difficulties currently experienced by the Armenian minority in LOCATION@1 are a result of an anti-Armenian attitude by the Turkish government Armenian Swiss website .,Several organizations have stated that the Armenian minority in LOCATION@1 are a result of an anti-Armenian attitude by the Turkish government Armenian Swiss website.,-4.636995316
4428,guanaco -LRB- Lama guanicoe -RRB- is a camelid animal native to South America that stands between 107 and 122 centimeters -LRB- 3.5 and 4 feet -RRB- at the shoulder and weighs about 90 kg -LRB- 200 lb -RRB- .,The guanaco -LRB- Lama guanicoe -RRB- is an animal native to South America that stands between 107 and 122 centimeters -LRB- 3.5 and 4 feet -RRB- at the shoulder and weighs about 90 kg -LRB- 200 lb -RRB-.,-1.561923504
4429,"a distinction is also made between varieties and species of a particular animal , such as wild or domestic turkey .","Sometimes a distinction is also made between varieties and species of a particular animal, such as wild turkey.",-7.245831966
4430,"Jolson providing almost all the vocals , and veteran Columbia contractee Larry Parks playing Jolson , The Jolson Story -LRB- 1946 -RRB- became one of the biggest hits of the year .","With Jolson providing almost all the vocals, and veteran Columbia contractee Larry Parks playing Jolson, The Jolson Story -LRB- 1946 -RRB- became one of the biggest hits of the year.",-3.239567757
4431,"RR through RZ , SS through SZ , up to ZZ are used for the next discoveries , e.g. RR Lyrae .","Letters RR through RZ, SS through SZ up to ZZ are used for the next discoveries, e.g. RR Lyrae.",-7.86914444
4432,"formal language L over an alphabet Î # is a subset of Î # \* , that is , a set of words over that alphabet .","A formal language L over an alphabet Î # is a subset of Î # *, that is, a set of words over that alphabet.",-3.776801348
4433,"is the second-largest saltwater lake in the United States , after the Great Salt Lake in Utah , and the largest lake in Louisiana .","It is the second largest saltwater lake in the United States, after the Great Salt Lake in Utah.",-1.081042647
4434,sample mean could serve as a good estimator of the population mean .,The sample mean could be used as a good estimate of the population mean.,-1.69039762
4435,"site was dated through radiocarbon dating to be at 61,000 BP and 110,000 BP through amino acid racemization .","The site was dated through radiocarbon dating to be at 61,000 BP and 110,000 BP by amino acid racemization.",-0.744985521
4436,has won more trophies than any other manager in the history of the English game .,He has won more trophies than any other manager in the history of the English game.,-2.956107855
4437,"on The Tonight Show with Jay Leno ; September 26 , 2005 Alba graduated from high school at age 16 , and she then subsequently attended the Atlantic Theater Company .","Interview on The Tonight Show with Jay Leno ; September 26, 2005 Alba graduated from high school at age 16, and she then went to the Atlantic Theater Company.",-3.015181065
4438,"the city in LOCATION@1 , see LOCATION@2 , LOCATION@1 .","For the city in LOCATION@1, see LOCATION@2, LOCATION@1.",-3.5779984
4439,is a commune in the Aisne department in Picardie in northern France .,Voyenne is a commune. It is found in the region Picardie in the Aisne department in the north of France.,-2.28647995
4440,Child is believed to have been three years old at the time of its death .,Taung Child is believed to have been three years old at the time of its death.,-2.341902018
4441,"Wars : Dual Strike , known in LOCATION@1 as Famicom Wars DS , is a turn-based tactics video game developed by ORGANIZATION@1 and published by ORGANIZATION@2 for the Nintendo DS handheld game console .","Advance Wars : Dual Strike, known in LOCATION@1 as Famicom Wars DS, is a turn-based tactics video game made by ORGANIZATION@1 and published by ORGANIZATION@2 for the Nintendo DS handheld game console.",-1.066915274
4442,has written several books and contributes science essays to publications such as The ORGANIZATION@1 and Discover .,He has written several books and contributes science essays to publications such as The ORGANIZATION@1 and Discover.,-5.204976082
4443,"-LRB- born January NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a retired professional ice hockey player who played NUMBER@3 games in the ORGANIZATION@1 and NUMBER@4 games in the ORGANIZATION@2 .","PERSON@1 -LRB- born January NUMBER@1, NUMBER@2 in LOCATION@1, LOCATION@2 -RRB- is a retired professional ice hockey player who played NUMBER@3 games in the ORGANIZATION@1 and NUMBER@4 games in the ORGANIZATION@2.",-1.131849051
4444,"is foreshadowed most notably by 19th century philosophers SÃ ren Kierkegaard and Friedrich Nietzsche , though it had forerunners in earlier centuries . In the 20th century , the German philosopher Martin Heidegger -LRB- starting from Husserl 's phenomenology -RRB- influenced other existentialist philosophers such as Jean-Paul Sartre , Simone de Beauvoir and -LRB- absurdist -RRB- Albert Camus .","Existentialism is foreshadowed most especially by 19th century philosophers S ren Kierkegaard and Friedrich Nietzsche, though it had forerunners in earlier centuries.",-2.319451809
4445,"has sometimes been incorrectly credited with discovering the Doppler shift in the spectra of galaxies , but this had already been observed earlier by PERSON@1 , whose data Hubble used .","Hubble has sometimes been incorrectly credited with finding the Doppler shift in the spectra of galaxies, but this had already been observed earlier by PERSON@1, whose data Hubble used.",-1.063449502
4446,"-LRB- , -RRB- is one of the ten departments -LRB- French : départements -RRB- of Haiti .",Nord-Est is one of the ten départements -LRB- French : départements -RRB- of Haiti.,-2.255210876
4447,5.5 million people speak Danish .,Around 5.5 million people speak Danish.,-3.739093304
4448,"book was previously adapted into a 1973 feature film starring Ingrid Bergman , later released on home video as The Hideaways .","The book was previously adapted into a 1973 feature movie starring Ingrid Bergman, later released on DVD as The Hideaways.",-1.620039701
4449,"Strauss III -LRB- February 16 , 1866 - January 9 , 1939 ; ; also known as Johann Eduard Strauss -RRB- was an Austrian composer whose father was Eduard Strauss , whose uncles were Johann Strauss II & Josef Strauss , and whose grandfather was Johann Strauss I/O. He was unofficially entrusted with the task of upholding his family 's tradition after the disbandment of the Strauss Orchestra by his father in 1901 .","Johann Strauss III -LRB- February 16, 1866 - January 9, 1939 ; also known as Johann Eduard Strauss -RRB- was an Austrian composer whose father was Eduard Strauss, whose uncles were Johann Strauss II & Josef Strauss.",-2.259307623
4450,"the animal can not be captured , prophylactic rabies treatment is recommended in most places .","If the animal can not be captured, prophylactic rabies treatment is recommended in most places.",-4.7663517
4451,charts are produced and published by the Ultratop organization .,Both charts are produced and published by the Ultratop organization.,-2.16626811
4452,", home of Calvinism , was one of the great centres of the ORGANIZATION@1 . While LOCATION@2 favored the introduction of the new teaching and demanded liberty of preaching for the Reformers PERSON@1 and PERSON@2 , ORGANIZATION@2 renounced in NUMBER@1 its allegiance with LOCATION@1 .","LOCATION@1, home of Calvinism, was one of the great centres of the ORGANIZATION@1, while LOCATION@2 supported the introduction of new teaching and demanded liberty of preaching for the Reformers PERSON@1 and PERSON@2.",-2.086970806
4453,"majority of residents in Wetherby work in Leeds , however many work on the Sandbeck industrial estate , major retailers in the town center or the Thorp Arch Trading Estate .","The majority of residents in Wetherby work in Leeds, however many work on the Sandbeck industrial estate, major retailers in the town center or the Thorp Arch Trading Estate.",-2.817846298
4454,AMACOM Book Chronicles the Story of One Community 's 18-Year Struggle with Big Government and Big Business,New AMACOM Book Chronicles the Story of One Community's 18-Year Struggle with Big Government and Big Business,-5.382666588
4455,-LRB- born NUMBER@1 -RRB- is a performance artist and automotive designer .,PERSON@1 -LRB- born NUMBER@1 -RRB- is a performance artist and automotive designer.,-3.547127485
4456,"is a commune in the Bouches-du-Rh ône department in southern LOCATION@1 , in the province of LOCATION@2 .",PERSON@1 is a commune. It is found in the region Pays de la LOCATION@3 in the Bouches-du-Rh ône department in the south of LOCATION@1.,-5.397886276
4457,Vega is a province of the Dominican Republic .,La Vega is a province in the Dominican Republic.,-2.725744724
4458,"are signed to Virgin Records and released their debut single , '' Wannabe '' , in NUMBER@1 .","They signed to Virgin Records and released their debut single, '' Wannabe '', in NUMBER@1.",-4.465546608
4459,"of foundations laid The Principia covered only set theory , cardinal numbers , ordinal numbers , and real numbers .","Scope of foundations laid The Principia covered only set theory, cardinal numbers, ordinal numbers, and real numbers.",-2.112220287
4460,Brabançonne -LRB- Song of LOCATION@1 -RRB- is the national anthem of LOCATION@2 .,The Brabançonne -LRB- Song of LOCATION@1 -RRB- is the national anthem of LOCATION@2.,-6.208254337
4461,NUMBER@1 ORGANIZATION@1 is a quantitative measure of the ability to identify black symbols on a white background at a standardized distance as the size of the symbols is varied .,ISBN NUMBER@1 ORGANIZATION@1 is a quantitative measure of the ability to identify black symbols on a white background at a standardized distance as the size of the symbols is varied.,-0.973928928
4462,"was a doctor and a surgeon already in the 1820s , long before it was formally permitted for women in 1870 .","She was a doctor and a surgeon already in the 1820s, long before it was allowed for women in 1870.",-1.777672172
4463,"'s song , '' When You Wish upon a Star , '' became a major hit and is still identified with the film , and later as a fanfare for The ORGANIZATION@2 itself .","ORGANIZATION@1's song, When You Wish upon a Star, became a major hit and is still identified with the movie, and later as a fanfare for The ORGANIZATION@2 itself.",-2.200077057
4464,also Timeline of LOCATION@1 See also List of commanders of LOCATION@2 is located in LOCATION@3 and was originally named LOCATION@4 by the Taíno .,See also Timeline of LOCATION@1 See also List of commanders of LOCATION@2 is located in LOCATION@3 and was originally named LOCATION@4.,-3.157840967
4465,is the sequel to the Japan-only Game Boy Advance title Rhythm Tengoku .,It is the sequel to the Game Boy Advance title Rhythm Tengoku.,-1.792336583
4466,res-en-Bessin is a commune in the Calvados department in the LOCATION@1 region in northwestern LOCATION@2 .,Asni res-en-Bessin is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2.,-2.883308172
4467,"storms hit LOCATION@1 within a very short space of time , the LOCATION@2 hurricanes PERSON@1 and PERSON@2 , and the ORGANIZATION@1 .","Three storms hit LOCATION@1 within a very short space of time, the LOCATION@2 hurricanes PERSON@1 and PERSON@2, and the ORGANIZATION@1.",-3.354791641
4468,"of the etymologies for name Vättern is from '' vatten '' , the Swedish word for water .","One of the etymologies for name Vättern is from '' vatten '', the word for water.",-4.883671761
4469,NUMBER@1 he became conservative whip in the ORGANIZATION@1 and served as a Lord in Waiting to Queen PERSON@1 from June NUMBER@2 to January NUMBER@3 and August NUMBER@3 to August NUMBER@4 .,In NUMBER@1 he became conservative whip in the ORGANIZATION@1 and served as a Lord in Waiting to Queen PERSON@1 from June NUMBER@2 to January NUMBER@3 and August NUMBER@3 to August NUMBER@4.,-1.55083859
4470,"barite is so insoluble , it can not be used directly for the preparation of other barium compounds , or barium metal .",Barite can not be used directly for the preparation of other barium compounds.,-4.124082088
4471,"became titular organist of St. Étienne-du-Mont in Paris in 1929 , a position he held for the rest of his life .","Duruflé became organist at St. Étienne-du-Mont in Paris in 1929, a job he kept for the rest of his life.",-1.696358442
4472,"grew up in Titusville , Florida , the son of a preacher with one brother and two sisters .","but grew up in Titusville, Florida, the son of a preacher with one brother and two sisters.",-7.820514202
4473,"is a planar , unsaturated compound that has the ability to absorb light .","It is a planar, unsaturated compound that can absorb light.",-1.508620977
4474,the size of the code or circuitry required to implement such a cipher is nearly halved .,"So, the size of the code or circuitry required to implement such a cipher is nearly halved.",-4.561810017
4475,ORGANIZATION@1 is a political party in LOCATION@1 headed by Sheikh PERSON@1 .,"Today, ORGANIZATION@1 is a political party in LOCATION@1 headed by Sheikh PERSON@1.",-3.018185139
4476,#NAME?,Artery = anterior ethmoidalposterior ethmoidalsphenopalatinegreater palatinebranch of superior labial area,-6.374608517
4477,"doughnuts are fried for about NUMBER@1 seconds at approximately NUMBER@2 Â C to NUMBER@3 Â C , turning once .",Cake doughnuts are fried for about NUMBER@1 seconds at approximately NUMBER@2  C to NUMBER@3  C.,-1.005515575
4478,Dzong overlooks the roads to Yerpa and Ganden Monastery on th east .,Dagtse Dzong overlooks the roads to Yerpa and Ganden Monastery on th east.,-1.460330725
4479,"is from the Lower Cretaceous Yixian Formation near LOCATION@1 , LOCATION@2 , in the western LOCATION@3 province of LOCATION@4 .","It is from the Lower Cretaceous Yixian Formation near LOCATION@1, LOCATION@2, in the western LOCATION@3 province of LOCATION@4.",-2.236097574
