,source_sentence,pred,bart_score
3420,"In 1968 , Humphrey was the nominee of the Democratic Party in the 1968 presidential election but narrowly lost to the Republican nominee , Richard Nixon .","'In 1968, Humphrey was the nominee of the Democratic Party in the 1968 presidential election but narrowly lost to Richard Nixon.",-0.952482879
3421,These dates are intended to help keep track of the stock in stores .,'These dates are meant to keep track of the stock in stores.,-1.548333883
3422,Ordinary white powdered zinc oxide may be produced in the laboratory by electrolyzing a solution of sodium bicarbonate with a zinc anode . Zinc hydroxide and hydrogen gas are produced .,'Zinc hydroxide and hydrogen gas are produced.,-1.59860456
3423,"Video interviews of Huxley from the 1950s , exploring Brave New World , Island , and psychedelics somaweb.org Comprehensive information on Aldous Huxley and Brave New World .","'Videos of Aldous Huxley from the 1950s, exploring Brave New World, Island, and psychedelics somaweb.org Comprehensive information on Aldous Huxley and Brave New World.",-0.963473141
3424,DiseasesDB = 31998,'DiseasesDB = 31998,-2.005237818
3425,"Odebolt is a city in Sac County , Iowa , United States .",'Odebolt is a city of Iowa in the United States.,-1.900400043
3426,"It was published by Five Star Publishing and released on March NUMBER@1 , NUMBER@2 .","'It was published on March NUMBER@1, NUMBER@2.",-1.713158727
3427,Sainte-Croix-Grand-Tonne is a commune in the Calvados department in the Basse-Normandie region in northwestern France .,'It is found in the region Basse-Normandie in the Calvados department in the northwest of France.,-1.964996099
3428,"Ben Jonson 's poem ` On the Famous Voyage ' -LRB- discussed in Andrew McRae 's article , cited below -RRB- provides a mock-epic account of a journey along the excrement-lined ditch during the early seventeenth century .","""Ben Jonson's poem  On the Famous Voyage'-LRB- mentioned in Andrew McRae's article, cited below -RRB- gives a mock-epic account of a journey along the excrement-lined ditch during the early seventeenth century.",-1.029772878
3429,2005 Prime Cuts - From Steve Morse 's Magna Carta sessions -LRB- compilation -RRB-,"""2005 Prime Cuts - From Steve Morse's Magna Carta sessions",-1.721183062
3430,PERSON@1 used an analog 2-inch type tape in recording most of the tracks in the album .,'PERSON@1 used an analog 2-inch tape in recording most of the songs in the album.,-1.219469786
3431,His conjecture was completely proved by Chebyshev -LRB- 1821 â '' 1894 -RRB- in 1850 and so the postulate is also called the Bertrand-Chebyshev theorem or Chebyshev 's theorem .,"""The Bertrand-Chebyshev theorem is also called Chebyshev's theorem.",-1.405986905
3432,The city was initially founded between NUMBER@1 and NUMBER@2 but was soon after abandoned during the War of Independence .,'The city was founded between NUMBER@1 and NUMBER@2 but was later abandoned during the War of Independence.,-0.98607403
3433,"If you need help , check out Questions , ask me on my talk page , or place on your talk page and ask your question there .","'If you need help, check out Questions, ask me on my talk page, or place on your talk page and ask your question there.",-1.119847536
3434,The main industries are fishing and tourism .,'The main industries are fishing and tourism.,-1.744944453
3435,"Half-hour series were mostly restricted to situation comedy or family comedy , and were usually aired with either a live or overdubbed laugh track .","'Half-hour series were usually half-hour comedy, and were usually aired with a live or overdubbed laugh track.",-1.388033748
3436,Reaction at the festival was highly positive .,'Reaction at the festival was very positive.,-1.967766404
3437,"Its headquarters are located on the premises of the Abdus Salam International Centre for Theoretical Physics -LRB- ICTP -RRB- in LOCATION@1 , LOCATION@2 .","'Its headquarters are in LOCATION@1, LOCATION@2.",-2.080703497
3438,The actual international border bridge crossing is a set of two parallel 90 f long bridges between Wellesley Island in the United States and Hill Island in Canada .,'The actual international border bridge crossing is a set of two parallel 90 f long bridges between Wellesley Island in the United States and Hill Island in Canada.,-0.597926259
3439,"Since then , erosion by water and glaciers have sculpted the mountain range into dramatic valleys and peaks .","'Since then, erosion by water and glaciers have made the mountain range into dramatic valleys and peaks.",-1.33940649
3440,"Queen 's Counsel -LRB- postnominal QC -RRB- , known as ORGANIZATION@1 's Counsel -LRB- postnominal KC -RRB- during the reign of a male sovereign , are lawyers appointed by letters patent to be one of '' Her -LRB- or His -RRB- Majesty 's Counsel learned in the law '' .","""Queen's Counsel -LRB- postnominal QC -RRB- is one of Her Majesty's Counsel learned in the law.",-1.01812458
3441,"Mixed or deciduous forests leave a larger layer of humus , changing the elements leeched and accumulated in the soil , forming alfisols .","'Mixed or deciduous forests leave a larger layer of humus, changing the elements leeched and accumulated in the soil, forming alfisols.",-0.806617498
3442,The Shyok flowing in a wide valley suddenly enters a narrow gorge after Chalunka and then joins the Indus at Keris -LRB- Pakistan -RRB- .,'The Shyok flowing in a wide valley suddenly enters a narrow gorge and then joins the Indus at Keris -LRB- Pakistan -RRB-.,-0.978661239
3443,"The term '' Protestant '' was not originally used by Reformation era leaders ; instead , they called themselves '' evangelical '' , emphasising the '' return to the true gospel -LRB- Greek : euangelion -RRB- . ''","""The term '' Protestant '' was not originally used by Reformation era leaders ; instead they called themselves '' evangelical ''. They emphasised the '' return to the true gospel -LRB- Greek : euangelion -RRB-. ''",-0.971762657
3444,F minor is a key often associated with passion .,'F minor is associated with passion.,-2.332427263
3445,Cars is a 2006 American animated comedy film produced by Pixar and directed by both John Lasseter and Joe Ranft .,'It was directed by John Lasseter and Joe Ranft.,-2.033738375
3446,"During his career , PERSON@1 attempted drama , but his plays enjoyed little success .","'During his career, PERSON@1 attempted drama, but his plays had little success.",-1.36117959
3447,"At its peak , PERSON@1 had sustained winds of NUMBER@1 mph -LRB- NUMBER@2 km\/h -RRB- and a minimum central pressure of NUMBER@3 mbar .","'At its peak, PERSON@1 had winds of NUMBER@1 mph -LRB- NUMBER@2 km/h -RRB- and a minimum central pressure of NUMBER@3 mbar.",-0.755710781
3448,"The presidency armies were the armies of the three presidencies of the East India Company 's rule in India , later the forces of the British Crown in India .","""The presidency armies were the armies of the three presidencies of the East India Company's rule in India, later the forces of the British Crown in India.",-0.775939941
3449,"Crich -LRB- , with a long I -RRB- is a village in Derbyshire in England . It is the home of the National Tramway Museum inside the Crich Tramway Village , and at the summit of Crich Hill above , a Memorial Tower for those of the Sherwood Foresters regiment who died in battle , particularly in World War I.","'Crich -LRB- with a long I -RRB- is a village in Derbyshire, England.",-0.728371501
3450,"His current band is PERSON@1 and his most recent album is Antifogmatic . He has also recorded five albums as a solo artist , debuting with Leading Off in NUMBER@1 .","'He is also known as Leading Off, which was released in NUMBER@1.",-2.611705542
3451,"In the wake of the Tibetan diaspora , Tibetan Buddhism has gained adherents in the West and throughout the world .","'In the wake of the Tibetan diaspora, Tibetan Buddhism has gained followers in the West and throughout the world.",-0.91884768
3452,James Philip Milner -LRB- born 4 January 1986 -RRB- is an English footballer who plays as a winger or central midfielder for Premier League club Manchester City and the England national team .,'James Milner -LRB- born 4 January 1986 -RRB- is an English footballer.,-1.193729997
3453,"It was discovered by a team of astronomers from the ORGANIZATION@1 led by PERSON@1 , et al. .","'It was found by a team of astronomers from the ORGANIZATION@1 led by PERSON@1, et al..",-1.402515054
3454,"Residents not part of the religious communities are required to live in the peninsula 's capital , LOCATION@1 .","""Residents not part of the religious communities are required to live in the peninsula's capital, LOCATION@1.",-1.157591105
3455,Show any page,'Show any page,-3.771567106
3456,"The Exodus of the Israelites from Egypt , according to Thrasyllus of Mendes , an Egyptian mathematician and astronomer who lived in the reign of Tiberius -LRB- c. 1691 BC -RRB- .","'The Exodus of the Israelites from Egypt, according to Thrasyllus of Mendes.",-0.990055621
3457,"Before the arrival of Europeans , Cockatoo Island was undoubtedly used by the Aboriginal tribes of LOCATION@1 's coastal region .","""Before the arrival of Europeans, Cockatoo Island was undoubtedly used by the Aboriginal tribes of LOCATION@1's coastal region.",-0.767797887
3458,"He wrote many well-known hymns , including Almost Persuaded , Hallelujah , What a Saviour !","'He wrote many well-known hymns, such as Almost Persuaded, Hallelujah, What a Saviour!",-0.89512074
3459,"At the 1968 Summer Olympics , in Mexico City , two American track and field athletes , Tommie Smith and John Carlos , who finished first and third in the 200 meter sprint race , performed the Black Power salute on the victory stand .","'At the 1968 Summer Olympics, in Mexico City, two American track and field athletes, Tommie Smith and John Carlos, who finished first and third in the 200 meter sprint race, performed the Black Power salute on the victory stand.",-0.701226473
3460,"He went to LOCATION@1 to study harmony with the AbbÃ PERSON@1 , chorus master at the Saints-Innocents .","'He went to ORGANIZATION@1 to study harmony with the Abb PERSON@1, chorus master at the Saints-Innocents.",-1.469916105
3461,"The ORGANIZATION@1 -LRB- TTC -RRB- is a public transport authority that operates buses , streetcars , subways , and rapid transit lines in LOCATION@1 , LOCATION@2 , LOCATION@3 .","'The ORGANIZATION@1 -LRB- TTC -RRB- is a public transport authority that operates buses, streetcars, subways, and rapid transit lines in LOCATION@1, LOCATION@2, LOCATION@3.",-0.538514555
3462,MÃ genwil is a municipality in the district of Baden in the canton of LOCATION@1 in LOCATION@2 .,'M genwil is a municipality of the district of Baden in the canton of LOCATION@1 in LOCATION@2.,-1.195737481
3463,_ Le_Guin,'_ Le_Guin,-2.872452736
3464,"On NUMBER@1 October NUMBER@2 , the operator of the MTR network , ORGANIZATION@1 -LRB- MTRCL -RRB- , became LOCATION@1 's first rail company to be privatised , marking the beginning of the LOCATION@1 government 's initiative to dissolve its interests in public utilities .","""On NUMBER@1 October NUMBER@2, the operator of the MTR network, ORGANIZATION@1 -LRB- MTRCL -RRB-, became LOCATION@1's first rail company to be privatised.",-0.675046265
3465,The Province of Reggio Calabria -LRB- -RRB- is a province in the Calabria region of Italy .,'The Province of Reggio Calabria -LRB- -RRB- is a province in the Calabria region of Italy.,-0.574069738
3466,"This helped to establish the orchestra 's international reputation , and guests PERSON@1 , PERSON@2 , PERSON@3 , PERSON@4 , PERSON@5 and PERSON@6 conducted the orchestra over the next few years .","""This helped to establish the orchestra's international reputation, and guests PERSON@1, PERSON@2, PERSON@3, PERSON@4, PERSON@5 and PERSON@6 conducted the orchestra for several years.",-0.952752531
3467,"Overall , the club has won 51 official competitions , more than any other team in the country ; 40 in the national First Division , which is also a record , Record for Italian football .","'Overall, the club has won 51 official competitions, more than any other team in the country.",-1.614223361
3468,"It was among PERSON@1 's most popular plays during his lifetime and , along with PERSON@2 and PERSON@3 , is one of his most frequently performed plays .","""It was one of PERSON@1's most popular plays during his lifetime.",-1.390256047
3469,"PERSON@1 influence can be detected from LOCATION@1 , LOCATION@2 , LOCATION@3 and to as far as central LOCATION@4 , more than NUMBER@1 km -LRB- NUMBER@2 miles -RRB- from the PERSON@1 area .","'PERSON@1 influence can be seen from LOCATION@1, LOCATION@2, LOCATION@3 and as far as central LOCATION@4, more than NUMBER@1 km -LRB- NUMBER@2 miles -RRB- from the PERSON@1 area.",-0.704417408
3470,1999 & ndash ; The left-wing Labour Party takes control of the New Zealand government with leader Helen Clark becoming the first elected female Prime Minister in New Zealand 's history .,"""1999 - The left-wing Labour Party takes control of the New Zealand government with leader Helen Clark becoming the first elected female Prime Minister in New Zealand's history.",-1.233318329
3471,"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","'Northampton Town Football Club -LRB- -RRB- is an English football club which plays in Northampton, England.",-1.372109652
3472,"A full system , complete with a graphical user interface , needs about 30 kilobytes of RAM .",'A full system with graphical user interface needs about 30 kilobytes of RAM.,-1.385684848
3473,In the wild may reach heights of NUMBER@1 to NUMBER@2 ft with large cylindrical trunks with or without buttresses .,'In the wild may reach heights of NUMBER@1 to NUMBER@2 feet with large cylindrical trunks.,-0.788277268
3474,"R. L. Burnside -LRB- November 23 , 1926 -- September 1 , 2005 -RRB- , born Robert Lee Burnside , was a North Mississippi hill country blues singer , songwriter , and guitarist who lived much of his life in and around Holly Springs , Mississippi .","'R. L. Burnside -LRB- November 23, 1926 -- September 1, 2005 -RRB- was a North Mississippi hill country blues singer, songwriter, and guitarist.",-0.867248416
3475,"Six of the seven found so far lie in the elongated , curved region around the Sun-Neptune Lagrangian point 60 ahead of Neptune .","'Six of the seven found so far lie in the elongated, curved region around the Sun-Neptune Lagrangian point 60 ahead of Neptune.",-0.654512227
3476,"He grew up in a well-known and wealthy entrepreneurial and intellectual family , which was closely linked to the cultural and political events in LOCATION@1 from the NUMBER@1 to the NUMBER@2 .","'He grew up in a well-known and wealthy family, which was closely linked to the cultural and political events in LOCATION@1 from the NUMBER@1 to the NUMBER@2.",-0.752118289
3477,"Over their four decade career , Heart has had chart success with a variety of musical styles , ranging from hard rock and metal -LRB- ORGANIZATION@1 , If Looks Could Kill , Black on Black II -RRB- , to folk rock -LRB- PERSON@1 , Dog and Butterfly -RRB- , to power ballads -LRB- Alone , These Dreams , What About Love -RRB- .","'Over their four decade career, Heart has had chart success with a variety of musical styles, from hard rock and metal -LRB- ORGANIZATION@1, Black on Black II -RRB- to folk rock -LRB- PERSON@1, Dog and Butterfly -RRB-, to power ballads -LRB- Alone, These Dreams, What About Love -RRB-.",-1.083026409
3478,"Following this , he re-engaged in his feud with PERSON@1 , who had returned from injury and won the NUMBER@1 Royal Rumble match .","'Following this, he re-engaged in his feud with PERSON@1. He had returned from injury and won the NUMBER@1 Royal Rumble match.",-0.84703058
3479,May 29 & ndash ; King Christopher I of Denmark -LRB- b. 1219 -RRB-,'May 29 - King Christopher I of Denmark,-2.920915842
3480,"The larger cities -LRB- LOCATION@1 , PERSON@1 and LOCATION@2 -RRB- are predominantly ORGANIZATION@1 .","'The larger cities -LRB- LOCATION@1, PERSON@1 and LOCATION@2 -RRB- are all ORGANIZATION@1.",-0.939572871
3481,It is a main group metal in group 14 of the periodic table .,'It is a main group metal in group 14 of the periodic table.,-1.239586592
3482,The LOCATION@1 national football team -LRB- -RRB- is the national team of LOCATION@1 and is controlled by the ORGANIZATION@1 .,'LOCATION@1 national football team is the national football team of LOCATION@1.,-1.2491678
3483,It is said to be a sapling from the historical Bodhi tree under which Buddha became enlightened .,'It is said to be a sapling from the historical Bodhi tree under which Buddha became enlightened.,-0.874939144
3484,"Both releases are credited to Ministry and Co-Conspirators , since they feature collaborations between PERSON@1 and other musicians .","'Both releases are credited to Ministry and Co-Conspirators, since they feature collaborations between PERSON@1 and other musicians.",-0.745248973
3485,"The performance is typically given in an opera house , accompanied by an orchestra or smaller musical ensemble .","'The performance is usually given in an opera house, with an orchestra or smaller ensemble.",-1.73890841
3486,"Venues In NUMBER@1 , the organisers released a provisional list of thirteen venues to be used for the World Cup : LOCATION@1 , LOCATION@2 , LOCATION@3 , LOCATION@4 -LRB- two venues -RRB- , PERSON@1 , LOCATION@5 , LOCATION@6 , LOCATION@7 , PERSON@2 , LOCATION@8 -LRB- two venues -RRB- , and LOCATION@9 .","'Venues In NUMBER@1, the organisers released a provisional list of thirteen venues to be used for the World Cup : LOCATION@1, LOCATION@2, LOCATION@3, LOCATION@4 -LRB- two venues -RRB-, PERSON@5, LOCATION@6, LOCATION@7, LOCATION@2, LOCATION@8 -LRB- two venues -RRB-, and LOCATION@9.",-0.822840452
3487,"Commander PERSON@1 , M.D. -LRB- born PERSON@2 -RRB- , played by actress PERSON@3 , is a fictional character on the television series ' and its subsequent spinoff films .","""Commander PERSON@1, M.D. -LRB- born PERSON@2 -RRB- is a character on the television series'and its subsequent spinoff films.",-1.057283998
3488,Igersheim is a town in the LOCATION@1 district in the German state of Baden-W Ã 1\/4 rttemberg .,'Igersheim is a town in the LOCATION@1 district in the German state of Baden-W  1/4 rttemberg.,-0.95271647
3489,"PERSON@1 made his debut for the German national team on April NUMBER@1 , NUMBER@2 , in a NUMBER@3 FIFA World Cup qualifier against LOCATION@1 played in LOCATION@2 , replacing striker PERSON@2 after NUMBER@4 minutes .",'He has played for LOCATION@2 national team.,-3.998426437
3490,"Eggs , baking soda or baking powder , starch , oil , and\/or spices may also be added .","'Eggs, baking soda or baking powder, starch, oil, and spices may also be added.",-1.248337865
3491,"The highest point on the island is 2097 ft -LRB- 639 m -RRB- Mt. Orizaba , at .","'The highest point on the island is 2097 ft -LRB- 639 m -RRB- Mt. Orizaba, at.",-0.839499891
3492,The Congress Party won 26 seats and Akali Dal 19 seats .,'The Congress Party won 26 seats and Akali Dal won 19 seats.,-1.236160994
3493,"Laurent Robert Blanc -LRB- born 19 November 1965 in Alès -RRB- is a French football manager and former defender , who scored the first golden goal in World Cup history .",'Laurent Blanc -LRB- born 19 November 1965 -RRB- is a former French football player.,-1.663236737
3494,"philosophy that was developedMoore , John S. Aleister Crowley as Guru in Chaos International , Issue No. 17 .","'philosophy that was developedMoore, John S. Aleister Crowley as Guru in Chaos International, Issue No. 17.",-1.167572975
3495,PERSON@1 was soon forced to send two men and the five weakest horses back .,'PERSON@1 was soon forced to send two men and the five weakest horses back.,-0.829434693
3496,"; NUMBER@1 For the NUMBER@1 season the team signed PERSON@1 from PERSON@2 to be their lead driver , while NUMBER@2 World Champion PERSON@3 had his existing Sauber contract confirmed .","'For the NUMBER@1 season PERSON@1 was their driver, while world champion PERSON@3 had his existing Sauber contract confirmed.",-1.726421356
3497,"Ectosymbiosis , also referred to as exosymbiosis , is any symbiotic relationship in which the symbiont lives on the body surface of the host , including the inner surface of the digestive tract or the ducts of exocrine glands .","'Ectosymbiosis is any symbiotic relationship in which the symbiont lives on the body surface of the host, including the inner surface of the digestive tract or the ducts of exocrine glands.",-0.593109071
3498,"Like other Type NUMBER@1 designs , they were relatively small locomotives intended primarily for local freight traffic .","'Like other Type NUMBER@1 locomotives, they were relatively small, designed primarily for local freight traffic.",-1.631620169
3499,"PERSON@1 : ORGANIZATION@1 , known in LOCATION@1 as LOCATION@2 and in LOCATION@3 as , is a NUMBER@1 platforming video game developed by Flagship and Natsume -LRB- The latter as seen in the end credits -RRB- and published by ORGANIZATION@2 and HAL Laboratory for the Nintendo DS handheld video game console .","'PERSON@1 : ORGANIZATION@1, known in LOCATION@1 as LOCATION@2 and in LOCATION@3 as, is a platform video game made by ORGANIZATION@2 and published by ORGANIZATION@2 for the Nintendo DS video game console.",-1.127187371
3500,"Kenneth Rexroth -LRB- December 22 , 1905 & ndash ; June 6 , 1982 -RRB- was an American poet , translator and critical essayist .","""Kenneth Rexroth -LRB- December 22, 1905 â '' June 6, 1982 -RRB- was an American poet, translator and critical essayist.",-1.345750093
3501,Department of Statistics,'Statistics,-6.780309677
3502,"It is also home to the regional offices of the ORGANIZATION@1 and the ORGANIZATION@2 . The ORGANIZATION@3 campus offers engineering programs in conjunction with ORGANIZATION@4 , ORGANIZATION@5 , ORGANIZATION@6 , and ORGANIZATION@7 .","'It is also home to the regional offices of the ORGANIZATION@1 and the ORGANIZATION@2. The ORGANIZATION@3 campus offers engineering classes in conjunction with ORGANIZATION@4, ORGANIZATION@5, ORGANIZATION@6, and ORGANIZATION@7.",-0.584131002
3503,"The earliest predecessors of the game originated in LOCATION@1 , before the 6th century AD . From LOCATION@1 , the game spread to LOCATION@2 .","'The game was first made in LOCATION@1, before the 6th century AD.",-2.003602982
3504,"Define $ left = align : right shift : -LRB- NUMBER@1 , NUMBER@2 -RRB-","'Define $ left = align : right shift -LRB- NUMBER@1, NUMBER@2 -RRB-",-1.09465766
3505,"While still an amateur , he also became a member of the ORGANIZATION@1 .","'While still an amateur, he also became a member of the ORGANIZATION@1.",-1.22093761
3506,'' Krusty Gets Busted '' The Simpsons.com .,'Krusty Gets Busted,-1.829103947
3507,"His maternal grandparents were Prince Philippe of France and his first wife Princess Henrietta Anne , the youngest daughter of King Charles I of England and Henrietta Maria of France .",'His maternal grandparents were Prince Philippe of France and his first wife Princess Henrietta Anne.,-0.999575496
3508,"The paradox states that if a being can perform any action , then it should be able to create a task it is unable to perform , and hence , it can not perform all actions .","'The paradox states that if a being can do any action, then it should be able to create a task which it is not able to do.",-1.143727303
3509,"He is most famous for publishing the Musica transalpina -LRB-/O1588/O-RRB- , a collection of Italian madrigals with their words translated into English .","'He is most famous for publishing the Musica transalpina -LRB-/O1588/O-RRB-, a collection of Italian madrigals translated into English.",-0.816015184
3510,"This is different from what one normally sees in classical mechanics , where solutions are typically trajectories of position of a particle or deflection of a continuum .","'This is different from what one normally sees in classical mechanics, where solutions are typically trajectories of position of a particle or deflection of a continuum.",-0.778573811
3511,"Once there , Maria realizes upon sight of Kelsey that Davey had discovered Sarah and tries to run into Sarah Jane 's house .","""Once there, Maria realizes that Davey had found Sarah and tries to run into Sarah Jane's house.",-1.443310618
3512,LiÃ res is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3 .,'It is found in the region Nord-Pas-de-Calais in the LOCATION@1 department in the north of LOCATION@3.,-2.751671791
3513,Shelton Benjamin became the third participant when he defeated Jimmy Wang Yang on the following episode of SmackDown .,'Shelton Benjamin became the third participant when he beat Jimmy Wang Yang on the following episode of SmackDown.,-0.989188552
3514,"Remscheid -LRB- -RRB- is a city in North Rhine-Westphalia , Germany .","'Remscheid is a city of North-Westphalia, Germany.",-1.682360888
3515,ORGANIZATION@1 NUMBER@1 -LRB- also known as GT4 -RRB- -LRB- NUMBER@1 guran ts risumo f -RRB- is a racing simulator for the ORGANIZATION@2 PlayStation NUMBER@2 which was developed by ORGANIZATION@3 .,'ORGANIZATION@1 NUMBER@1 -LRB- NUMBER@1 guran ts risumo f -RRB- is a racing game engine developed by ORGANIZATION@3 for the PlayStation NUMBER@2.,-1.060896993
3516,"A notable feature is that the ball is put into play by a designated server , called the mandarino , who otherwise is not part of the game .","'A notable feature is that the ball is put into play by a designated server, called the mandarino, who otherwise is not part of the game.",-0.817382455
3517,"Medawar was awarded his Nobel Prize in 1960 with Burnet for their work in tissue grafting which is the basis of organ transplants , and their discovery of acquired immunological tolerance .","'Medawar was awarded his Nobel Prize in 1960 for their work in tissue grafting which is the basis of organ transplants, and their discovery of acquired immunological tolerance.",-0.840650797
3518,Harcigny is a commune in the LOCATION@1 department in LOCATION@2 in northern LOCATION@3 .,'It is found in the region PERSON@1 in the LOCATION@1 department in the north of LOCATION@3.,-2.762049198
3519,"The ORGANIZATION@1 distinguishes NUMBER@1 types of tattoos : Traumatic tattoos , also called '' natural tattoos '' , that result from injuries , especially asphalt from road injuries or pencil lead ; Amateur tattoos ; Professional tattoos , both via traditional methods and modern tattoo machines ; Medical tattoos ; Cosmetic tattoos , also known as '' permanent makeup '' .","""Traumatic tattoos -LRB- also called '' natural tattoos '' -RRB- are tattoos that result from injuries, particularly road injuries or pencil lead. Amateur tattoos ; Professional tattoos, both via traditional methods and modern tattoo machines ; Medical tattoos ; Cosmetic tattoos, also known as '' permanent makeup ''.",-1.901217222
3520,"Unirea is a commune in LOCATION@1 , LOCATION@2 with a population of NUMBER@1 people .","'Unirea is a commune found in LOCATION@1, LOCATION@2.",-2.02101016
3521,"The rerecording for the album in 2002 mostly took place at Thin Ice Studios in Surrey , by Karl Groom , and at Lamer Luser Studios in London , by Herman Li , from July -- October 2002 except for the drum tracks , which were recorded at Jail House Studios in Denmark , by Tommy Hansen , in May 2002 .","'The re-cording for the album in 2002 mostly took place at Thin Ice Studios Surrey, by Karl Groom, and at Lamer Luser Studios in London.",-1.632609963
3522,"Also known as PERSON@1 , Henchak , Social-Democratic Hentchakists , Huntchakians , LOCATION@1 , LOCATION@2 , its name is taken from its newspaper ORGANIZATION@1 , meaning '' Clarion '' or '' Bell '' in English , and is taken by party members to represent '' a call or awakening , for enlightenment and freedom . ''","'It is also known as PERSON@1, Henchak, Social-Democratic Hentchakists, Huntchakians, LOCATION@1, LOCATION@2.",-0.928734422
3523,"Wombats are herbivores ; their diet consists mostly of grasses , sedges , herbs , bark and roots .","'They eat grasses, sedges, herbs, bark and roots.",-1.685468554
3524,Vallon-Pont-d ` Arc,'Vallon-Pont-d  Arc,-2.08789134
3525,"However , most NAT devices today allow the network administrator to configure translation table entries for permanent use .","'However, most NAT devices today allow the network administrator to configure translation table entries for permanent use.",-1.049167156
3526,He was a member of the Israeli national team that competed at the 1970 FIFA World Cup .,'He played for the Israeli national team.,-2.782651663
3527,"Until the construction of Taipei 101 , it was also the tallest building in a major active seismic region ; its structure was designed to resist an earthquake of 8.3 on the Richter scale .","'Until the construction of Taipei 101, it was also the tallest building in a major active seismic region ; its structure was designed to resist an earthquake of 8.3 on the Richter scale.",-0.698210359
3528,"PERSON@1 , Polish scientist -LRB- d. NUMBER@1 -RRB-","'PERSON@1, Polish scientist -LRB- died NUMBER@1 -RRB-",-2.24225688
3529,"Her book , The Pavlova Story : A Slice of New Zealandâ s Culinary History , states that the first Australian pavlova recipe was created in NUMBER@1 while an earlier version was penned in NUMBER@2 in the rural magazine ORGANIZATION@1 .","'Her book, The Pavlova Story : A Slice of New Zealandâ s Culinary History, states that the first Australian pavlova recipe was made in NUMBER@1.",-0.81372869
3530,"PERSON@1 's Hot Air website on the other hand , did publish the PERSON@2 cartoon without obfuscation .","""PERSON@1's Hot Air website on the other hand did publish the PERSON@2 cartoon.",-1.270038724
3531,"Costume may also refer to the artistic arrangement of accessories in a picture , statue , poem , or play , appropriate to the time , place , or other circumstances represented or described , or to a particular style of clothing worn to portray the wearer as a character or type of character other than their regular persona at a social event such as a masquerade , a fancy dress party or in an artistic theatrical performance .","'Costume may also refer to a particular style of clothing worn to show the wearer as a character or type of character at a social event such as a masquerade, a fancy dress party or in an artistic theatrical performance.",-0.970550597
3532,"Artwork featuring this design and drawn by PERSON@1 was displayed on the package artwork for Sonic the Hedgehog , and most subsequent Sonic video games featured similar designs .","'Artwork featuring this design and drawn by PERSON@1 was displayed on the package artwork for Sonic the Hedgehog, and most subsequent Sonic video games featured similar designs.",-0.77825731
3533,1965 & ndash ; Ferdinand Marcos becomes President of the Philippines .,'1965 - Ferdinand Marcos becomes President of the Philippines.,-1.901412725
3534,locations = 276,'locations = 276,-3.779529572
3535,"It is the central LOCATION@1 railway terminus for suburban First Capital Connect services from LOCATION@2 , LOCATION@3 and LOCATION@4 and was , until March NUMBER@1 , a terminus for trains on the Thameslink line , also run by ORGANIZATION@1 .","'It is the central LOCATION@1 railway terminus for suburban First Capital Connect services from LOCATION@2, LOCATION@3 and LOCATION@4 and was, until March NUMBER@1, a terminus for trains on the Thameslink line.",-0.595757008
3536,German people started arriving in NUMBER@1 .,'German people started arriving in NUMBER@1.,-1.35617888
3537,"This breaks the adults out of arguing and watching them in awe , and the episode ends with Grandpa PERSON@1 taking a picture of the party , which ends up in the Pickles Family Album .","'The episode ends with Grandpa PERSON@1 taking a picture of the party, which ends up in the Pickles Family Album.",-0.851570547
3538,Statistics of Austrian first league in the NUMBER@1 season .,'Statistics of Austrian Bundesliga in season NUMBER@1.,-2.418674707
3539,"Pinocchio -LRB- in Italian -RRB- is a fictional character that first appeared in NUMBER@1 , in The Adventures of Pinocchio by PERSON@1 , and has since appeared in many adaptations of that story and others .","'Pinocchio -LRB- in Italian -RRB- is a fictional character that first appeared in NUMBER@1, in The Adventures of Pinocchio by PERSON@1.",-0.515770257
3540,"ORGANIZATION@1 is an electronic book reader developed by the company , based on the Android platform .","'ORGANIZATION@1 is an electronic book reader made by ORGANIZATION@2, based on the Android platform.",-1.588288903
3541,"At first , the scientists thought the skin was a joke , because no animal could look so strange .","'At first, the scientists thought the skin was a joke, because no animal could look so strange.",-0.929430902
3542,"The kick drum , struck with a beater attached to a pedal , is usually seen on drum kits . The third type , the pitched bass drum , is generally used in marching bands and drum corps .","'The kick drum, which is struck with a beater attached to a pedal, is usually seen on drum kits.",-1.445319533
3543,Pruillé-l'Éguillé is a commune in the Sarthe department in the region of Pays-de-la-Loire in northwestern France .,'It is found in the region Pays de la Loire in the Sarthe department in the west of France.,-2.186279297
3544,She started off from the age of 13 by singing other singers ' songs .,"""She started off from the age of 13 by singing other singers'songs.",-1.656104565
3545,Metadata is data .,'Metadata is data.,-2.295007229
