source_sentence,gold_sentence,pred
"Dorfchemnitz is a municipality in the district of Mittelsachsen , in Saxony , Germany .","Dorfchemnitz is a municipality of the Freiberg Rural District , in Saxony , Germany .","Dorfchemnitz is a municipality of the district Mittelsachsen in Saxony, Germany."
"Prior to becoming an astronaut , he had attended the ORGANIZATION@1 , and from there he joined the ORGANIZATION@2 and flew F-86s at LOCATION@1 , LOCATION@2 .","Air force pilot PERSON@1 went to the ORGANIZATION@1 . After training he joined the ORGANIZATION@2 . He flew F-86s at LOCATION@1 , LOCATION@2 .","Prior to becoming an astronaut, he had attended the ORGANIZATION@1, and from there he joined the ORGANIZATION@2 and flew F-86s at LOCATION@1, LOCATION@2."
Simple English is a controlled language -LRB- a language with words that can be used only in ways that the creator of the language agrees with ? -RRB-,AECMA Simplified English is a controlled language -LRB- a language with words that can be used only in ways that the creator of the language agrees with ? -RRB-,Simple English is a controlled language -LRB- a language with words that can be used only in ways that the creator of the language agrees with -RRB-.
"Ï Î Ï , etymologically compounding the name Î Î Î 1\/2 Ï Ï -LRB- Minos -RRB- and the noun Ï Î Ï Ï Î Ï '' bull '' , translating as '' -LRB- the -RRB- Bull of Minos '' .",Ï Î Ï -RRB- is a creature in Greek mythology .,"Î , etymologically compounding the name Î Î Î 1/2   -LRB- Minos -RRB- and the noun  Î    Î  '' bull '', translating as '' The Bull of Minos ''."
The West Islet consists of a single peak and features many caves along the coastline .,The western islet is made of a single peak . It has many caves along the coastline .,The West Islet consists of a single peak and features many caves along the coastline.
They were fitted with the Sulzer 12LDA28C twin-bank twelve-cylinder unit producing NUMBER@1 b - though this was later derated to NUMBER@2 b to improve reliability - and have been used on both passenger and freight trains on LOCATION@1 's railways for over NUMBER@3 years .,"They were fitted with the Sulzer 12LDA28C twin-bank twelve-cylinder unit producing NUMBER@1 b -LRB- later derated to 2580bhp to improve reliability -RRB- , and have been used on both passenger and freight trains on LOCATION@1 's railways for over NUMBER@3 years .",They were fitted with the Sulzer 12LDA28C twin-bank twelve-cylinder unit producing NUMBER@1 b - though this was later derated to NUMBER@2 b to improve reliability - and have been used on both passenger and freight trains on LOCATION@1's railways for over NUMBER@3 years.
"In this section we compare ORGANIZATION@1 and Wiktionary -LRB- as a concrete example of a dictionary -RRB- , but the principle is that ORGANIZATION@1 is not a dictionary , not simply that it is not Wiktionary .","Again , while ORGANIZATION@1 is not a dictionary , our sister project Wiktionary is ! ORGANIZATION@1 articles that are only dictionary definitions should be given the tag Template : Move to Wiktionary .","In this section we compare ORGANIZATION@1 and Wiktionary -LRB- as a concrete example of a dictionary -RRB-, but the principle is that ORGANIZATION@1 is not a dictionary."
"ORGANIZATION@1 , S.A.D. is a Spanish football club from LOCATION@1 , LOCATION@2 .",ORGANIZATION@2 is a football club which plays in LOCATION@3 .,"ORGANIZATION@1, S.A.D. is a football club which plays in LOCATION@2."
"He became friendly with the animals of the mountain , and later , after catching Shutendouji , the terror of the region around Mount Ooe , he became a loyal follower of Minamoto no Yorimitsu under the new name Sakata Kintoki .","He became friendly with the animals and imaginary things of the mountain . Later , after catching the terror of the region around Mount Ooe , Shutendouji , he became a great follower of Minamoto no Yorimitsu under the new name Sakata no Kintoki -LRB- å ç '' å","He became friends with the animals of the mountain, and later, after catching Shutendouji, the terror of the region around Mount Ooe, he became a loyal follower of Minamoto no Yorimitsu under the new name Sakata Kintoki."
"His first loss came in the form of a Raw dark match , at the TV taping on August NUMBER@1 , NUMBER@2 when he lost to PERSON@1 -LRB- PERSON@2 -RRB- .","His first loss came in the form of a Raw dark match , at the TV taping on August NUMBER@1 , NUMBER@2 when he lost to PERSON@1 .","He lost his first match in a dark match on August NUMBER@1, NUMBER@2 when he lost to PERSON@1 -LRB- PERSON@2 -RRB-."
"Optical depth , or optical thickness is a measure of transparency , and is defined as the negative logarithm of the fraction of radiation -LRB- or light -RRB- that is scattered or absorbed on a path .",It is defined as the fraction of radiation -LRB- or light -RRB- that is scattered or absorbed on a path .,"Optical depth is a measure of transparency, and is defined as the negative logarithm of the fraction of radiation -LRB- or light -RRB- that is scattered or absorbed on a path."
References See also Delta Works for another major waterworks project in the Netherlands .,Other pages Delta Works for another major waterworks project in the Netherlands .,References Delta Works for another major waterworks project in the Netherlands.
"According to PERSON@1 , the inspiration for the first two verses was the death of PERSON@2 , the 21-year-old heir to the Guinness fortune and close friend of PERSON@1 and PERSON@3 , who had crashed his ORGANIZATION@1 on NUMBER@1 December NUMBER@2 in LOCATION@1 , ORGANIZATION@2 .","Many people thinl that the first verse was written about the death of PERSON@2 , the 21-year-old heir to the Guinness fortune and close friend of PERSON@1 and PERSON@3 , who had crashed his ORGANIZATION@1 on NUMBER@1 December NUMBER@2 when a ORGANIZATION@3 pulled out of a side street into his path in LOCATION@1 , ORGANIZATION@2 .","The inspiration for the first two verses was the death of PERSON@2, the 21-year-old heir to the Guinness fortune and close friend of PERSON@1 and PERSON@3."
PERSON@1 -LRB- rural -RRB- is an administrative subdivision -LRB- taluka -RRB- of LOCATION@1 in the LOCATION@2 province of LOCATION@3 .,Administration,PERSON@1 -LRB- rural -RRB- is an administrative subdivision -LRB- taluka -RRB- of LOCATION@1 in the LOCATION@2 province of LOCATION@3.
"They may use cups , boxes or hats to collect the donations .",Asking customers inside a store or restaurant .,"They may use cups, boxes or hats to collect the donations."
Howard Benson -- 1958 Hammond B3,Howard Benson - 1958 Hammond B3,Howard Benson -- 1958 Hammond B3.
"PERSON@1 is a ORGANIZATION@1 in the ORGANIZATION@2 , it is located NUMBER@1 km west of LOCATION@1 .","PERSON@1 is a ORGANIZATION@1 in the ORGANIZATION@2 , it is located 35km west of the city of LOCATION@1 .",PERSON@1 is a ORGANIZATION@1 in the ORGANIZATION@2.
"The Regionalverband Saarbrücken is a Kommunalverband besonderer Art , an integration of a district -LRB- PERSON@1 -RRB- and a district-free town .","The Regionalverband Saarbrücken is a Kommunalverband besonderer Art , that is , it is a special mix of a rural district and a district free city .","The Regionalverband Saarbrücken is a Kommunalverband besonderer Art, an integration of a district -LRB- PERSON@1 -RRB- and a district-free town."
"Wahlenbergia is a genus of between NUMBER@1 species of flowering plants in the family Campanulaceae , with a cosmopolitan distribution except for LOCATION@1 ; the highest species diversity is in LOCATION@2 and LOCATION@3 .",Wahlenbergia is a genus of between NUMBER@2 and NUMBER@3 species of flowering plants in the family Campanulaceae . It is found everywhere except for LOCATION@1 .,Wahlenbergia is a genus of between NUMBER@1 species of flowering plants in the family Campanulaceae.
Le Sourd is a commune in the Aisne department in Picardy in northern France .,Le Sourd is a commune . It is found in the region Picardie in the Aisne department in the north of France .,It is found in the region Picardie in the Aisne department in the north of France.
NFC East -LRB- 1970 -- present -RRB-,NFC East -LRB- 1970-present -RRB-,NFC East -LRB- 1970-19present -RRB-
"The Belcea Quartet is a string quartet , formed in 1994 , under the leadership of violinist Corina Belcea .",The Belcea Quartet is a string quartet which was formed in 1994 . The leader -LRB- first violinist -RRB- of the quartet is Corina Belcea .,The Belcea Quartet is a string quartet.
"Many aquatic -LRB- water -RRB- and some terrestrial -LRB- ground -RRB- plant species use hydrochory , or seed dispersal through water .",Water dispersal is also called hydrochory .,Many aquatic -LRB- water -RRB- and some terrestrial -LRB- ground -RRB- plant species use hydrochory.
"The Cherokee Outlet , often mistakenly referred to as the Cherokee Strip , was located in what is now the state of Oklahoma , in the United States .","The Cherokee Outlet , more often referred to as the Cherokee Strip , was located in what is now the state of Oklahoma , in the United States .","The Cherokee Outlet, sometimes mistakenly referred to as the Cherokee Strip, was located in what is now the state of Oklahoma, in the United States."
"PERSON@1 's famous NUMBER@1 debate with PERSON@2 was a key moment in the wider acceptance of evolution , and in his own career .",PERSON@1 's NUMBER@1 debate with the English Bishop PERSON@2 was a famous public event .,"PERSON@1's famous NUMBER@1 debate with PERSON@2 was a key moment in the wider acceptance of evolution, and in his own career."
"Its original purpose was the malting of barley for the brewing of beer ; local barley , once malted , was sent from here to London and exported to mainland Europe .",When the barley had been malted it used to be sent to London and exported to Europe .,Its purpose was to malt barley for the brewing of beer.
"With the plant now missing , EVE is considered defective and taken to the repair ward along with WALL-E for cleanup . WALL-E mistakes EVE 's inspection for torture and tries to save her , accidentally releasing a horde of malfunctioning robots , getting himself and EVE designated as rogue robots .",WALL-E and EVE are happy .,"With the plant now missing, EVE is taken to the repair ward along with WALL-E for cleanup."
"It has hosted the AAA Championships and Paralympic World Cup , and was the reserve home ground of the LOCATION@1 reserve team prior to moving to Ewen Fields in June NUMBER@1 .",It was originally made as the warm-up track for the NUMBER@2 Commonwealth Games held at the City of LOCATION@2 which is next to it .,"It has hosted the AAA Championships and Paralympic World Cup, and was the reserve home ground of the LOCATION@1 reserve team."
"Emanuel Lasker -LRB- December 24 , 1868 -- January 11 , 1941 -RRB- was a German chess player , mathematician , and philosopher who was World Chess Champion for 27 years .","Emanuel Lasker -LRB- 24 December 1868 -- 11 January 1941 -RRB- was a German chess player , mathematician , and philosopher who was World Chess Champion for 27 years .","Emanuel Lasker -LRB- December 24, 1868 -- January 11, 1941 -RRB- was a German chess player."
Many songs were adaptations of poetry written by Australian bush poets including Henry Lawson and Banjo Paterson .,Many songs were settings of poetry written by Australian bush poets including Henry Lawson .,Many songs were adaptations of poetry written by Australian bush poets including Henry Lawson and Banjo Paterson.
"PERSON@1 , or PERSON@2 -LRB- British actor -RRB- - Britannica Online Encyclopedia -LRB- born NUMBER@1 July NUMBER@2 -RRB- DanRadcliffe.com : PERSON@3 Biography is an English actor , best known for playing PERSON@4 in the feature film series based on the popular book series .",NUMBER@3 : PERSON@4 and the Chamber of Secrets,"PERSON@1, or PERSON@2 -LRB- British actor -RRB- Britannica Online Encyclopedia -LRB- born July NUMBER@1, NUMBER@2 -RRB- is an English actor."
"The Big Horn Academy Building , built in 1916 , is located in Cowley .",A new stone building was made for the Big Horn Academy in 1916 . In 1925 the name was changed to the Cowley High School .,"The Big Horn Academy Building, built in 1916, is located in Cowley."
Hiroki Mizuhara is a Japanese football player .,Hiroki Mizuhara -LRB- born 15 January 1975 -RRB- is a Japanese football player .,Hiroki Mizuhara -LRB- born 29 July 1974 -RRB- is a former Japanese football player.
"There are six cities in Scotland : Aberdeen , Dundee , Edinburgh , Glasgow , most recently Inverness , and Stirling .","Other cities in Scotland are Aberdeen , Dundee , Inverness and Stirling .","There are six cities in Scotland : Aberdeen, Dundee, Edinburgh, Glasgow, and most recently Inverness."
"SlavnÃ Ä is a small village in the HavlÃ Ä kÅ v Brod District , VysoÄ ina Region of the Czech Republic by the D1 motorway .","SlavnÃ Ä is a small village in the HavlÃ Ä kÅ v Brod District , VysoÄ ina Region of the Czech Republic by Highway D1 .","Slavn  is a small village in the Havl  k  v Brod District, Vyso ina Region of the Czech Republic by the D1 motorway."
"For example , the Optimal Asymmetric Encryption Padding -LRB- OAEP -RRB- scheme uses a simple Feistel network to randomize ciphertexts in certain asymmetric key encryption schemes .","For example , the Optimal Asymmetric Encryption Padding -LRB- OAEP -RRB- scheme uses a simple Feistel network to randomize ciphertexts in certain asymmetric-key encryption schemes .","For example, the Optimal Asymmetric Encryption Padding scheme uses a simple Feistel network to randomize ciphertexts in certain asymmetric key encryption schemes."
"NUMBER@1 , page NUMBER@2 .",Other pages,"NUMBER@1, page NUMBER@2."
"Depending on where it is purchased , and the length of validity , a Travelcard is either printed on a paper ticket with a magnetic stripe or encoded onto a reusable contactless electronic smart card , known as an Oyster card .",The ticket is issued by Transport for London and National Rail and can be used on the services of either .,"Travelcards are printed on paper tickets with a magnetic stripe, and then encoded onto a reusable contactless electronic smart card, known as an Oyster card."
"PERSON@1 -LRB- NUMBER@1 -RRB- , p. NUMBER@2 .","Rarely , there are also more abstract patterns ; these are usually called finger fluntings .","PERSON@1 -LRB- NUMBER@1 -RRB-, p."
"PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 in Mie -RRB- is a retired Japanese footballer .",PERSON@1 -LRB- born NUMBER@1 July NUMBER@2 -RRB- is a former Japanese football player .,"PERSON@1 -LRB- born NUMBER@1 July, NUMBER@2 -RRB- is a former Japanese football player."
"Hurricane PERSON@1 in the NUMBER@1 LOCATION@1 hurricane season was a Cape Verde-type hurricane which moved across the LOCATION@2 , LOCATION@3 , Hispanola , LOCATION@4 , The LOCATION@5 , and every state on the LOCATION@6 of the LOCATION@7 .",Hurricane PERSON@1 was a Cape Verde-type hurricane in NUMBER@1 .,"Hurricane PERSON@1 in the NUMBER@1 LOCATION@1 hurricane season was a type of hurricane which moved across the LOCATION@2, LOCATION@3, Hispanola, LOCATION@4, The LOCATION@5, and every state on the LOCATION@6 of the LOCATION@7."
"As noted by PERSON@1 , PERSON@2 , and BeckerAbel , PERSON@3 , PERSON@2 , M. S. , & PERSON@4 , J. V. -LRB- NUMBER@1 -RRB- .","PERSON@1 , PERSON@3 , PERSON@2 , M. S. , & PERSON@4 , J. V. -LRB- NUMBER@1 -RRB- .","As noted by PERSON@1, PERSON@2, and BeckerAbel, PERSON@3, PERSON@2, M. S., & PERSON@4, J. V. -LRB- NUMBER@1 -RRB-."
Ranked 6th globally,"Many lovers of art have given the National Gallery their art collections , like Lessing J. Rosenwald , Samuel H. Kress , and Joseph E. Widener .",Ranked 6th globally.
"As of the 2000 census , the population was 152,538 .","As of the 2000 census , 152,538 people lived there .","As of 2000, the population was 152,538."
The Franco-Prussian War of 1870 â '' 71 showed that even Red Cross actors -LRB- in this case National Societies -RRB- can be so bound by nationalism that they are unable to sustain neutral humanitarianism .,The Franco-Prussian War of 1870-71 showed that even National Red Cross Societies can be biased and not maintain neutral humanitarianism .,The Franco-Prussian War of 1870 â '' 71 showed that even Red Cross actors -LRB- in this case National Societies -RRB- can be so bound by nationalism that they are unable to sustain neutral humanitarianism.
"PERSON@1 is also a member of the LOCATION@1 national team , which he has represented at the youth , Olympic , and senior levels .",He plays for LOCATION@1 national team .,PERSON@1 also plays for LOCATION@1 national team.
Only sixteen extant species of priapulid worms are known .,There are only sixteen known living species of priapulid worms .,Only sixteen species of priapulid worms are known.
"He did not live to see the end of the Franco dictatorial regime , but he was posthumously honoured by the Spanish government under King Juan Carlos I which , in 1976 , issued a commemorative postage stamp to Pau Casals in honour of the centenary of his birth .","He did not live to see the end of the Franco dictatorial regime . Later , when Franco had died and Spain was a democracy once more , the Spanish government under King Juan Carlos I , issued a postage stamp in honour of the centenary of his birth .","He did not live to see the end of the Franco dictatorial regime, but he was posthumously honoured by the Spanish government under King Juan Carlos I which issued a commemorative postage stamp to Pau Casals in 1976 to honour the centenary of his birth."
The area has a long history going back to the time of Alexander the Great 's invasion -LRB- see Punjab -LRB- Pakistan -RRB- -RRB- .,The area has a long history going back to the time of Alexander the Great 's invasion -LRB- see Punjab -LRB- Pakistan -RRB- .,The area has a long history from the time of Alexander the Great's invasion -LRB- see Punjab -LRB- Pakistan -RRB- -RRB-.
"John Michael Todd Crichton was born on February 12 , 2009 .","He was looked down on by some as a climate change denier In February 2009 , his widow gave birth to his only , posthumous son , John Michael Todd Crichton .","John Michael Todd Crichton -LRB- born February 12, 2009 -RRB- is an American football player."
"NWF 's headquarters is currently located in Reston , Virginia .","NWF 's headquarters is in Reston , Virginia .","Its headquarters are located in Reston, Virginia."
During this period it grew to become one of the largest cities in the world and the site of a vibrant urban culture centered on notions of the '' floating world '' .,During this period it grew to become one of the largest cities in the world .,During this period it became one of the largest cities in the world and the site of a vibrant urban culture centered on notions of the '' floating world ''.
"PERSON@1 sheltered their priest , Saint PERSON@2 , in his home and was converted to the Christian faith by him .","PERSON@1 sheltered their priest , PERSON@2 , in his home and was converted to the Christian faith by him .","PERSON@1 sheltered their priest, Saint PERSON@2, in his home and was converted to the Christian faith by him."
"It stars Leon Robinson , Doug E. Doug , Malik Yoba , and Rawle D. Lewis , with John Candy as Irv Blitzer , the retired bobsledder and coach of the Jamaican bobsledders .",It is a comedy movie about the first Jamaican bobsled team who wanted to win a medal at the Winter Olympic Games .,"It stars Leon Robinson, Doug E. Doug, Malik Yoba, and Rawle D. Lewis."
"Roland Navratil - Live Drums -LRB- European Tour 2004-2005 , 2009 -RRB-",Roland Navratil - drums,Roland Navratil - Live Drums
Saint-Rambert-en-Bugey,Coligny,Saint-Rambert-en-Bugey
He started to play the piano at the age of four .,He started to play the piano at the age of NUMBER@1 .,He started to play the piano when he was four years old.
"In computer networking and computer science , bandwidth , network bandwidth , data bandwidth or digital bandwidth , is a bit rate measure of available or consumed data communication resources expressed in bits\/second or multiples of it -LRB- kilobits\/s , megabits\/s etc -RRB- .",Network throughput : which is the average rate of successful data transfer through a connection .,"In computer networking and computer science, bandwidth, network bandwidth or digital bandwidth, is a measure of available or consumed data communication resources in bits/second or multiples of it -LRB- kilobits/s, megabits/s etc -RRB-."
"There is no anything ! ' Then it gets real easy to write this stuff , because all you have to do is twist everything hardâ '' you twist the punch line , you twist the non sequitur so hard away from the things that set it up '' .","Then it gets real easy to write this stuff , because all you have to do is twist everything hardâ '' you twist the punch line , you twist the non sequitur so hard away from the things that set it up , that it 's easy ... and it 's thrilling . ''","Then it gets really easy to write this stuff, because all you have to do is twist everything hardâ '' you twist the punch line so hard away from the things that set it up."
It was originally broadcast on 1 January 2007 .,"That night , a bright , light that is coming from Sarah Janes house wakes Maria up .","It was first broadcast on January 1, 2007."
"Le Sueur composed the Triumphal March for the coronation of PERSON@1 , directed a Mass by PERSON@2 and a PERSON@3 by his former master abbé PERSON@4 .",Le Sueur composed the Triumphal March for the coronation of PERSON@1 .,"Le Sueur, in NUMBER@1, wrote the Triumphal March for the coronation of PERSON@1. He conducted a Mass by PERSON@2 and a PERSON@3 by PERSON@4."
"Since 2003 , the popularity of live CDs has increased substantially , partly due to Linux Live scripts and remastersys which made it very easy to build customized live systems .","Many more people have started using Live CDs since then , because of programs like Linux Live scripts and remastersys which make it very easy to make your own personalized Live CD .","Since 2003, the popularity of live CDs has increased, partly due to Linux Live scripts and remastersys which made it very easy to build customized live systems."
"Australia has two public broadcasters -LRB- the Australian Broadcasting Corporation and the multicultural Special Broadcasting Service -RRB- , three commercial television networks , several pay-TV services , and numerous public , non-profit television and radio stations .","Australia has two public broadcasters -LRB- the ABC and the multi-cultural SBS -RRB- , three commercial television networks , three pay TV services , and numerous public , non-profit television and radio stations .",Australia has two public broadcasters -LRB- the Australian Broadcasting Corporation and the multicultural Special Broadcasting Service -RRB-.
"Karl Jochen Rindt -LRB- April 18 , 1942 Mainz , Germany - September 5 , 1970 Monza , Italy -RRB- was a German racing driver who represented Austria during his career .","Karl Jochen Rindt -LRB- born April 18 1942 in Mainz , Germany -- died September 5 1970 in Monza -RRB- was an Austrian racecar driver .","Karl Jochen Rindt -LRB- April 18, 1942 Mainz, Germany - September 5, 1970 Monza, Italy -RRB- was a German racing driver."
"In general , the chants were learned by the viva voce method , that is , by following the given example orally , which took many years of experience in the Schola Cantorum .","Hiley , Western Plainchant pp .","In general, the chants were learned by the viva voce method, that is, by following the given example orally, which took many years of experience in the Schola Cantorum."
Serbia allies itself with Hungary to gain independence .,"date not known -- Francis of Assisi , founded the Franciscan Order -LRB- d. 1226 -RRB-",Serbia allies itself with Hungary to gain independence.
Unterföhring is a municipality in the Upper Bavarian district LOCATION@1 .,"Unterföhring is a municipality in the LOCATION@2 in LOCATION@3 , LOCATION@4 .",Unterföhring is a municipality of the Upper Bavarian district LOCATION@1.
"Bounded by Hope Street , Grand Avenue , 1st and 2nd Streets , it seats 2,265 people and serves -LRB- among other purposes -RRB- as the home of the Los Angeles Philharmonic orchestra and the Los Angeles Master Chorale .","It is the home of the Los Angeles Philharmonic orchestra . It seats 2,265 people .",It is also the home of the Los Angeles Philharmonic orchestra and the Los Angeles Master Chorale.
"By October 1979 , the IMSAI corporation was bankrupt . The ` IMSAI ' trademark was acquired by Thomas '' Todd '' Fischer and Nancy Freitas -LRB- former early employees of IMS Associates -RRB- , who continued manufacturing the computers under the IMSAI name as a division of Fischer-Freitas Co. .","By October 1979 the IMSAI corporation had gone bankrupt , and the ` IMSAI ' trademark was acquired by Thomas '' Todd '' Fischer and Nancy Freitas -LRB- former early employees of IMS Associates -RRB- , who continued manufacturing the computers under the IMSAI name as a division of Fischer-Freitas Co. .","By October 1979, the IMSAI Corporation was bankrupt. The  IMSAI'trademark was bought by Thomas '' Todd '' Fischer and Nancy Freitas -LRB- former early employees of IMS Associates -RRB-."
"Since many such items were released throughout the NUMBER@1 , they often featured bright neon colors and soft textures similar to the flagship Nerf ball .","It is fun because we all like playing with soft balls , only some people like it when their balls are hard","Since many such items were released throughout the NUMBER@1, they often featured bright neon colors and soft textures like the flagship Nerf ball."
"The Avalon Peninsula is a large peninsula -LRB- 10,360 km The Canadian Encyclopedia : Avalon Peninsula -RRB- that makes up the southeast portion of the island of Newfoundland .","The Avalon Peninsula is a large peninsula -LRB- 9,270 km -RRB- that makes up the southeast portion of the island of Newfoundland .","The Avalon Peninsula is a large peninsula -LRB- 10,360 km The Canadian Encyclopedia : Avalon Peninsula -RRB- that makes up the southeast part of the island of Newfoundland."
NUMBER@1 & ndash ; drops anchor off the LOCATION@1 .,NUMBER@1 -- HMS Beagle anchors off the LOCATION@1 .,NUMBER@1 - drops anchor off the LOCATION@1.
"Depending on the variant , characters ' roles include giving King PERSON@1 his sword Excalibur , enchanting PERSON@2 , and raising PERSON@3 after the death of his father .","Her roles include giving King PERSON@1 his sword , Excalibur , taking PERSON@1 to LOCATION@1 after the Battle of LOCATION@2 , raising PERSON@3 after the death of his father , and of enchanting PERSON@2 .",PERSON@4's role as King PERSON@1 is shown in the video.
Itancourt is a commune in the Aisne department in Picardy in northern France .,It is found in the region Picardie in the Aisne department in the north of France .,Itancourt is a commune.
"The library of past games currently consists of titles originating from the Nintendo Entertainment System , Super Nintendo Entertainment System , and Nintendo 64 , as well as Sega 's Master System and Mega Drive/Genesis , NEC 's TurboGrafx-16 and TurboGrafx-CD , SNK 's Neo Geo AES , Commodore 64 -LRB- Europe and North America only -RRB- and MSX -LRB- Japan only -RRB- .","The games are from the Nintendo Entertainment System , Super NES , Nintendo 64 , Sega Master System , Sega Mega Drive , TurboGrafx-16 , TurboGrafx-CD , Neo Geo AES , Commodore 64 , and MSX -LRB- Japan only -RRB- .","The library of past games includes titles from the Super Nintendo Entertainment System, and Nintendo 64."
"He gave his first concert as principal conductor of the BPO on NUMBER@1 September NUMBER@2 , leading performances of PERSON@1 ' Asyla and PERSON@2 's Symphony No. NUMBER@3 , performances which received rave reviews from the press worldwide and were recorded for CD and DVD release by ORGANIZATION@1 .","He gave his first concert as principal conductor of the BPO on NUMBER@1 September NUMBER@2 , leading performances of PERSON@1 ' Asyla and PERSON@2 's Symphony No. NUMBER@3 .",He gave his first concert as principal conductor of the BPO on NUMBER@1 September NUMBER@2.
Dr PERSON@1 -LRB- knighted in NUMBER@1 -RRB- set up the ORGANIZATION@1 in NUMBER@2 on NUMBER@3 a of land which had formerly been part of the ORGANIZATION@2 .,Dr PERSON@1 -LRB- knighted in NUMBER@1 -RRB- set up the ORGANIZATION@1 in NUMBER@4 . It was on NUMBER@5 a of land which had been part of the ORGANIZATION@2 .,Dr PERSON@1 -LRB- knighted in NUMBER@1 -RRB- set up the ORGANIZATION@1 in NUMBER@2 on NUMBER@3 a of land which had formerly been part of the ORGANIZATION@2.
"PERSON@1 decided that the method of play described in the book , a boxing match followed by a chess match , was impractical .","PERSON@1 decided that the method of play in the book , a boxing match with a chess match after , was not very good .","PERSON@1 decided that the method of play described in the book, a boxing match followed by a chess match, was impractical."
"When a solid is heated above its melting point , it becomes liquid , given that the pressure is higher than the triple point of the substance .","When a solid becomes a liquid , this is called melting .","When a solid is heated above its melting point, it becomes liquid."
"Bulgaria -LRB- , Balgariya , , .6 -RRB- , officially the Republic of Bulgaria -LRB- , Republika Balgariya , -RRB- , is a country in south-eastern Europe .",References,Bulgaria is a country in south-eastern Europe.
"Calcium bromate , Ca -LRB- BrO3 -RRB- 2 , is a salt of bromic acid and lime .",Its chemical formula is Ca -LRB- BrO3 -RRB- 2 . It contains calcium and bromate ions .,"Calcium bromate, Ca -LRB- BrO3 -RRB- 2, is a salt of bromic acid and lime."
"Though LOCATION@1 's capital LOCATION@2 is located into the heart of the region , it forms the LOCATION@3 , equivalent to a Region .",The LOCATION@4 is a region located in LOCATION@1 .,"Though LOCATION@1's capital LOCATION@2 is located into the heart of the region, it forms the LOCATION@3, equivalent to a Region."
"The mill was built in 1861 , and purchased by brothers Charles and Frederick Schwamb in 1864 for the manufacture of circular and elliptical picture frames .","The mill was built in 1861 , and purchased by brothers Charles and Frederick Schwamb in 1864 for the manufacture of picture frames .","The mill was built in 1861, and bought by Charles and Frederick Schwamb in 1864."
"Opeth finished writing material for its eighth album in late 2004 . The band rehearsed for three weeks before entering the studio , the first time the band rehearsed since the 1998 album , My Arms , Your Hearse .","After writing material for their eighth album in late 2004 , the band rehearsed for three weeks before entering the studio , the first time they rehearsed since the 1998 album , My Arms , Your Hearse .","The band rehearsed for three weeks before entering the studio, the first time they rehearsed since the 1998 album My Arms, Your Hearse."
"The 59th Annual Primetime Emmy Awards were held at the Shrine Auditorium in Los Angeles , California on September 16 , 2007 and were televised live on Fox at 8:00 p.m. EDT -LRB- 00:00 UTC -RRB- for the first time in high definition -LRB- on tape delay three hours later on the West Coast of the United States at 8:00 p.m. PDT\/3 :00 UTC -RRB- .","The 59th Annual Primetime Emmy Awards were held at the Shrine Auditorium in Los Angeles , California on September 16 , 2007 and were live on television on Fox at 8:00 p.m. EDT -LRB- 00:00 UTC -RRB- for the first time in high definition -LRB- on tape delay three hours later on the West Coast of the United States at 8:00 p.m. PDT\/3 :00 UTC -RRB- .","The 59th Annual Primetime Emmy Awards were held at the Shrine Auditorium in Los Angeles, California on September 16, 2007."
"Season activity The Atlantic hurricane season officially began on June 1 , but activity in 1988 began two days earlier with the formation of Tropical Depression One on May 30 .","The 1988 Atlantic hurricane season officially began on June 1 , 1988 and ended on November 30 , 1988 .","Activity The Atlantic hurricane season officially began on June 1, but activity in 1988 began two days earlier with the formation of Tropical Depression One on May 30."
"Initially , she was a manager for the tag team of MNM .",PERSON@1 insulted PERSON@2 and had Mercury and Nitro attack him .,"Initially, she was a manager for the tag team of MNM."
"The Pennsylvania Cyber Charter School , also known as PA Cyber , is a public virtual charter school based out of Midland , Pennsylvania .","The Pennsylvania Cyber Charter School -LRB- also known as PA Cyber -RRB- is an online school , made as an alternative to regular schooling . It recently changed its name from the Western Pennsylvania Cyber Charter School .","The Pennsylvania Cyber Charter School is a public virtual charter school in Midland, Pennsylvania."
Pelvic inflammatory disease can strike the fallopian tubes . This might cause a Fallopian tube obstruction .,The Fallopian tubes can move around the pelvis .,Pelvic inflammatory disease can affect the fallopian tubes.
"The agreement was to run from January NUMBER@1 , NUMBER@2 to NUMBER@3 .",The agreement was to run from NUMBER@1 January NUMBER@2 to NUMBER@3 .,"The agreement was to run from January NUMBER@1, NUMBER@2 to NUMBER@3."
The zinc oxide is thought to have been produced by heating zinc ore in a shaft furnace .,Zinc oxide can be made by heating powdered zinc metal . It can also be made by heating zinc hydroxide .,It is thought to have been produced by heating zinc ore in a shaft furnace.
He is currently professor at ORGANIZATION@1 in Orsay and scientific director of a joint laboratory -LRB- ` UnitÃ mixte de recherche ' -RRB- between the Centre national de la recherche scientifique -LRB- ORGANIZATION@2 -RRB- and ORGANIZATION@3 .,He is a professor at ORGANIZATION@1 in Orsay and scientific director of a laboratory called UnitÃ mixte de recherche . The laboratory is part of the Centre national de la recherche scientifique -LRB- ORGANIZATION@2 -RRB- and ORGANIZATION@3 .,He is a professor at ORGANIZATION@1 in Orsay and scientific director of a joint lab -LRB-  Unit mixte de recherche'-RRB- between the Centre national de la recherche scientifique -LRB- ORGANIZATION@2 -RRB- and ORGANIZATION@3.
