source_sentence,simplified_sentence
"Blabbermouth.net is a website dedicated to heavy metal and hard rock news , as well as album and music DVD reviews .","Blabbermouth.net is a website that is dedicated to heavy metal and hard rock news , as well as album and music DVD reviews ."
"Along with the fellow LOCATION@1 hardcore band Bad Brains , Minor Threat set the standard for many hardcore punk bands in the NUMBER@1 and NUMBER@2 .",Minor Threat was hardcore punk band from LOCATION@1 from the NUMBER@1 .
"To the south-east the upper reaches of the LOCATION@1 and towns such as LOCATION@2 , LOCATION@3 and LOCATION@4 are often considered to mark the limit of this region .","To the south towns as LOCATION@5 , LOCATION@2 , LOCATION@3 , LOCATION@6 and LOCATION@4 mark the southern limit of this region ."
"No rings have been seen in images , which puts a very low limit on dust-sized particles .","No rings have been seen in images , which puts a very low limit at least on tiny dust-sized particles ."
From 450 BC these settlements were gradually taken over by the Etruscans .,From 450 BC the Umbrians villages were taken over by the Etruscans .
"Flag The word nego is Portuguese for '' I deny '' , referring to the protests that erupted in the 1920s in Paraíba , supported by state governor João Pessoa Cavalcânti de Albuquerque , to the appointment of Júlio Prestes as the President of Brazil .",Flag The word nego is Portuguese for '' I deny '' . It refers to protests in the 1920s in Paraíba against Júlio Prestes becoming the President of Brazil .
"NUMBER@1 & ndash ; In LOCATION@1 , the last ` old style ' ORGANIZATION@1 Beetle rolls off the assembly line .",NUMBER@1 - The last Old Style ORGANIZATION@1 Beetle rolls off the assembly line in LOCATION@1 .
"As of November NUMBER@1 , NUMBER@2 the LOCATION@1 held NUMBER@3 % of total votes , LOCATION@2 NUMBER@4 % , LOCATION@3 NUMBER@5 % , the LOCATION@4 NUMBER@6 % , and LOCATION@5 NUMBER@6 % .","As of November NUMBER@7 , NUMBER@8 the LOCATION@1 held NUMBER@3 % of total votes , LOCATION@2 NUMBER@4 % , LOCATION@3 NUMBER@5 % , and the LOCATION@4 and LOCATION@5 each held NUMBER@6 % ."
"The option to capture en passant must be exercised on the move immediately following the double-square pawn advance , or it is lost .","The option to capture en passant can only be used on the move right after the double-square pawn advance , or the chance is lost ."
"By this , he included '' mundane '' acts of change as well as ritual magic .","By this , he included ordinary acts of will as well as acts of ritual magic ."
"On June 1 , 1972 , Baader and fellow RAF members Jan-Carl Raspe and Holger Meins were apprehended after a lengthy shootout in Frankfurt .","On 1 June 1972 , he and fellow RAF members Jan-Carl Raspe and Holger Meins were caught after a gunfight in Frankfurt ."
"The invariable plane of a planetary system , also called Laplace 's invariable plane , is the plane passing through its barycenter -LRB- center of mass -RRB- perpendicular to its angular momentum vector .",The invariable plane of a planetary system is the plane passing through its barycenter -LRB- center of mass -RRB- . This is perpendicular to its angular momentum vector .
"Guanine is one of the five main nucleobases found in the nucleic acids DNA and RNA , the others being adenine , cytosine , thymine , and uracil .","Guanine is one of the five main nucleobases found in the nucleic acids DNA and RNA . The others are adenine , cytosine , thymine , and uracil ."
A blood type -LRB- also called a blood group -RRB- is a classification of blood based on the presence or absence of inherited antigenic substances on the surface of red blood cells -LRB- RBCs -RRB- .,It describes the type of blood a person has . This blood type is based on whether or not there are substances on the outside of red blood cells that can cause an allergic reaction when it comes into contact with certain other blood cells .
"In his later years , he began acting strangely , and was eventually found to be mentally ill .","In his later years , he began acting strangely , and became mentally ill ."
"Description Corippo lies in the LOCATION@1 valley some NUMBER@1 kilometers -LRB- NUMBER@2 miles -RRB- from LOCATION@2 at the north end of the artificial LOCATION@3 , and NUMBER@3 km from the border with LOCATION@4 .","Description Corippo lies in the LOCATION@1 valley about NUMBER@1 kilometers -LRB- NUMBER@2 miles -RRB- from LOCATION@2 at the north end of the reservoir LOCATION@3 , and NUMBER@3 km from the border with LOCATION@4 ."
"Gilman is a city in Marshall County , Iowa , United States .",Gilman is a city of Iowa in the United States .
"Fictional history Dalek in-universe history has seen many retroactive changes , which have caused continuity problems .","Fictional history Dalek history inside the show has seen many changes , which have caused continuity problems ."
"On NUMBER@1 October NUMBER@2 , he was elected to be the eighth Secretary-General by the ORGANIZATION@1 .","On October NUMBER@1 NUMBER@2 , he was elected to be the eighth Secretary-General by the ORGANIZATION@1 ; he was sworn in on December NUMBER@3 , NUMBER@2 ."
"ORGANIZATION@1 at LOCATION@1 in LOCATION@2 is one of the largest cathedrals in LOCATION@3 , with the longest nave and overall length of any Gothic cathedral in LOCATION@4 .",ORGANIZATION@1 at LOCATION@1 in LOCATION@2 is one of the largest cathedrals in LOCATION@3 .
"The Houston Dynamo is an American professional soccer club based in Houston , Texas that participates in Major League Soccer .","The Houston Dynamo are an American soccer team that plays in Major League Soccer in Houston , Texas ."
"Straja is a commune in LOCATION@1 , LOCATION@2 , LOCATION@3 .","Straja is a commune found in LOCATION@1 , LOCATION@3 ."
"Theodore Crawford Cassidy -LRB- July 31 , 1932 - January 16 , 1979 -RRB- , known as Ted Cassidy , was an American actor and voice actor who performed in television and films .","Ted Cassidy -LRB- July 31 , 1932 - January 16 , 1979 -RRB- was an actor , he was probably most famous for his roles as Lurch and Thing on The Addams Family ."
"The ISO 3166/MA therefore reserves them , so that they are not used for new official codes during a limited or indeterminate period of time , thereby avoiding any transitional problems or conflicts between the ISO 3166-1 standard and those applications .","The ISO 3166/MA therefore reserves them , so that they are not used for new official ISO 3166 codes , thereby creating conflicts between the standard and those applications ."
"The College Dropout is the debut album by American rapper and producer PERSON@1 , released February NUMBER@1 , NUMBER@2 .","The College Dropout is the debut album by rapper and producer PERSON@1 , released February NUMBER@1 , NUMBER@2 ."
Philadelphia 's city bell had been used to alert the public to proclamations or civic danger since the city 's 1682 founding .,"Ever since the city began in 1682 , Philadelphia had been using its city bell to make its people know about meetings or civil danger ."
"It then receives the Arroyo Seco , another major tributary , from the left .","Downstream from this place , the river picks up another important tributary , Arroyo Seco , on the left ."
"Dr. PERSON@1 , a British civil surgeon at LOCATION@1 , indicated over NUMBER@1 casualties .","Dr. PERSON@1 , a British civil surgeon at LOCATION@1 , said there were over NUMBER@2 casualties ."
His conjecture was completely proved by PERSON@1 -LRB- NUMBER@1 -- NUMBER@2 -RRB- in NUMBER@3 and so the postulate is also called the LOCATION@1 theorem or PERSON@1 's theorem .,"His statement was completely proven by PERSON@2 in NUMBER@3 . For this reason , the postulate is also called the LOCATION@1 theorem or PERSON@1 's theorem ."
"Together with the leading flagellum , the eyespot allows the organism to move in response to light , often toward the light to assist in photosynthesis , and to predict day and night , the primary function of circadian rhythms .","Together with the leading flagellum , the eyespot allows the organism to move in response to light to assist in photosynthesis , and to predict day and night , the primary function of circadian rhythms ."
Maissemy is a commune in the LOCATION@1 department in LOCATION@2 in northern LOCATION@3 .,Maissemy is a commune . It is found in the region PERSON@1 in the LOCATION@1 department in the north of LOCATION@3 .
"The university grew out of an association of scholars in the city of Cambridge that was formed , early records suggest , in 1209 by scholars leaving Oxford after a dispute with townsfolk there .",The University grew out of a group of scholars in the city of Cambridge . Early records suggest that this happened in 1209 by scholars leaving Oxford after a dispute with local townsfolk there .
"The opera tells how PERSON@1 , disguised as a prison guard named '' Fidelio '' , rescues her husband Florestan from death in a political prison .","The opera tells how PERSON@1 , disguised as a prison guard called '' Fidelio '' , rescues her husband Florestan from death in a political prison ."
"As it moved northeast away from the island , the storm strengthened further to its peak with winds of 65 mph -LRB- 100 km/h -RRB- .","As it moved northeast away from the island , the storm strengthened more to its strongest with winds of 65 mph -LRB- 100 km/h -RRB- ."
"I fear no foe , with thee at hand to bless ; ills have no weight , and tears not bitterness .","I fear no foe , with Thee at hand to bless ; Ills have no weight , and tears no bitterness ."
"The Legend of Zelda : The Wind Waker , released as The Legend of Zelda : Takt of Wind in Japan , is an action-adventure game and the tenth installment in The Legend of Zelda series .","The Legend of Zelda : The Wind Waker , known in Japan as Zelda no Densetsu : Kaze no Takt was the tenth game in The Legend of Zelda group of games ."
Hans-Christian StrÃ bele -LRB- born NUMBER@1 June NUMBER@2 -RRB- is a German politician and lawyer .,Hans-Christian StrÃ bele -LRB- NUMBER@1 June NUMBER@2 in LOCATION@1 -RRB- is a German politician and lawyer .
"Private international cartels -LRB- those with participants from two or more nations -RRB- had an average price increase of NUMBER@1 % , whereas domestic cartels averaged NUMBER@2 % .",Private international cartels -LRB- those with participants from two or more nations -RRB- had an average price increase of NUMBER@1 % .
"The University was founded in NUMBER@1 in a merger of the private College of LOCATION@1 and the public Agricultural , Mining , and ORGANIZATION@1 .","The University was founded in NUMBER@1 when the private College of LOCATION@1 and the public Agricultural , Mining , and ORGANIZATION@1 merged ."
"PERSON@1 's Clarinet Concerto and Clarinet Quintet are both in A major , and generally PERSON@1 was more likely to use clarinets in A major than in any other key besides E-flat major .",PERSON@1 's Clarinet Concerto and Clarinet Quintet are both in A major . PERSON@1 used clarinets in A major often .
"After the repulse of the Dhoonds , it was found that the conspiracy affect many more clans and a much wider extent of country than had been suspected .","After the Dhoonds had been forced back , it was found that many more clans and tribes had been part of the plan ."
Naked Lunch -LRB- sometimes The Naked Lunch -RRB- is a novel by PERSON@1 originally published in NUMBER@1 .,Naked Lunch -LRB- sometimes referred to as The Naked Lunch -RRB- is a novel by PERSON@1 originally published in NUMBER@1 .
By topic Religion LOCATION@1 is granted to PERSON@1 founds the ORGANIZATION@1 -LRB- traditional date -RRB- .,By topic Religion LOCATION@1 is granted to PERSON@1 founds the ORGANIZATION@1 .
The ORGANIZATION@1 is one of the five administrative regions of LOCATION@1 .,The South Region of LOCATION@1 is one of the five administrative regions of LOCATION@1 .
NUMBER@1 AL Championship Series MVP Award,NUMBER@2 American League Championship Series MVP
"As a good angel , PERSON@1 supposedly resides in the seventh heaven , although he is declared to be the chief angel of the fifth heaven .","As a good angel , PERSON@1 supposedly lives in the seventh heaven , although he is said to be the chief angel of the fifth heaven ."
It was replaced with PERSON@1 for the NUMBER@1 season .,PERSON@2 will be replaced by PERSON@1 in NUMBER@1 .
"PERSON@1 returned to LOCATION@1 bay area for a live concert at the LOCATION@2 on September NUMBER@1 , NUMBER@2 with special guest Alex To .",CoCo will return to the LOCATION@1 bay area for a live concert at the LOCATION@3 on NUMBER@1 September NUMBER@2 with special guest Alex To .
"In mathematics , the dot product is an algebraic operation that takes two equal-length sequences of numbers -LRB- usually coordinate vectors -RRB- and returns a single number obtained by multiplying corresponding entries and then summing those products .","In mathematics , the dot product is an algebraic operation that takes two equal-length sequences of numbers -LRB- usually coordinate vectors -RRB- and returns a single number obtained by multiplying corresponding entries and adding up those products ."
"Its distinctive strong , very salty flavour means that it is preferred for some pasta dishes with highly-flavoured sauces , especially those of Roman origin , such as sugo all ` amatriciana .","Its distinctive strong , very salty flavour means that it is preferred for some pasta dishes with highly-flavoured sauces , especially those of Roman origin , such as pasta all ` amatriciana ."
"Aged around thirty , he would usually be a senator on a three year appointment .","Aged about thirty , he would usually be a senator on a three year appointment ."
'' Viva La White Girl '' -LRB- Remix -RRB- -LRB- featuring Lil Wayne -RRB- & ndash ; 4:46,'' Viva La White Girl -LRB- Remix -RRB- '' -LRB- featuring Lil Wayne -RRB- & ndash ; 4:46
Events July 17 -- Charles VI of France marries Isabeau of Bavaria August 14 -- Battle of Aljubarrota : John of Aviz defeats John I of Castile in the decisive battle of the 1383-1385 Crisis .,Events August 14 - Battle of Aljubarrota - John of Aviz defeats John I of Castile in the decisive battle of the 1383-1385 Crisis .
"The sequel Rocky II , which Stallone had also written and directed -LRB- replacing John G. Avildsen , who won an Academy Award for directing the first film -RRB- was released in 1979 and also became a major success , grossing $ 200 million .",The second movie Rocky II which Stallone had also written and directed was released in 1979 and also became a huge success . The money it made was over US$ 200 million .
"History In 1972 , the previous districts of Kassel , Hofgeismar and Wolfhagen , were merged to form the newly established district of Kassel .","History 1972 the previous districts of Kassel , Hofgeismar and Wolfhagen were joined to form the newly established district of Kassel ."
"Thomas West , 2nd Baron West -LRB- d. 1415 -RRB-","Thomas West , 2nd Baron West -LRB- died 1415 -RRB-"
Spider and Son Role in the Red Hot Chili Peppers Kiedis supplies most of the Chili Peppers ' lyrics .,He is the lead singer of the rock band the Red Hot Chili Peppers .
"The average summer high temperature is the hottest of any area in the LOCATION@1 after LOCATION@2 , which is the hottest of any major city in the LOCATION@1 , and approaches those of cities such as LOCATION@3 and LOCATION@4 .",The average summer high temperature is among the hottest of any populated area in the LOCATION@1 and approaches those of cities such as LOCATION@3 and LOCATION@4 .
"Louis Vincent Albano -LRB- born July 29 , 1933 -RRB- , better known by his ring name Captain Lou Albano , is an American former professional wrestler , manager and actor .","Louis Vincent Albano -LRB- born July 29 , 1930 -RRB- was a very famous American professional wrestler in the 1980s ."
"Olivier Messiaen -LRB- ; December 10 , 1908 -- April 27 , 1992 -RRB- was a French composer , organist , and ornithologist .","Olivier Messiaen -LRB- born Avignon , 10 December 1908 ; died Clichy , near Paris , 27 April , 1992 -RRB- was a French composer and organist ."
"PERSON@1 pulled alongside the Ferrari and as PERSON@2 ran wide into the corner , PERSON@1 made a move to pass him .",PERSON@1 pulled alongside and made a move to pass him . PERSON@2 then ran wide and both cars hit .
"Likened to television science educators Mr. Wizard and Bill Nye , Brown explores the science and technique behind the cooking , the history of different foods , and the advantages of different kinds of cooking equipment .","In Good Eats , Brown looks at the science behind the cooking , the history of various foods , and the best things of many kinds of cooking equipment ."
"In fact , she is refusing to continue because Dr. SchÃ n and his fiancÃ e are in the audience .","Lulu leaves to go on stage , but refuses to go on because Dr. SchÃ n and his fiancÃ e are in the audience ."
Baroville is a commune in the Aube department in north-central LOCATION@1 .,Baroville is a commune of the Aube dÃ partement in the north-central part of LOCATION@1 .
This is a redirect from a Wikipedia shortcut .,This is a redirect to a Wikipedia '' shortcut '' .
"Security -LRB- album -RRB- , a 1982 studio album by Peter Gabriel","Security , a 1982 studio album by Peter Gabriel"
It came from the study of heat -LRB- or thermal energy -RRB- in the period 1850 to 1900 .,The word Entropy came from the study of heat -LRB- or thermal energy -RRB- in the period 1850 to 1900 .
Bitonality is the use of only two different keys at the same time .,Polytonality is the use in music of several keys at the same time .
"As head of the Scottish Government , the First Minister is directly accountable to the Scottish Parliament for his or her actions and the actions of the wider government .",First Minister of Scotland is the name given to the head of the Scottish government .
"PERSON@1 -LRB- born January NUMBER@1 , NUMBER@2 -RRB- is an American actor .","PERSON@1 -LRB- born January NUMBER@1 , NUMBER@2 , in LOCATION@1 , LOCATION@2 -RRB- is an American actor ."
"The Pitman arm is a linkage attached to the steering gear -LRB- see recirculating ball -RRB- sector shaft , that converts the angular motion of the sector shaft into the linear motion needed to steer the wheels .",The Pitman arm is a component that converts the angular motion of a sector shaft into linear motion .
"Masturbation with a partner , called mutual masturbation , is also common .",This is called '' mutual masturbation '' .
"Though their grandson PERSON@1 I of LOCATION@1 -LRB- also known as PERSON@2 , Holy Roman Emperor -RRB- favoured LOCATION@2 , it was PERSON@1 ' son , PERSON@3 -LRB- NUMBER@1 NUMBER@2 -RRB- who moved the court to LOCATION@3 in NUMBER@3 .","Their grandson was the famous PERSON@1 I of LOCATION@1 -LRB- also known as PERSON@2 , Holy Roman Emperor -RRB- ."
"The mayor finally ordered a widespread evacuation of the island after midnight on August 18 , but by then , the bridges to the mainland were uncrossable .","The mayor finally ordered a widespread evacuation of the island after midnight on August 18 , but by then the bridges to the mainland were no longer usuable as they have been broken ."
"To the Ayyavazhi devotees , there are seven holy places , called Pathis , with the Pancha pathis being the most important .","To the Ayyavazhi devotees , there are five holy places , called Pathis , with '' Panchappathis '' as the most important ."
"By July NUMBER@1 , nine tracks had been recorded for the new album , including the songs '' Fine '' , '' Everybody Hurts '' and '' Darlin '' .","By July NUMBER@1 , she had recorded nine tracks of the new album . These songs included '' Everybody Hurts '' and '' Darlin '' ."
"Islamabad , the national capital of Pakistan",Islamabad - the Federal national capital of Pakistan .
"The yak , Bos grunniens , is a long-haired bovine found throughout the Himalayan region of south LOCATION@1 , the LOCATION@2 and as far north as LOCATION@3 and LOCATION@4 .","The yak is a long-haired bovine , or cow like animal , found throughout the Himalayan region of south LOCATION@1 , including LOCATION@5 's LOCATION@6 region , LOCATION@7 and as far north as LOCATION@3 ."
"Most men usually have wallets , while women have usually have purses .","Most men usually keep their wallet in their pockets , while women usually keep them in their purses ."
"Both were founded more than NUMBER@1 years ago , and continued as LOCATION@1 's only universities until the 19th century .",They were the only universities in LOCATION@1 's until the 19th century .
"Girls Aloud is a British pop girl group based in London , England . They were created through the ITV1 talent show Popstars The Rivals in 2002 .",Girls Aloud are a British girl group created by an ITV television show named Popstars : The Rivals in 2002 .
"ORGANIZATION@1 NUMBER@1 is a German association football club based in LOCATION@1 , LOCATION@2 , currently playing in the NUMBER@2 .",The ORGANIZATION@1 NUMBER@1 is a football club which plays in LOCATION@3 .
"Academic career After completing his PhD , he became an assistant and lecturer at ORGANIZATION@1 -LRB- NUMBER@1 -RRB- .","Academic work Work After getting his PhD , he stayed in LOCATION@1 as an assistant and a lecturer between NUMBER@2 and NUMBER@3 ."
The Province of Ascoli Piceno -LRB- -RRB- is a province in the Marche region of Italy .,Provincia di Ascoli Piceno -RRB- is a province in the Marche region of Italy .
"It is now probably equally well known as the home of the Eden Project , ORGANIZATION@1 , the LOCATION@1 festival , the Bristol International Balloon Fiesta , trip hop music and also ORGANIZATION@2 's famous seafood restaurants and surfing beaches .","It is now probably equally well known as the home of the Eden Project , ORGANIZATION@1 , the LOCATION@1 festival , trip hop music , PERSON@1 seafood restaurants , and surfing beaches ."
"Green manures are crops grown for the express purpose of plowing them in , thus increasing fertility through the incorporation of nutrients and organic matter into the soil .","Green manures are crops grown for the express purpose of plowing them under . In so doing , fertility is increased through the nutrients and organic matter that are returned to the soil ."
"Sir PERSON@1 '' Ming '' ORGANIZATION@1 , CBE , QC , MP -LRB- born NUMBER@1 May NUMBER@2 -RRB- is a Scottish politician and advocate , and a retired sprinter .","Sir PERSON@1 '' Ming '' ORGANIZATION@1 -LRB- born NUMBER@1 May NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a British politician and retired sprinter ."
"Under the Moldovan constitution , Urechean â '' elected to parliament in 2005 â '' was unable to hold an additional post to that of an MP .","Under the Moldovan constitution , Urechean - elected to parliament in 2005 - was prevented from holding an additional post to that of an MP ."
Kemnay -LRB- Gaelic : Ceann a ' Mhuigh -RRB- is a village west of Aberdeen in Scotland .,Kemnay -LRB- Gaelic : Ceann a ' Mhuigh -RRB- is a village 16 miles west of Aberdeen in Scotland .
"He was the first Labour Prime Minister to serve a full Parliamentary term , and the first to command a ORGANIZATION@1 majority in ORGANIZATION@2 .","He was the first Labour prime minister with a majority in government , and was very important in the setting up of the welfare state ."
"Toyohito Mochizuki -LRB- born September 18 , 1953 -RRB- is a former Japanese football player .",Toyohito Mochizuki -LRB- born 18 September 1953 -RRB- is a former Japanese football player .
The pairing of Fey and Fallon ended in May 2004 when Fallon last appeared as a cast member .,The pairing of Fey and Fallon ended in May 2004 . Fallon left the show at the end of that season .
"Asia The Han dynasty is restored in LOCATION@1 as PERSON@1 proclaims himself Emperor , starting the PERSON@2 era -LRB- until NUMBER@1 -RRB- .","PERSON@3 , PERSON@4 become consuls Asia Han dynasty was restored in LOCATION@1 as PERSON@1 proclaimed himself Emperor , start of PERSON@2 era -LRB- - > NUMBER@1 -RRB- ."
", PERSON@1 born September NUMBER@1 , NUMBER@2 in LOCATION@1 -RRB- is a Japanese football player who plays for JÃ bilo PERSON@2 on loan from LOCATION@2 .",PERSON@3 -LRB- born NUMBER@1 September NUMBER@2 -RRB- is a Japanese football player . He plays for LOCATION@2 .
There are also two LOCATION@1 communities on the nearby coast of the mainland at LOCATION@2 and LOCATION@3 .,There are also two LOCATION@1 communities on the nearby coast of the mainland .
"The BIPM was not even aware that '' degree Celsius '' was in sporadic , non-scientific use before that time .","The BIPM was n't even aware that '' degree Celsius '' was in sporadic , non-scientific use before that time ."
Heinrich '' Heinz '' Kwiatkowski -LRB- 16 July 1926 23 May 2008 -RRB- was a German football goalkeeper .,"Heinz Kwiatkowski -LRB- born 16 July , 1926 -RRB- is a former German football player ."
Noaillac is a commune in the LOCATION@1 department in LOCATION@2 in south-western LOCATION@3 .,Noaillac is a commune . It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .
"Along with the Maypole , it is an important component of the Wiccan and Neopagan celebration of Beltaine , also known as May Day .","Neopagan and Wiccan beliefs Along with the Maypole , the bonfire is an important component of the Wiccan and Neopagan celebration of Beltaine , also known as May Day ."
The first distillation of rum took place on the sugarcane plantations of the Caribbean in the 17th century .,It is made from molasses and other sugarcane by-products through fermentation and distillation . Rum is mostly made in or around the Caribbean .
"PERSON@1 was the first to explore developments he called the '' Neolithic Revolution '' and '' Urban Revolution '' in the archeological record , and they are still vital concepts in prehistoric studies .",He is also credited with coining the terms '' Neolithic Revolution '' and '' Urban Revolution '' .
Transport The town has two railway stations on two separate railway lines .,The town has two railway stations .
His childhood names were '' MatsusaburÅ '' -LRB- æ 3\/4 ä é -RRB- and '' Naomatsu '' -LRB- ç æ 3\/4 -RRB- .,"As a child , he was called '' MatsusaburÅ '' -LRB- æ 3\/4 ä é -RRB- and '' Naomatsu '' -LRB- ç æ 3\/4 -RRB- ."
"There are numerous underground water springs in the area , which explain its attractiveness as an area of settlement .",There are many underground water springs in the area .
"Lawrence 's Goldfinch , Carduelis lawrencei , is a small songbird that ranges erratically in southwestern North America .","The Lawrence 's Goldfinch , Carduelis lawrencei , is a small songbird of North America ."
Soilwork is a Swedish melodic death metal band from LOCATION@1 .,"Soilwork is a death metal band from LOCATION@1 , LOCATION@2 ."
Saint-Sauveur-sur-Tin Ã e is a commune in the Alpes-Maritimes department in the Provence-Alpes-C Ã te d'Azur region in southeastern France .,Saint-Sauveur-sur-Tin Ã e is a commune . It is found in the Provence-Alpes-C Ã te d'Azur region in the Alpes-Maritimes department in the south of France .
"The Mariinsky Theatre -LRB- , Mariinskiy Teatr , also spelled Maryinsky , Mariyinsky -RRB- is a historic theater of opera and ballet in Saint Petersburg , Russia .","The Mariinsky Theatre is a famous theater of opera and ballet in Saint Petersburg , Russia ."
"In early 2003 , the lineup was completed by Amy Lee and Ben Moody 's friends , John LeCompt , Rocky Gray and Will Boyd , all of whom worked on Evanescence 's earlier songs .","Fallen and Anywhere but Home Three of Lee and Moody 's friends joined the band . They were John LeCompt , Rocky Gray and Will Boyd ."
"This system is also unique to mammals , although it seems to have evolved convergently in pre-mammals multiple times .","This system is unique in present mammals , although it seems to have evolved convergently in pre-mammals more than once ."
She commented that the novel '' is the most probable fiction I have ever read '' and had become '' at present the fashionable novel '' .,She added that '' is the most probable fiction I have ever read '' and had become '' at present the fashionable novel '' .
"Strictly speaking , in the UK the gravy is those unthickened juices -LRB- particularly from meat -RRB- but the Americanisation is widely in use as well .",Gravy is an English sauce made often from the juices that run naturally from meat or vegetables during cooking .
"1980 & ndash ; English rock group Led Zeppelin officially disbands , following the death of drummer John Bonham on September 25th .",1980 - The rock group Led Zeppelin formally announce their breakup .
The ORGANIZATION@1 of the LOCATION@1 is known as the LOCATION@2 .,The ORGANIZATION@1 of the Rig Veda is known as the LOCATION@2 .
"Jointly , these policies determine the type and quality of material that is acceptable in articles .","Together , these policies determine the type and quality of material that is acceptable in articles ."
"It was said that Hitler conquered France , but did not conquer the Eiffel Tower .",People did not like the Eiffel Tower and wanted it taken down .
"Though founded in 1887 , under Jack Hyles ' leadership from 1959 2001 it became one of the megachurches in the United States and during the 1970s had the highest Sunday school attendance of any church in the world .","It was under Jack Hyles ' leadership from 1959-2001 that it became a megachurch , one of the first in the United States , with a steady weekly attendance of around 20,000 ."
"PERSON@1 often works with PERSON@2 , and his work is typically characterised by a sharp , black humour and an ability to portray characters who are sympathetic and understandable , but morally ambiguous .","PERSON@1 often works with PERSON@2 . He is known for his ability to create characters who are sympathetic , understandable and completely wrong ."
PERSON@1 -LRB- ca . NUMBER@1 â '' April NUMBER@2 -RRB- was an English clergyman and poet .,"PERSON@1 -LRB- c. NUMBER@1 -- April , NUMBER@2 -RRB- was an English priest and poet ."
"In the beginning , the committee was filled with active parliamentarians and the annual reports were discussed in parliamentary sessions .","At first , the committee was filled with active members of the parliament and every year its reports were talked about in parliamentary sessions ."
OTEC can also supply quantities of cold water as a by-product .,OTEC can also supply quantities of cold water as a by product .
He praised for its use in grinding grain and the reduction of human labor :,He praised it for its use in grinding grain and the reduction of human labor .
Pornographic film industry Content featuring male bisexuality has been a growing trend since the advent of internet pornography .,Pornographic film industry Images and videos showing male bisexuality have been more popular since the start of internet pornography .
featured a live-action series of skits which starred the late former WWF manager '' Captain '' Lou Albano as Mario and Danny Wells as Luigi .,had a live-action series of episodes starring former WWF manager '' Captain '' Lou Albano as Mario and Danny Wells as Luigi .
LOCATION@1 is a suburb and regional centre in LOCATION@2 south-west of the LOCATION@3 city centre and south of LOCATION@4 .,"LOCATION@1 is a suburb in the city of LOCATION@3 , LOCATION@2 ."
"Physical characteristics The diameter of LOCATION@1 is estimated at NUMBER@1 km -LRB- assuming albedo of NUMBER@2 -RRB- making it the largest irregular satellite of Uranus , comparable in size with LOCATION@2 , the biggest irregular satellite of LOCATION@3 .","Physical characteristics The diameter of LOCATION@1 is estimated at NUMBER@1 km -LRB- assuming albedo of NUMBER@2 -RRB- making it the biggest non-spherical moon of Uranus , comparable in size with LOCATION@2 , the biggest non-spherical moon of LOCATION@3 ."
Podensac is a commune in the LOCATION@1 department in LOCATION@2 in southwestern LOCATION@3 .,It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .
"His performance in that match was dismal and largely blamed on both of the opposition 's goals , leading to him being dropped from the side .",His performance in that match was bad and he was dropped from the side .
PERSON@1 had consulted the Oracle at ORGANIZATION@1 to ask where to make his new city .,He had askeed the Oracle at ORGANIZATION@1 where he should found his new city .
"The Prva HNL , also known as 1 .",Prva HNL is a football league which is top division in Croatia .
Tubersent is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3 .,It is found in the region Nord-Pas-de-Calais in the LOCATION@1 department in the north of LOCATION@3 .
Saint-Mariens is a commune in the Gironde department in Aquitaine in southwestern France .,It is found in the region Aquitaine in the Gironde department in the southwest of France .
"NUMBER@1 & ndash ; PERSON@1 , American outlaw -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1 , American outlaw -LRB- d. NUMBER@2 -RRB-"
Saint-Martial is a commune in the LOCATION@1 department in LOCATION@2 in southwestern LOCATION@3 .,It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .
"ORGANIZATION@1 is the name given to a series of related electric multiple-unit passenger trains manufactured by ORGANIZATION@2 -LRB- formerly ADtranz -RRB- at their ORGANIZATION@3 in LOCATION@1 , LOCATION@2 .","ORGANIZATION@1 is the name given to a series of related electric multiple-unit passenger trains manufactured by ORGANIZATION@2 , formerly ORGANIZATION@4 ."
"Principal signatories were Marshal Ferdinand Foch , the Allied Commander-in-chief , and Matthias Erzberger , Germany 's representative .","Marshal Ferdinand Foch , the Allied Commander-in-chief , and Matthias Erzberger , Germany 's representative were the most important persons who signed it ."
He made his debut at La Scala in the same year as the Chevalier danois in Gluck 's Armide .,He first sang at La Scala in the same year as the Chevalier danois in Glucks Armide .
See Special : Listusers/rollbacker for a list of users in this group .,"See meta : Special : Listusers/steward for a list of users in this group . For a list , please see Special : Listusers/rollbacker ."
"Gerald Mervin Vanenburg -LRB- born 5 March 1964 in Utrecht -RRB- is a former Dutch footballer , who played as a sweeper .",Gerald Vanenburg -LRB- born 5 March 1964 -RRB- is a former Dutch football player .
The Fire Salamander -LRB- Salamandra salamandra -RRB- is probably the best-known salamander species in Europe .,The Fire Salamander -LRB- Salamandra salamandra -RRB- is probably the most well-known salamander species in Europe .
