,source_sentence,simplified_sentence
150968,The American Robin is a known reservoir -LRB- carrier -RRB- for West Nile virus .,The American Robin is known to carry a disease called the West Nile Virus .
532424,"LOCATION@1 is a small town in LOCATION@2 , LOCATION@3 .","LOCATION@1 is a small town with a population of more than NUMBER@1 people in LOCATION@2 , LOCATION@3 ."
68092,"Berwick remains within the laws and legal system of England and Wales . The Wales and Berwick Act 1746 -LRB- since repealed -RRB- deemed that whenever legislation referred to England , it applied to Berwick , without attempting to define Berwick as part of England .","Many people who live in Berwick , or who visit Berwick because it is their local large market town are Scottish ."
580508,It may also refer to the color of the blood of a living person .,People also call the colour of the blood of a living person scarlet .
525814,"PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a German race car driver , and the NUMBER@3 Formula One World Drivers ' Championship Runner-up .",season in progress .
161648,"The film won five awards at the Young Artist Awards , including '' Best Family Feature Film -LRB- Fantasy or Musical -RRB- '' .",The film won five awards at the Young Artist Awards . This included '' Best Family Feature Film -LRB- Fantasy or Musical -RRB- '' and '' Best Performance in a Feature Film â '' Leading Young Actor '' for Hutcherson .
520165,Basil is commonly used fresh in cooked recipes .,"Most of the time , Basil should be used fresh ."
354395,"JosÃ VÃ tor PERSON@1 -LRB- born August NUMBER@1 , NUMBER@2 in LOCATION@1 do SapucaÃ -RRB- more commonly known as Roque JÃ nior , is a former Brazilian football defender , who last played for ORGANIZATION@1 .",PERSON@2 -LRB- born NUMBER@1 August NUMBER@2 -RRB- is a Brazilian football player .
423256,"In addition , the ORGANIZATION@1 maintains a metropolitan center in LOCATION@1 .","In addition , the ORGANIZATION@1 has a '' metropolitan center '' in LOCATION@1 ."
113226,The day breaks in on the lovers as Melot leads King Marke and his men to find Tristan and Isolde in each other 's arms .,"They do not notice the night is ending , and Melot leads Marke to find the two lovers in one another 's arms ."
132279,La Chaize-Giraud is a commune in the VendÃ e department in the Pays de la Loire region in western France .,It is found in the region Pays de la Loire in the VendÃ e department in the west of France .
197383,"While the general-purpose and floating-point registers are discussed the most , flag and status registers or even individual status bits are commonly renamed as well .","While the general-purpose and floating-point registers are the most , flag and status registers or even individual status bits are commonly renamed as well ."
547569,"In his final words , PERSON@1 was convinced that he was voted out because he was a threat to PERSON@2 and PERSON@3 , not as mouthy as his tribemates accuses him .","In his final words , PERSON@1 was that he was voted out because he was a threat to PERSON@2 and PERSON@3 , not as mouthy as his tribemates accuses him ."
116659,"Zub is a game written for the Amstrad CPC , Commodore 64 and ZX Spectrum which was published in 1986 by Mastertronic and was written by John and Ste Pickford on the ZX Spectrum and Phillip Brian Allsopp on the Commodore 64 with music on all formats composed by David Whittaker .",The story of the game
191459,"Children need more sleep per day in order to develop and function properly : up to 18 hours for newborn babies , with a declining rate as a child ages . A newborn baby spends almost 9 hours a day in REM sleep .",Newborn babies sleep about 18 hours per day .
400402,"General PERSON@1 , the ORGANIZATION@1 Chief of Plans and Operations , was in LOCATION@1 on an inspection tour when the crisis broke out .","General PERSON@1 , the ORGANIZATION@2 Chief of Staff , was in LOCATION@1 when the blockade began ."
219908,"1898 & ndash ; Willy Messerschmitt , German aircraft designer -LRB- d. 1978 -RRB-","1898 - Willy Messerschmitt , aircraft designer -LRB- died 1978 -RRB-"
519612,"In cultures that associate the afterlife with fire , hellhounds may have fire-based abilities and appearance .","In cultures that think that there is fire in the afterlife , hellhounds may have fire-based abilities and appearance ."
284176,"More militant members of the UVF , led by Billy Wright who disagreed with the ceasefire , broke away to form the Loyalist Volunteer Force -LRB- LVF -RRB- .",They immediately set up the Loyalist Volunteer Force -LRB- LVF -RRB- .
560311,"Originally , the group 's musical style was largely composed of short , simple songs , which would evolve over the years into heavily hardcore-influenced crossover thrash , with PERSON@1 's musical experimentation becoming present in Scumdogs of the Universe , LOCATION@1 Must Be Destroyed and This Toilet Earth .","In NUMBER@1 the band released their first music video , a video of '' Sick of You '' ."
66833,"Connochaetes includes two species , both native to Africa : the black wildebeest , or white-tailed gnu -LRB- C. gnou -RRB- , and the blue wildebeest , or brindled gnu -LRB- C. taurinus -RRB- .",Blue Wildebeest or Brindled Gnu -LRB- Connochaetes taurinus -RRB-
333834,"PERSON@1 -LRB- born December NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a former Japanese football player .",He has played for LOCATION@2 national team .
421968,"Potassium is a silvery white metal that tarnishes in air and produces an oxidized layer on the surface , which is why it is stored in oil .",Potassium is a silvery white metal that tarnishes in air and produces an oxidized layer on the surface and this is why it is stored in oil .
449170,"Morning Musume , sometimes referred to as Momusu is a Japanese girl group , whose act generally revolves around singing and dancing to upbeat melodies .",Morning Musume is a Japanese girl group .
152568,Yuta Abe is a retired Japanese football player .,Yuta Abe -LRB- born 31 July 1974 -RRB- is a former Japanese football player .
76517,"Caricaceae is a family of flowering plants in the order Brassicales , native to tropical regions of Central and South America and Africa .","Caricaceae is a family of flowering plants in the order Brassicales , found in tropical regions of Central and South America and Africa ."
114858,The Sunday Times link,Slant Magazine link
244869,Periodically the glacier advances over the L-shaped '' Lago Argentino '' -LRB- '' Argentine Lake '' -RRB- forming a natural dam which separates the two halves of the lake when it reaches the opposite shore .,"Periodically the glacier advances over the L-shaped '' Lago Argentino '' -LRB- '' Argentine Lake '' -RRB- . when it reaches the opposite shore , it forms a natural dam which separates the two halves of the lake ."
542929,"It has an all ORGANIZATION@1 fleet of NUMBER@1 narrow - and wide-body aircraft , consists of A320s , A321s and A330s .","It has a fleet of NUMBER@2 aircrafts , including ORGANIZATION@1 A320s , A321s and A330s ."
402968,Please be aware of ORGANIZATION@1 's policy that biographical information about living persons must not include unsupported or inaccurate statements .,"However , please be aware of ORGANIZATION@1 's policy that biographical information about living persons must not be libelous ."
142930,"Through the 1890s , Potter sent illustrated story letters to the children of her former governess , Annie Moore , and , in 1900 , Moore , realizing the commercial potential of Potter 's stories , suggested they be made into books .","In the 1890s , Potter sent illustrated story letters to the children of Annie Moore , who had used to be her governess . In 1900 , Moore , who realized how popular Potter 's stories could become , suggested they be made into books ."
559924,These are smaller than the original volumes due to erosion . .,These are smaller than the original volumes due to erosion .
568235,"PERSON@1 made four LOCATION@1 landfalls , first at LOCATION@2 in the late afternoon of August NUMBER@1 , then early the following morning at LOCATION@3 south of LOCATION@4 as a NUMBER@2 mph -LRB- NUMBER@3 km\/h -RRB- tropical storm .","PERSON@1 made its first landfall in LOCATION@1 at LOCATION@2 also on August NUMBER@1 winds were at NUMBER@4 mph . The next day Fay made landfall in LOCATION@3 , LOCATION@1 while winds were at NUMBER@2 mph ."
269002,Its wavelength increases or decreases but its frequency remains constant .,"An example of how refraction works is placing a straw in a cup of water , with part of the straw in the water ."
319273,"Uberfic is a variety of fan fiction in which the characters live in an alternative universe . The characters and events are true to the original canon but usually in a different time period , often as the ancestors , descendants or reincarnations of canon characters .","Uberfic is a kind of alternative universe fan fiction in which characters or events are portrayed somewhat closely to original canon but usually in a different time period , many times featuring the ancestors , descendants or reincarnations of canon characters ."
73300,"Georges Auguste Escoffier -LRB- 28 October 1846 â '' 12 February 1935 -RRB- was a French chef , restaurateur and culinary writer who popularized and updated traditional French cooking methods .","Georges Auguste Escoffier -LRB- 28 October 1846 â '' 12 February 1935 -RRB- was a French chef , restaurateur and writer who updated traditional French cooking methods and made them more popular ."
428970,"Human likenesses believed to have intelligence were built in every major civilization : animated cult images were worshipped in LOCATION@1 and LOCATION@2 and humanoid automatons were built by PERSON@1 , Hero of LOCATION@3 and PERSON@2 .",Human likenesses believed to have intelligence were built in every major civilization : animated statues were worshipped in LOCATION@1 and LOCATION@2
47653,The Solar System formed from the gravitational collapse of a giant molecular cloud 4.568 billion years ago .,The formation and evolution of the Solar System is estimated to have begun 4.568 billion years ago with the gravitational collapse of a small part of a giant molecular cloud .
558975,"PERSON@1 , PERSON@2 , '' Vedas and '' , in : The general accepted historical chronology of the ORGANIZATION@1 ranks the Rig Veda as the first , followed by the Yajur Veda , PERSON@3 and finally the Atharva Veda .",Rig Veda
297619,"On the night of the 25th he was able to procure a musket , and survived for a few days by robbing gardens and taking the food of Aboriginals after frightening them away with his gun .","He stole a musket , and lived by taking food from gardens and taking the food of Aboriginals after scaring them away with his gun ."
485526,Tinker Bell is a NUMBER@1 computer animated film based on the ORGANIZATION@1 franchise produced by ORGANIZATION@2 .,The movie saw an exclusive theatrical release at the El Capitan Theatre between September NUMBER@2 and October 2nd .
93943,He first graduated in architecture and then in social sciences and worked as scientific clerk .,"Then he studied social sciences and got an exam in it , too . and worked as a clerk for science ."
181232,"His family moved to Tuakau -LRB- south of Auckland -RRB- in 1920 , after his father -LRB- who served at Gallipoli -RRB- was allocated land there .","His family moved to Tuakau -LRB- south of Auckland -RRB- in 1920 , after his father -LRB- who served at Gallipoli -RRB- had gotten land there ."
115983,"The King and his family were finally convinced to abandon all titles held under the German Crown , and to change German titles and house names to anglicized versions .","Crown , 1984 ."
134284,"Shelbies are also capable of knowing if it is talking to a Furby or another Shelby , saying phrases such as '' Where 's Furby ? ''","Shelbys are also capable of knowing if it is talking to a Furby or another Shelby , saying phrases such as '' Where 's Furby ? ''"
308941,Moulines is a commune in the Calvados département in the LOCATION@1 region of LOCATION@2 .,It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2 .
208567,"His agents , the Yamaduts , carry souls back to Yamalok .",They are called Yamaduts .
174981,"At any given time , there are well over 50,000 highly significant articles , so just visit some minor articles first , until those difficult users have lost interest in following .","At any given time , there are well over 50,000 highly significant article topics , so just visit some minor articles first , until those difficult users have lost interest in following ."
474812,"Such players can be described as specialist batsmen , specialist bowlers or specialist wicketkeepers .",He is sometimes a specialist fielder .
459858,"PERSON@1 -LRB- born February NUMBER@1 , NUMBER@2 -RRB- is an American actor .","PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 -RRB- is an American actor ."
380762,"While the paddles on a monitor/defibrillator may be quicker than using the patches , adhesive patches are superior due to their ability to provide appropriate EKG tracing without the artifact visible from human interference with the paddles .","While paddles on a monitor/defibrillator may be quicker than using adhesive pads , pads are superior due to their ability to provide appropriate electrocardiogram readings without the artifact visible from human interference with the paddles ."
586206,"In November NUMBER@1 , the world 's worst recorded outbreak of E. coli NUMBER@2 occurred in the town , in which NUMBER@3 people died and around NUMBER@4 were infected .","In November NUMBER@1 , the world 's worst recorded outbreak of PERSON@1 occurred in the town , in which NUMBER@5 people died and around NUMBER@4 were infected ."
516037,"LOCATION@1 , or the scaled reptiles , is the largest recent order of reptiles , including lizards and snakes .",List of Families
432981,"The ORGANIZATION@1 's intelligent design campaigns have been staged primarily in the LOCATION@1 , although efforts have been made in other countries to promote intelligent design .","Intelligent design is the idea that the universe is not simple enough to be made by nature . Instead , people who believe Intelligent Design think that a smart being must have made everything ."
389109,"This technique makes the code longer for each iteration of a loop , but saves the computation time required for jumping back to the beginning of the loop at the end of each iteration .","This technique makes the program code longer for each iteration of a loop , but saves the computation time needed for jumping back to the beginning of the loop at the end of each iteration ."
205588,"One is used by the cryptographic community , while the other is the meaning understood by the public .",One is used by the cryptographic community . The other is a general meaning which is how the word cryptosystem is understood by the public .
393106,"The English country house is generally accepted as a large house or mansion , once in the ownership of an individual who also usually owned another great house in town allowing one to spend time in the country and in the city .",Decline
330111,"To ensure the stability and endurance of the Internet Archive , its collection is mirrored at the LOCATION@1 in LOCATION@2 , so far the only library in the world with a mirror .","To ensure the stability and endurance of the archive , The Internet Archive is mirrored at LOCATION@1 in LOCATION@2 , the only library in the world with a mirror ."
227703,"Tantalite -LRB- Fe , Mn -RRB- Ta2O6 is the most important mineral for tantalum extraction . Tantalite has the same mineral structure as columbite -LRB- Fe , Mn -RRB- -LRB- Ta , Nb -RRB- 2O6 ; when there is more Ta than Nb it is called tantalite and when there is more Nb than Ta is it called columbite -LRB- or niobite -RRB- .",It is found in the mineral tantalite .
544617,NUMBER@1 - NUMBER@2 : PERSON@1 -LRB- ORGANIZATION@1 -RRB-,NUMBER@3 : PERSON@1 -LRB- ORGANIZATION@1 -RRB-
144088,"McNeill published his correspondence on the issue with de Valera making de Valera appear foolish , before resigning and leaving de Valera with the task of choosing a new Governor-General , an embarrassing situation for a politician who had tried his best to avoid any association with the office .","It made de Valera appear foolish , and made de Valera choose a new Governor-General ."
296369,Contone is a former municipality in the district of Locarno in the canton of Ticino in Switzerland .,Contone is a municipality of the district Locarno in the canton of Ticino in Switzerland .
498698,Classified advertising differs from standard advertising or business models in that it allows private individuals -LRB- not simply companies or corporate entities -RRB- to solicit sales for products and services .,Newspapers have continued their downward trend in classifieds revenue as internet classifieds grow .
44085,The Volvo V70 is a mid-size five-door estate car \/O/ station wagon manufactured by Volvo Cars since 1996 .,Volvo V70 is a car produced by Volvo since 1996 .
86694,Fabrizio Poletti -LRB- born 13 July 1943FIFA Profile -RRB- is a former Italian footballer .,He played for the Italian national football team .
586925,"A bronze plaque attached to a large boulder was erected in November NUMBER@1 by Chancellor PERSON@1 of the American Revolution on the property of the Beekman Arms , that marked the crossing of the LOCATION@1 -LRB- present-day LOCATION@2 NUMBER@2 -RRB- and the Ulster and LOCATION@3 .","A plaque , or a type of sign , was made in November NUMBER@1 at the Beekman Arms Inn . The sign marked the crossing of the Kings Highway -LRB- now called LOCATION@2 NUMBER@2 -RRB- and the Ulster and LOCATION@3 ."
96076,"The SEAT Toledo is an automobile built and marketed by Spanish automaker SEAT , part of Volkswagen Group . The Toledo name was first introduced to the SEAT line-up in May 1991 , with the third and more recent generation was introduced in late 2004 as a 2005 model year car .",The SEAT Toledo is a automobile produced by SEAT in three generations from 1991 until 2009 .
340198,PERSON@1 is a commune in the Calvados department in the LOCATION@1 region in northwestern LOCATION@2 .,PERSON@1 is a commune . It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2 .
101053,"Heikki Johannes Kovalainen -LRB- born October 19 , 1981 in Suomussalmi , Finland -RRB- is a Finnish Formula One racing driver who spent the 2008 and 2009 seasons with British based team Vodafone McLaren Mercedes and the 2010 and 2011 seasons with the Lotus Racing team .","Heikki Johannes Kovalainen -LRB- born October 19 , 1981 in Suomussalmi , Finland -RRB- is a Finnish Formula One racing driver who spent the 2008 and 2009 seasons with British based team Vodafone McLaren Mercedes . In 2010 , he joined the new Lotus team ."
285932,Mercury fluoride has the molecular formula HgF2 .,Its chemical formula is HgF2 . It has mercury and fluoride ions in it .
107771,Year 1478 -LRB- MCDLXXVIII -RRB- was a common year starting on Thursday -LRB- link will display the full calendar -RRB- of the Julian calendar .,Events
264229,"is the traditional Japanese folk art of paper folding , which started in the 17th century AD and was popularized in the mid-1900s .",Pictures
76871,"It became a fully-fledged university in 1965 and currently comprises faculties of law , medicine , philosophy , mathematics and natural sciences , and economics .",Mathematics
18185,"He is survived by a son , Robert , a daughter , Peggy Ashburn , four grandchildren - Janette , Heather , Kay , and John â '' and nine great-grand children .","He is survived by a son , Robert , a daughter , Peggy Ashburn , four grandchildren - Janette , Heather , Kay , and John - and nine great-grand children ."
20273,The slowest cars from the pre-qualifying session were listed in race results as ` Did Not Pre-Qualify ' -LRB- DNPQ -RRB- .,The slowest cars from the pre-qualifying session were listed in race results as Did Not Pre-Qualify -LRB- DNPQ -RRB- .
173959,"Fopp is the second EP by the American alternative rock band Soundgarden , released in August 1988 through Sub Pop Records .","Fopp is the second EP by the grunge band Soundgarden , released in August 1988 on Sub Pop Records ."
317816,"Prom is short for promenade concert , a term which arose from the original practice of audience members promenading , or strolling , in some areas of the concert hall during the concert .",For many years now every Prom has been broadcast live on ORGANIZATION@1 NUMBER@1 .
133962,Commonly used abbreviations for the county are Warks or Warwicks .,"Alcester , Atherstone"
305367,"He played NUMBER@1 seasons in the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- , first for the ORGANIZATION@3 , and later for the ORGANIZATION@4 .",He played NUMBER@1 seasons in the ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- . He played NUMBER@2 seasons with the ORGANIZATION@3 and two seasons with the ORGANIZATION@4 .
460585,"In the summer of NUMBER@1 , PERSON@1 met the eminent Norwegian violinist PERSON@2 , who was a friend of the family , and whose brother was married to PERSON@1 's aunt .","In the summer of NUMBER@1 PERSON@1 met the great Norwegian violinist PERSON@2 , who was a friend of the family , and whose brother was married to PERSON@1 's aunt ."
511385,"PERSON@1 became a famous actress in the NUMBER@1 , starring in such memorable films as Rear Window , To Catch a Thief , ORGANIZATION@1 , and The Country Girl , for which she won the Academy Award for Best Actress .",In NUMBER@2 she won an Academy Award for the Country Girl .
225315,"Islamabad Capital Territory , a federal territory of Pakistan that includes the capital Islamabad and other areas","Islamabad Capital Territory - a federal territory of Pakistan , includes the capital Islamabad and other areas ."
428476,"In colonial times , LOCATION@1 provided an easily traversed water -LRB- or , in winter , ice -RRB- passage between the Saint PERSON@1 and the LOCATION@2 .","In the colonial times , LOCATION@1 gave an easily blocked water -LRB- or , in winter , ice -RRB- passage between the Saint PERSON@1 and the LOCATION@2 ."
366738,This article is about the late 19th-century revolution that transpired in the LOCATION@1 .,This article is about a late 19th-century revolution .
184568,"Rudolf Ludwig Karl Virchow -LRB- 13 October 1821 -- 5 September 1902 -RRB- was a German doctor , anthropologist , pathologist , prehistorian , biologist and politician , known for his advancement of public health .","Rudolf Ludwig Karl Virchow -LRB- 13 October 1821 â '' 5 September 1902 -RRB- was a German doctor , anthropologist , pathologist , prehistorian , biologist and politician , known for his advancement of public health ."
198312,Fashion Hendrix was well known for his unique sense of fashion and wardrobe and his Bob Dylan hairstyle .,Personality Fashion Hendrix had unique fashion and a Bob Dylan-style haircut .
517021,"His principal contributions were the powerful , widely read pamphlet Common Sense -LRB- NUMBER@1 -RRB- , advocating colonial LOCATION@1 's independence from the LOCATION@2 , and The American Crisis -LRB- NUMBER@1 â '' NUMBER@2 -RRB- , a pro-revolutionary pamphlet series .","His main contribution was the powerful , widely-read pamphlet Common Sense -LRB- NUMBER@1 -RRB- , advocating colonial LOCATION@1 's independence from the LOCATION@2 , and of The American Crisis -LRB- NUMBER@1 â '' NUMBER@2 -RRB- , a pro-revolutionary pamphlet series ."
505673,"In NUMBER@1 , he was Chairman of the ORGANIZATION@1 .",He joined the East German ORGANIZATION@2 -LRB- ORGANIZATION@3 -RRB- in NUMBER@2 .
424320,"Chromalveolata is a eukaryote supergroup first proposed by PERSON@1 as a refinement of his kingdom Chromista , which was first put forward in NUMBER@1 .","Chromalveolata is a eukaryote supergroup first proposed by PERSON@1 as a refinement of his kingdom Chromista , which was first proposed in NUMBER@1 ."
2468,"Starting in 1989 , Swedish medical doctor and scientist Staffan Lindeberg , now associate professor at Lund University , Sweden , led scientific surveys of the non-westernized population on Kitava , one of the Trobriand Islands of Papua New Guinea .","Starting in 1989 , Swedish medical doctor and scientist Staffan Lindeberg did scientific studies of people living on Kitava , one of the Trobriand Islands of Papua New Guinea ."
84706,"Sugar is an informal term for a class of edible crystalline carbohydrates , mainly sucrose , lactose , and fructose characterized by a sweet flavor .",References
234431,"It took place on 30 September 1999 at a uranium reprocessing facility located in the village of T kai , Naka District , Ibaraki .",The tank was not designed to dissolve this type of solution and was not designed to prevent eventual criticality .
371979,The name Temse is derived from the Gallo-Roman\/Gaul ` Tamisiacum ' or ` Tamasiacum ' .,PERSON@1
170694,In addition Homo erectus was the first human ancestor to walk truly upright .,In addition H. erectus was the first human ancestor to walk truly upright .
234070,"In the end , Jericho and Punk fought each other on a ladder , but Punk trapped Jericho 's one leg in the ladder 's steps and retrieved the briefcase to win the match .","In the end , Jericho and Punk fought each other on a ladder , but Punk trapped Jericho 's one leg in the ladder 's steps and himself retrieved the contract briefcase to win the match ."
98783,"Sulz is the name of a number of places in Germany , Austria , and Switzerland :",Switzerland
212236,TimeAxis = orientation : vertical,bar :1936 text :1936
64702,"Cross-platform move On March 19 , 2007 , Capcom announced the game would not be a PlayStation 3 exclusive ; it would also be released for the Xbox 360 and the PC .",It was released on the PlayStation 3 and Xbox 360 on February 5 2008 .
587369,"ORGANIZATION@1 ; LOCATION@1 , LOCATION@2",LOCATION@1
386611,PERSON@1 later told the Hungarian chess player PERSON@2 that PERSON@3 would sometimes show up at the family 's LOCATION@1 apartment and take him on outings .,PERSON@1 later told the chess player PERSON@2 that PERSON@3 sometimes came to his LOCATION@1 apartment and took him to places .
435925,A rare exception is a case of Renal tubular acidosis purportedly caused by expired tetracycline .,A rare exception is a case of renal tubular damage purportedly caused by expired tetracycline .
592387,"In the context of witchcraft , broomstick is likely to refer to the broom as a whole .",References
507932,"The small island of LOCATION@1 , about in area , forms part of LOCATION@2 's LOCATION@3 .",Pianosa is a small -LRB- about NUMBER@1 km2 -RRB- island in LOCATION@2 's LOCATION@3 .
450102,"During his tenure he campaigned for the creation of the ORGANIZATION@1 under the administration of President PERSON@1 , of which he served as its inaugural Secretary for the remainder of PERSON@2 s term .","Under the administration of President PERSON@1 , he served as its first Secretary ."
38349,"Rose is the color halfway between red and magenta on the HSV color wheel , also known as the , on which it is at hue angle of 330 degrees .",Tones of rose color comparison chart
308241,The joint between the tibia and fibula above and the tarsus below is referred to as the ankle joint .,Ankle
454993,"Her father PERSON@1 , a sea captain and successful merchant , died in NUMBER@1 .","In NUMBER@2 , PERSON@2 died ."
332478,"He also won the world road championship a record three times in NUMBER@1 , NUMBER@2 and NUMBER@3 , and every classic except Paris-Tours .","He also won the World Road Racing Championship a record three times in NUMBER@1 , NUMBER@2 and NUMBER@3 , and every Classic except Paris-Tours ."
9869,"Their unique blend of bluegrass , rock , country , and Cajun\/Zydeco , which the band calls '' Polyethnic Cajun Slamgrass '' , has found favor with the jam band scene .",O Cracker Where Art Thou ?
579991,"The Total Entertainment Network featured hundreds of Duke NUMBER@1 players online at any given time and players had to pay a monthly fee -LRB- originally $ NUMBER@2 , gradually increased to $ NUMBER@3 -RRB- .","The ORGANIZATION@1 had hundreds of Duke NUMBER@1 players online at any time , but players had to pay money monthly for it ."
584704,"ORGANIZATION@1 -LRB- , born NUMBER@1 June NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is a retired professional football striker .",ORGANIZATION@1 -LRB- born NUMBER@1 June NUMBER@2 -RRB- is a former Iranian football player . He has played for LOCATION@2 national team .
291508,Tymoshenko was a candidate in the Ukrainian presidential elections of 2010 .,"Profile : , BBC News She has promised to make life for the new President as difficult as possible ."
366518,"Potassium is a common element found in many materials , such as micas , clay minerals , tephra , and evaporites .","Potassium is a common element found in many materials , such as micas , clay , tephra , and evaporites ."
140508,It was the first major theorem to be proven using a computer .,This was the first theorem to be proved by a computer .
474759,"In the northwest , it connects with the LOCATION@1 through the LOCATION@2 strait , which is about NUMBER@1 miles wide .","In the northwest , it connects with the LOCATION@1 through the LOCATION@3 strait ."
171395,"Several important cultural achievements were made in the decade , including publication of Roger Bacon 's important scientific work Opus Majus and Thomas Aquinas ' Summa contra Gentiles .",Several important cultural achievements were made in the decade . Roger Bacon published important scientific work named Opus Majus .
22396,"Finally , in 1910 , the design was modified , changing the vertical stripes into the horizontal band of navy-blue color over a white jersey , which has been used ever since .","Finally , from 1910 , the design was modified , changing the vertical stripes into the horizontal band of navy-blue color over a white jersey , which has been used ever since ."
291746,It is the only caterpillar to feed on plants in the family Zygophyllaceae . Apparently they feed exclusively on the leaves of three Guaiacum species : G. sanctum and G. angustifolium in Central and North America and G. officinale in South America and the Caribbean .,It is the only caterpillar to feed on Guaiacum sanctum .
536181,Trams are a distinctive part of LOCATION@1 's character and trams feature heavily in tourism and travel advertising .,LOCATION@1 's trams give a lot to the city 's distinctive character and are loved by the people of LOCATION@1 .
300431,"Physical characteristics LOCATION@1 is one of the twenty or so largest members of the main asteroid belt NUMBER@1 Largest Asteroids It has often been noted for its complex lightcurves , which made determination of its shape and rotation somewhat difficult .","Physical characteristics LOCATION@1 is one of the twenty or so biggest members of the main asteroid belt NUMBER@1 Largest Asteroids It has often been noted for its complex lightcurves , which made finding its shape and rotation somewhat hard ."
178266,Miranda may refer to :,It may also refer to :
163030,"After opening his own medical practice , specializing in neurology , Freud married Martha Bernays in 1886 .","After Freud wrote his first book , he got married to Martha Bernays ."
421087,"Xfce -LRB- pronounced as four individual letters -RRB- is a free software desktop environment for Unix and other Unix-like platforms , such as Linux , Solaris and BSD .",PERSON@1 started the project in NUMBER@1 .
314147,"The Cotswolds are a range of hills in west-central LOCATION@1 , sometimes called the '' Heart of LOCATION@1 '' , an area NUMBER@1 m across and NUMBER@2 m long . The area has been designated as the Cotswold Area of Outstanding Natural Beauty .","The Cotswolds is a range of hills in central LOCATION@1 , sometimes called the '' Heart of LOCATION@1 '' , a hilly area reaching over NUMBER@3 m/O. The area has been designated as Area of Outstanding Natural Beauty ."
147491,Éamon was taken to Ireland by his Uncle Ned at the age of two .,"In 1885 , after his father 's death , de Valera was taken to Ireland by his Uncle Ned ."
351714,Bromine dioxide is formed when an electrical current is passed through a mixture of bromine and oxygen gases at low temperature and pressure .,It is made when an electric current is passed through a mixture of cold bromine and oxygen gases .
119402,"Roswell is a city in and the county seat of Chaves County in the southeastern quarter of the state of New Mexico , United States .",Roswell is a city in the U.S. state of New Mexico .
349561,"On August NUMBER@1 local time , PERSON@1 reached a secondary peak strength of NUMBER@2 miles per hour -LRB- NUMBER@3 km\/h -RRB- , and shortly thereafter it crossed the International Date Line at approximately NUMBER@4 N and came under the surveillance of the LOCATION@1 branch of the ORGANIZATION@1 -LRB- JTWC -RRB- .","PERSON@1 crossed the International Date Line , and became Typhoon PERSON@1 ."
337577,Crazy Nights is the 14th album by American hard rock band Kiss .,Crazy Nights is a studio album by the American hard rock/heavy metal band Kiss .
436419,The company 's first major success came when the ORGANIZATION@1 teamed up with British producer PERSON@1 and acquired the LOCATION@1 rights to two concert films PERSON@2 had produced of benefit shows for human rights organization ORGANIZATION@2 .,It is currently run by PERSON@3 .
18557,The wave entered the Bahamas on July 21 and organized into Tropical Depression Six while 70 miles -LRB- 110 km -RRB- east of Eleuthera .,The wave entered the Bahamas on July 21 and strengthened into Tropical Depression Six while 70 miles -LRB- 110 km -RRB- east of Eleuthera .
590956,The university saw a record high enrollment of NUMBER@1 students for the Fall NUMBER@2 semester .,"In fall NUMBER@2 , NUMBER@1 students were enrolled there ."
387030,"In October NUMBER@1 , they won four awards including Best International Artist and Song of the year at ORGANIZATION@1 held in LOCATION@1 .",Feb NUMBER@1 : Comet Awards : Best Video
72723,"Alessandro Altobelli -LRB- born 28 November 1955 in Sonnino , Latina -RRB- is an Italian former football player .","Alessandro Altobelli -LRB- born 28 November , 1955 -RRB- is a former Italian football player ."
65105,Aubencheul-aux-Bois is a commune in the department of Aisne in Picardy in northern France .,Aubencheul-aux-Bois is a commune . It is found in the region Picardie in the Aisne department in the north of France .
282247,All jellyfish are embodied in the Medusozoa subphylum .,Polyps generally have a mouth surrounded by upward-facing tentacles .
444319,"PERSON@1 '' PERSON@2 -LRB- born August NUMBER@1 , NUMBER@2 -RRB- is a professional American race car driver .","PERSON@3 -LRB- born August NUMBER@1 , NUMBER@2 -RRB- is a professional American race car driver ."
158565,"Three of the best known sevens competitions are the Hong Kong Sevens , Wellington Sevens , and the Dubai Sevens which now make up part of the IRB Sevens World Series .","The version of rugby union is very popular , with notable competitions including the IRB Sevens World Series and the Rugby World Cup Sevens . It is also played at events such as the Commonwealth Games and rugby league has also adopted the sevens format ."
308432,Villenave-de-Rions is a commune in the LOCATION@1 department in LOCATION@2 in south-western LOCATION@3 .,Villenave-de-Rions is a commune .
17685,The song was considered the 30th greatest guitar solo ever by Guitar World Magazine readers and is one of his faster shred guitar style tracks .,The song was named the 30th greatest guitar solo ever by Guitar World Magazine readers and is one of his faster shred guitar style songs .
275496,"She then signed to independent music label , XL Recordings .",She has since signed to independent music label XL Recordings .
